GEO,VALUE,Year,Quarter
Alberta,4215506,2017,1
Alberta,4224933,2017,2
Alberta,4237310,2017,3
Alberta,4253530,2017,4
Alberta,4263957,2018,1
Alberta,4276444,2018,2
Alberta,4292556,2018,3
Alberta,4311439,2018,4
Alberta,4324254,2019,1
Alberta,4337569,2019,2
Alberta,4355377,2019,3
Alberta,4376860,2019,4
Alberta,4392958,2020,1
Alberta,4405455,2020,2
Alberta,4407495,2020,3
Alberta,4412013,2020,4
Alberta,4418338,2021,1
Alberta,4425617,2021,2
Alberta,4431531,2021,3
Alberta,4449956,2021,4
Alberta,4465137,2022,1
Alberta,4480389,2022,2
Alberta,4510747,2022,3
Alberta,4558643,2022,4
Alberta,4595851,2023,1
Alberta,4639399,2023,2
Alberta,4684514,2023,3
Alberta,4744897,2023,4
Alberta,4791876,2024,1
Alberta,4842523,2024,2
Alberta,4888723,2024,3
British Columbia,4894147,2017,1
British Columbia,4908971,2017,2
British Columbia,4934202,2017,3
British Columbia,4962706,2017,4
British Columbia,4974712,2018,1
British Columbia,4991716,2018,2
British Columbia,5020979,2018,3
British Columbia,5052131,2018,4
British Columbia,5061132,2019,1
British Columbia,5080515,2019,2
British Columbia,5111022,2019,3
British Columbia,5148047,2019,4
British Columbia,5157053,2020,1
British Columbia,5169535,2020,2
British Columbia,5176101,2020,3
British Columbia,5173896,2020,4
British Columbia,5180015,2021,1
British Columbia,5200393,2021,2
British Columbia,5226665,2021,3
British Columbia,5267182,2021,4
British Columbia,5287422,2022,1
British Columbia,5311608,2022,2
British Columbia,5357486,2022,3
British Columbia,5408601,2022,4
British Columbia,5443002,2023,1
British Columbia,5478258,2023,2
British Columbia,5531553,2023,3
British Columbia,5593961,2023,4
British Columbia,5627961,2024,1
British Columbia,5666888,2024,2
British Columbia,5698430,2024,3
Canada,36313068,2017,1
Canada,36397141,2017,2
Canada,36545075,2017,3
Canada,36722075,2017,4
Canada,36801579,2018,1
Canada,36903671,2018,2
Canada,37072620,2018,3
Canada,37259485,2018,4
Canada,37336956,2019,1
Canada,37437243,2019,2
Canada,37618495,2019,3
Canada,37828162,2019,4
Canada,37928208,2020,1
Canada,38006941,2020,2
Canada,38028638,2020,3
Canada,38027406,2020,4
Canada,38058291,2021,1
Canada,38140918,2021,2
Canada,38239864,2021,3
Canada,38446871,2021,4
Canada,38566032,2022,1
Canada,38682424,2022,2
Canada,38935934,2022,3
Canada,39279501,2022,4
Canada,39527986,2023,1
Canada,39748878,2023,2
Canada,40083484,2023,3
Canada,40513781,2023,4
Canada,40784356,2024,1
Canada,41038370,2024,2
Canada,41288599,2024,3
Manitoba,1324044,2017,1
Manitoba,1328337,2017,2
Manitoba,1334734,2017,3
Manitoba,1340426,2017,4
Manitoba,1344198,2018,1
Manitoba,1346916,2018,2
Manitoba,1352687,2018,3
Manitoba,1357856,2018,4
Manitoba,1361737,2019,1
Manitoba,1364666,2019,2
Manitoba,1370033,2019,3
Manitoba,1373884,2019,4
Manitoba,1377283,2020,1
Manitoba,1379280,2020,2
Manitoba,1380132,2020,3
Manitoba,1381809,2020,4
Manitoba,1383854,2021,1
Manitoba,1388611,2021,2
Manitoba,1391924,2021,3
Manitoba,1396162,2021,4
Manitoba,1399970,2022,1
Manitoba,1404199,2022,2
Manitoba,1412568,2022,3
Manitoba,1423465,2022,4
Manitoba,1432984,2023,1
Manitoba,1444025,2023,2
Manitoba,1454743,2023,3
Manitoba,1465035,2023,4
Manitoba,1475046,2024,1
Manitoba,1485955,2024,2
Manitoba,1494301,2024,3
New Brunswick,764612,2017,1
New Brunswick,764859,2017,2
New Brunswick,766697,2017,3
New Brunswick,768029,2017,4
New Brunswick,768146,2018,1
New Brunswick,768707,2018,2
New Brunswick,770497,2018,3
New Brunswick,772793,2018,4
New Brunswick,773059,2019,1
New Brunswick,774277,2019,2
New Brunswick,777387,2019,3
New Brunswick,780907,2019,4
New Brunswick,781054,2020,1
New Brunswick,782512,2020,2
New Brunswick,783432,2020,3
New Brunswick,783814,2020,4
New Brunswick,784950,2021,1
New Brunswick,787002,2021,2
New Brunswick,790802,2021,3
New Brunswick,795732,2021,4
New Brunswick,798713,2022,1
New Brunswick,801756,2022,2
New Brunswick,809264,2022,3
New Brunswick,817173,2022,4
New Brunswick,820576,2023,1
New Brunswick,825417,2023,2
New Brunswick,832190,2023,3
New Brunswick,840578,2023,4
New Brunswick,844433,2024,1
New Brunswick,849168,2024,2
New Brunswick,854355,2024,3
Newfoundland and Labrador,530175,2017,1
Newfoundland and Labrador,529700,2017,2
Newfoundland and Labrador,529742,2017,3
Newfoundland and Labrador,530153,2017,4
Newfoundland and Labrador,529743,2018,1
Newfoundland and Labrador,528924,2018,2
Newfoundland and Labrador,528402,2018,3
Newfoundland and Labrador,528926,2018,4
Newfoundland and Labrador,528326,2019,1
Newfoundland and Labrador,527993,2019,2
