Year,Quarter,GEO,Products,Average_Price,VALUE
2017,1,Alberta,"Almonds, 200 grams",4.286666666666666,4215506
2017,1,Alberta,"Apple juice, 2 litres",2.85,4215506
2017,1,Alberta,"Apples, per kilogram",3.8533333333333335,4215506
2017,1,Alberta,"Avocado, unit",1.5666666666666667,4215506
2017,1,Alberta,"Baby food, 128 millilitres",1.2366666666666666,4215506
2017,1,Alberta,"Bacon, 500 grams",6.233333333333333,4215506
2017,1,Alberta,"Bananas, per kilogram",1.7233333333333334,4215506
2017,1,Alberta,"Block cheese, 500 grams",6.063333333333333,4215506
2017,1,Alberta,"Broccoli, unit",2.4066666666666667,4215506
2017,1,Alberta,"Brown rice, 900 grams ",4.41,4215506
2017,1,Alberta,"Butter, 454 grams",4.376666666666666,4215506
2017,1,Alberta,"Cabbage, per kilogram",1.8466666666666667,4215506
2017,1,Alberta,"Canned beans and lentils, 540 millilitres",1.1566666666666665,4215506
2017,1,Alberta,"Canned soup, 284 millilitres",1.2833333333333332,4215506
2017,1,Alberta,"Cantaloupe, unit",2.903333333333333,4215506
2017,1,Alberta,"Celery, unit",1.9166666666666667,4215506
2017,1,Alberta,"Cereal, 400 grams",3.1799999999999997,4215506
2017,1,Alberta,"Chicken breasts, per kilogram",12.410000000000002,4215506
2017,1,Alberta,"Cream, 1 litre",3.4566666666666666,4215506
2017,1,Alberta,"Cucumber, unit",1.82,4215506
2017,1,Alberta,"Dry or fresh pasta, 500 grams",2.63,4215506
2017,1,Alberta,"Eggs, 1 dozen",3.5233333333333334,4215506
2017,1,Alberta,"Flatbread and pita, 500 grams ",3.8000000000000003,4215506
2017,1,Alberta,"Grapes, per kilogram",7.19,4215506
2017,1,Alberta,"Ground beef, per kilogram",9.316666666666666,4215506
2017,1,Alberta,"Iceberg lettuce, unit",1.89,4215506
2017,1,Alberta,"Infant formula, 900 grams ",27.856666666666666,4215506
2017,1,Alberta,"Ketchup, 1 litre",3.0366666666666666,4215506
2017,1,Alberta,"Lemons, unit",0.98,4215506
2017,1,Alberta,"Limes, unit",0.49333333333333335,4215506
2017,1,Alberta,"Margarine, 907 grams",4.013333333333333,4215506
2017,1,Alberta,"Mayonnaise, 890 millilitres ",4.503333333333333,4215506
2017,1,Alberta,"Meatless burgers, 226 grams",4.01,4215506
2017,1,Alberta,"Milk, 4 litres",4.87,4215506
2017,1,Alberta,"Onions, per kilogram",2.9,4215506
2017,1,Alberta,"Orange juice, 2 litres",4.0,4215506
2017,1,Alberta,"Oranges, per kilogram",3.0399999999999996,4215506
2017,1,Alberta,"Pasta sauce, 650 millilitres",2.1133333333333333,4215506
2017,1,Alberta,"Peanuts, 450 grams",3.4133333333333336,4215506
2017,1,Alberta,"Pears, per kilogram",3.643333333333333,4215506
2017,1,Alberta,"Peppers, per kilogram",6.536666666666666,4215506
2017,1,Alberta,"Pork loin cuts, per kilogram",8.763333333333334,4215506
2017,1,Alberta,"Potatoes, per kilogram",2.393333333333333,4215506
2017,1,Alberta,"Roasted or ground coffee, 340 grams",5.233333333333333,4215506
2017,1,Alberta,"Salad dressing, 475 millilitres",2.41,4215506
2017,1,Alberta,"Salmon, per kilogram",24.77,4215506
2017,1,Alberta,"Salsa, 418 millilitres",3.1799999999999997,4215506
2017,1,Alberta,"Shrimp, 300 grams",7.296666666666667,4215506
2017,1,Alberta,"Squash, per kilogram",3.206666666666667,4215506
2017,1,Alberta,Tea (20 bags),3.486666666666667,4215506
2017,1,Alberta,"Tofu, 350 grams ",2.1733333333333333,4215506
2017,1,Alberta,"Tomatoes, per kilogram",4.093333333333333,4215506
2017,1,Alberta,"Vegetable oil, 3 litres",7.546666666666667,4215506
