Year,Quarter,GEO,Average_Weekly_Income
2017,1,Alberta,1109.8733333333332
2017,2,Alberta,1122.3333333333333
2017,3,Alberta,1132.91
2017,4,Alberta,1145.26
2018,1,Alberta,1147.9666666666665
2018,2,Alberta,1147.0933333333332
2018,3,Alberta,1149.26
2018,4,Alberta,1146.0933333333335
2019,1,Alberta,1146.7466666666667
2019,2,Alberta,1162.1033333333332
2019,3,Alberta,1166.59
2019,4,Alberta,1181.1533333333334
2020,1,Alberta,1175.3500000000001
2020,2,Alberta,1232.36
2020,3,Alberta,1207.0
2020,4,Alberta,1197.0866666666668
2021,1,Alberta,1224.0166666666667
2021,2,Alberta,1221.71
2021,3,Alberta,1229.4933333333333
2021,4,Alberta,1229.6633333333334
2022,1,Alberta,1250.2633333333333
2022,2,Alberta,1250.67
2022,3,Alberta,1256.6533333333334
2022,4,Alberta,1269.1133333333335
2023,1,Alberta,1264.5233333333333
2023,2,Alberta,1284.86
2023,3,Alberta,1289.9466666666667
2023,4,Alberta,1294.17
2024,1,Alberta,1297.04
2024,2,Alberta,1328.1233333333332
2024,3,Alberta,1342.9650000000001
2017,1,British Columbia,933.9866666666667
2017,2,British Columbia,942.3933333333334
2017,3,British Columbia,943.8033333333333
2017,4,British Columbia,954.5466666666666
2018,1,British Columbia,961.4066666666668
2018,2,British Columbia,959.9366666666666
2018,3,British Columbia,978.15
2018,4,British Columbia,979.5966666666667
2019,1,British Columbia,978.7266666666666
2019,2,British Columbia,994.4833333333332
2019,3,British Columbia,1002.9066666666666
2019,4,British Columbia,1016.2733333333334
2020,1,British Columbia,1028.12
2020,2,British Columbia,1107.6966666666667
2020,3,British Columbia,1091.9433333333334
2020,4,British Columbia,1102.8366666666668
2021,1,British Columbia,1111.11
2021,2,British Columbia,1114.1466666666668
2021,3,British Columbia,1141.3466666666666
2021,4,British Columbia,1135.1566666666668
2022,1,British Columbia,1158.2
2022,2,British Columbia,1163.3433333333335
2022,3,British Columbia,1165.8733333333332
2022,4,British Columbia,1169.05
2023,1,British Columbia,1183.8466666666666
2023,2,British Columbia,1206.4566666666667
2023,3,British Columbia,1228.1466666666665
2023,4,British Columbia,1234.1499999999999
2024,1,British Columbia,1252.7366666666667
2024,2,British Columbia,1264.3333333333333
2024,3,British Columbia,1280.975
2017,1,Canada,966.11
2017,2,Canada,970.7266666666666
2017,3,Canada,977.6233333333333
2017,4,Canada,988.9266666666667
2018,1,Canada,996.18
2018,2,Canada,996.1533333333333
2018,3,Canada,1002.34
2018,4,Canada,1009.7366666666667
2019,1,Canada,1011.2333333333332
2019,2,Canada,1022.7533333333334
2019,3,Canada,1033.11
2019,4,Canada,1045.45
