"REF_DATE","GEO","DGUID","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Canada","2016A000011124","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1353834271","11.1","12.66","","","","2"
"2017-02","Canada","2016A000011124","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1353834271","11.1","13.12","","","","2"
"2017-03","Canada","2016A000011124","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1353834271","11.1","13.51","","","","2"
"2017-04","Canada","2016A000011124","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1353834271","11.1","13.29","","","","2"
"2017-05","Canada","2016A000011124","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1353834271","11.1","14.08","","","","2"
"2017-06","Canada","2016A000011124","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1353834271","11.1","14.10","","","","2"
"2017-07","Canada","2016A000011124","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1353834271","11.1","14.44","","","","2"
"2017-08","Canada","2016A000011124","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1353834271","11.1","14.35","","","","2"
"2017-09","Canada","2016A000011124","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1353834271","11.1","13.62","","","","2"
"2017-10","Canada","2016A000011124","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1353834271","11.1","13.41","","","","2"
"2017-11","Canada","2016A000011124","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1353834271","11.1","13.35","","","","2"
"2017-12","Canada","2016A000011124","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1353834271","11.1","13.90","","","","2"
"2018-01","Canada","2016A000011124","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1353834271","11.1","12.97","","","","2"
"2018-02","Canada","2016A000011124","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1353834271","11.1","12.61","","","","2"
"2018-03","Canada","2016A000011124","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1353834271","11.1","13.51","","","","2"
"2018-04","Canada","2016A000011124","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1353834271","11.1","13.69","","","","2"
"2018-05","Canada","2016A000011124","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1353834271","11.1","13.84","","","","2"
"2018-06","Canada","2016A000011124","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1353834271","11.1","13.90","","","","2"
"2022-02","Nova Scotia","2016A000212","Frozen corn, 750 grams ","Dollars","81","units","0","v1353834433","3.53","3.32","","","","2"
"2022-03","Nova Scotia","2016A000212","Frozen corn, 750 grams ","Dollars","81","units","0","v1353834433","3.53","3.44","","","","2"
"2022-04","Nova Scotia","2016A000212","Frozen corn, 750 grams ","Dollars","81","units","0","v1353834433","3.53","3.13","","","","2"
"2022-05","Nova Scotia","2016A000212","Frozen corn, 750 grams ","Dollars","81","units","0","v1353834433","3.53","3.34","","","","2"
"2022-06","Nova Scotia","2016A000212","Frozen corn, 750 grams ","Dollars","81","units","0","v1353834433","3.53","3.29","","","","2"
"2022-07","Nova Scotia","2016A000212","Frozen corn, 750 grams ","Dollars","81","units","0","v1353834433","3.53","3.42","","","","2"
"2022-08","Nova Scotia","2016A000212","Frozen corn, 750 grams ","Dollars","81","units","0","v1353834433","3.53","3.47","","","","2"
"2022-09","Nova Scotia","2016A000212","Frozen corn, 750 grams ","Dollars","81","units","0","v1353834433","3.53","3.47","","","","2"
"2021-03","Prince Edward Island","2016A000211","Cucumber, unit","Dollars","81","units","0","v1159447051","2.37","1.68","","","","2"
"2021-04","Prince Edward Island","2016A000211","Cucumber, unit","Dollars","81","units","0","v1159447051","2.37","1.37","","","","2"
"2021-05","Prince Edward Island","2016A000211","Cucumber, unit","Dollars","81","units","0","v1159447051","2.37","1.41","","","","2"
"2021-06","Prince Edward Island","2016A000211","Cucumber, unit","Dollars","81","units","0","v1159447051","2.37","1.66","","","","2"
"2021-07","Prince Edward Island","2016A000211","Cucumber, unit","Dollars","81","units","0","v1159447051","2.37","1.82","","","","2"
"2021-08","Prince Edward Island","2016A000211","Cucumber, unit","Dollars","81","units","0","v1159447051","2.37","1.85","","","","2"
"2021-09","Prince Edward Island","2016A000211","Cucumber, unit","Dollars","81","units","0","v1159447051","2.37","1.76","","","","2"
"2021-10","Prince Edward Island","2016A000211","Cucumber, unit","Dollars","81","units","0","v1159447051","2.37","1.72","","","","2"
"2021-11","Prince Edward Island","2016A000211","Cucumber, unit","Dollars","81","units","0","v1159447051","2.37","2.07","","","","2"
"2021-12","Prince Edward Island","2016A000211","Cucumber, unit","Dollars","81","units","0","v1159447051","2.37","2.28","","","","2"
"2022-01","Prince Edward Island","2016A000211","Cucumber, unit","Dollars","81","units","0","v1159447051","2.37","2.23","","","","2"
"2022-02","Prince Edward Island","2016A000211","Cucumber, unit","Dollars","81","units","0","v1159447051","2.37","2.37","","","","2"
"2022-03","Prince Edward Island","2016A000211","Cucumber, unit","Dollars","81","units","0","v1159447051","2.37","1.79","","","","2"
"2022-04","Prince Edward Island","2016A000211","Cucumber, unit","Dollars","81","units","0","v1159447051","2.37","1.50","","","","2"
"2022-05","Prince Edward Island","2016A000211","Cucumber, unit","Dollars","81","units","0","v1159447051","2.37","1.65","","","","2"
"2021-11","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","19.88","","","","2"
"2021-12","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","13.40","","","","2"
"2022-01","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","14.74","","","","2"
"2022-02","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","18.27","","","","2"
"2022-03","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","19.74","","","","2"
"2022-04","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","15.66","","","","2"
"2022-05","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","15.64","","","","2"
"2022-06","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","18.27","","","","2"
"2022-07","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","14.29","","","","2"
"2022-08","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","16.36","","","","2"
"2022-09","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","18.47","","","","2"
"2022-10","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","14.81","","","","2"
"2022-11","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","14.52","","","","2"
"2022-12","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","14.48","","","","2"
"2023-01","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","15.28","","","","2"
"2023-02","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","17.31","","","","2"
"2023-03","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","16.57","","","","2"
"2023-04","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","20.88","","","","2"
"2023-05","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","19.77","","","","2"
"2023-06","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","21.76","","","","2"
"2023-07","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","20.14","","","","2"
"2023-08","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","25.94","","","","2"
"2023-09","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","20.57","","","","2"
"2023-10","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","21.61","","","","2"
"2023-11","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","21.50","","","","2"
"2023-12","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","21.13","","","","2"
"2024-01","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","17.41","","","","2"
"2024-02","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","22.19","","","","2"
"2024-03","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","23.57","","","","2"
"2024-04","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","25.63","","","","2"
