Products,province,avg_total
"Baby food, 128 millilitres",Alberta,1.3635869565217391
"Baby food, 128 millilitres",British Columbia,1.3553260869565218
"Baby food, 128 millilitres",Manitoba,1.2971739130434783
"Baby food, 128 millilitres",New Brunswick,1.5028260869565215
"Baby food, 128 millilitres",Newfoundland and Labrador,1.5416304347826089
"Baby food, 128 millilitres",Nova Scotia,1.4995652173913043
"Baby food, 128 millilitres",Ontario,1.4019565217391303
"Baby food, 128 millilitres",Prince Edward Island,1.5
"Baby food, 128 millilitres",Quebec,1.4122826086956521
"Baby food, 128 millilitres",Saskatchewan,1.3503260869565217
"Infant formula, 900 grams ",Alberta,32.44119565217392
"Infant formula, 900 grams ",British Columbia,32.706739130434784
"Infant formula, 900 grams ",Manitoba,30.57336956521739
"Infant formula, 900 grams ",New Brunswick,30.530978260869563
"Infant formula, 900 grams ",Newfoundland and Labrador,31.98336956521739
"Infant formula, 900 grams ",Nova Scotia,31.36119565217391
"Infant formula, 900 grams ",Ontario,32.35826086956522
"Infant formula, 900 grams ",Prince Edward Island,29.22717391304348
"Infant formula, 900 grams ",Quebec,29.26
"Infant formula, 900 grams ",Saskatchewan,30.43184782608696
