Products,province,avg_total
"Dried lentils, 900 grams",Alberta,3.2985869565217394
"Dried lentils, 900 grams",British Columbia,3.531739130434783
"Dried lentils, 900 grams",Manitoba,3.229891304347826
"Dried lentils, 900 grams",New Brunswick,3.5459782608695654
"Dried lentils, 900 grams",Newfoundland and Labrador,3.563913043478261
"Dried lentils, 900 grams",Nova Scotia,3.4979347826086955
"Dried lentils, 900 grams",Ontario,3.254456521739131
"Dried lentils, 900 grams",Prince Edward Island,3.5089130434782607
"Dried lentils, 900 grams",Quebec,3.426630434782609
"Dried lentils, 900 grams",Saskatchewan,3.2842391304347824
"Dry beans and legumes, 900 grams ",Alberta,3.1857608695652173
"Dry beans and legumes, 900 grams ",British Columbia,3.1405434782608697
"Dry beans and legumes, 900 grams ",Manitoba,3.111195652173913
"Dry beans and legumes, 900 grams ",New Brunswick,3.6070652173913045
"Dry beans and legumes, 900 grams ",Newfoundland and Labrador,3.335
"Dry beans and legumes, 900 grams ",Nova Scotia,3.552717391304348
"Dry beans and legumes, 900 grams ",Ontario,3.001413043478261
"Dry beans and legumes, 900 grams ",Prince Edward Island,3.5234782608695654
"Dry beans and legumes, 900 grams ",Quebec,2.938804347826087
"Dry beans and legumes, 900 grams ",Saskatchewan,3.1538043478260867
