Products,province,avg_total
"Canned beans and lentils, 540 millilitres",Alberta,1.3696739130434783
"Canned beans and lentils, 540 millilitres",British Columbia,1.3668478260869565
"Canned beans and lentils, 540 millilitres",Manitoba,1.3459782608695652
"Canned beans and lentils, 540 millilitres",New Brunswick,1.5426086956521738
"Canned beans and lentils, 540 millilitres",Newfoundland and Labrador,1.5477173913043476
"Canned beans and lentils, 540 millilitres",Nova Scotia,1.5311956521739132
"Canned beans and lentils, 540 millilitres",Ontario,1.3031521739130434
"Canned beans and lentils, 540 millilitres",Prince Edward Island,1.5393478260869566
"Canned beans and lentils, 540 millilitres",Quebec,1.3618478260869564
"Canned beans and lentils, 540 millilitres",Saskatchewan,1.3581521739130435
"Canned soup, 284 millilitres",Alberta,1.5485869565217392
"Canned soup, 284 millilitres",British Columbia,1.5675000000000001
"Canned soup, 284 millilitres",Manitoba,1.513804347826087
"Canned soup, 284 millilitres",New Brunswick,1.1980434782608695
"Canned soup, 284 millilitres",Newfoundland and Labrador,1.1727173913043478
"Canned soup, 284 millilitres",Nova Scotia,1.2267391304347826
"Canned soup, 284 millilitres",Ontario,1.1848913043478262
"Canned soup, 284 millilitres",Prince Edward Island,1.2307608695652175
"Canned soup, 284 millilitres",Quebec,1.0166304347826087
"Canned soup, 284 millilitres",Saskatchewan,1.5806521739130432
