Products,province,avg_total
"Ketchup, 1 litre",Alberta,3.5979347826086956
"Ketchup, 1 litre",British Columbia,3.536521739130435
"Ketchup, 1 litre",Manitoba,3.4792391304347823
"Ketchup, 1 litre",New Brunswick,3.9104347826086956
"Ketchup, 1 litre",Newfoundland and Labrador,3.7546739130434785
"Ketchup, 1 litre",Nova Scotia,3.815108695652174
"Ketchup, 1 litre",Ontario,3.6103260869565217
"Ketchup, 1 litre",Prince Edward Island,3.9146739130434782
"Ketchup, 1 litre",Quebec,3.7498913043478264
"Ketchup, 1 litre",Saskatchewan,3.470652173913044
"Mayonnaise, 890 millilitres ",Alberta,5.101739130434782
"Mayonnaise, 890 millilitres ",British Columbia,5.108804347826087
"Mayonnaise, 890 millilitres ",Manitoba,4.890543478260869
"Mayonnaise, 890 millilitres ",New Brunswick,5.049782608695652
"Mayonnaise, 890 millilitres ",Newfoundland and Labrador,4.682282608695652
"Mayonnaise, 890 millilitres ",Nova Scotia,4.927173913043478
"Mayonnaise, 890 millilitres ",Ontario,5.073043478260869
"Mayonnaise, 890 millilitres ",Prince Edward Island,4.997391304347826
"Mayonnaise, 890 millilitres ",Quebec,5.1367391304347825
"Mayonnaise, 890 millilitres ",Saskatchewan,4.948695652173913
"Pasta sauce, 650 millilitres",Alberta,2.457173913043478
"Pasta sauce, 650 millilitres",British Columbia,2.4884782608695653
"Pasta sauce, 650 millilitres",Manitoba,2.2960869565217394
"Pasta sauce, 650 millilitres",New Brunswick,2.5840217391304345
"Pasta sauce, 650 millilitres",Newfoundland and Labrador,2.4144565217391305
"Pasta sauce, 650 millilitres",Nova Scotia,2.489130434782609
"Pasta sauce, 650 millilitres",Ontario,2.363804347826087
"Pasta sauce, 650 millilitres",Prince Edward Island,2.5521739130434784
"Pasta sauce, 650 millilitres",Quebec,2.9209782608695654
"Pasta sauce, 650 millilitres",Saskatchewan,2.331086956521739
"Salad dressing, 475 millilitres",Alberta,2.826304347826087
"Salad dressing, 475 millilitres",British Columbia,2.7393478260869566
"Salad dressing, 475 millilitres",Manitoba,2.7205434782608693
"Salad dressing, 475 millilitres",New Brunswick,3.0575
"Salad dressing, 475 millilitres",Newfoundland and Labrador,3.0248913043478263
"Salad dressing, 475 millilitres",Nova Scotia,3.0142391304347824
"Salad dressing, 475 millilitres",Ontario,2.7770652173913044
"Salad dressing, 475 millilitres",Prince Edward Island,3.0345652173913042
"Salad dressing, 475 millilitres",Quebec,2.8311956521739132
"Salad dressing, 475 millilitres",Saskatchewan,2.7344565217391303
"Salsa, 418 millilitres",Alberta,3.6980434782608698
"Salsa, 418 millilitres",British Columbia,3.6604347826086956
"Salsa, 418 millilitres",Manitoba,3.5971739130434783
"Salsa, 418 millilitres",New Brunswick,3.788804347826087
"Salsa, 418 millilitres",Newfoundland and Labrador,3.781195652173913
"Salsa, 418 millilitres",Nova Scotia,3.769891304347826
"Salsa, 418 millilitres",Ontario,3.698152173913044
"Salsa, 418 millilitres",Prince Edward Island,3.818586956521739
"Salsa, 418 millilitres",Quebec,3.566521739130435
"Salsa, 418 millilitres",Saskatchewan,3.6168478260869565
"Vegetable oil, 3 litres",Alberta,10.496304347826086
"Vegetable oil, 3 litres",British Columbia,10.63054347826087
"Vegetable oil, 3 litres",Manitoba,10.429565217391303
"Vegetable oil, 3 litres",New Brunswick,9.698804347826087
"Vegetable oil, 3 litres",Newfoundland and Labrador,8.978369565217392
"Vegetable oil, 3 litres",Nova Scotia,9.343695652173913
"Vegetable oil, 3 litres",Ontario,7.338478260869565
"Vegetable oil, 3 litres",Prince Edward Island,9.400108695652174
"Vegetable oil, 3 litres",Quebec,7.567934782608695
"Vegetable oil, 3 litres",Saskatchewan,10.895543478260869
