Products,province,avg_total
"Block cheese, 500 grams",Alberta,6.387391304347826
"Block cheese, 500 grams",British Columbia,6.44
"Block cheese, 500 grams",Manitoba,6.21641304347826
"Block cheese, 500 grams",New Brunswick,6.225978260869565
"Block cheese, 500 grams",Newfoundland and Labrador,6.149456521739131
"Block cheese, 500 grams",Nova Scotia,6.1745652173913035
"Block cheese, 500 grams",Ontario,6.1818478260869565
"Block cheese, 500 grams",Prince Edward Island,6.2463043478260865
"Block cheese, 500 grams",Quebec,6.020217391304348
"Block cheese, 500 grams",Saskatchewan,6.242717391304348
"Butter, 454 grams",Alberta,5.061521739130435
"Butter, 454 grams",British Columbia,5.038152173913043
"Butter, 454 grams",Manitoba,4.930978260869565
"Butter, 454 grams",New Brunswick,4.8948913043478255
"Butter, 454 grams",Newfoundland and Labrador,5.2115217391304345
"Butter, 454 grams",Nova Scotia,4.814891304347826
"Butter, 454 grams",Ontario,4.736413043478261
"Butter, 454 grams",Prince Edward Island,4.666739130434783
"Butter, 454 grams",Quebec,4.7289130434782605
"Butter, 454 grams",Saskatchewan,4.94195652173913
"Cream, 1 litre",Alberta,4.013369565217391
"Cream, 1 litre",British Columbia,3.733260869565217
"Cream, 1 litre",Manitoba,3.917282608695652
"Cream, 1 litre",New Brunswick,4.231630434782609
"Cream, 1 litre",Newfoundland and Labrador,5.241086956521739
"Cream, 1 litre",Nova Scotia,4.494782608695652
"Cream, 1 litre",Ontario,3.7814130434782607
"Cream, 1 litre",Prince Edward Island,4.562717391304347
"Cream, 1 litre",Quebec,3.9140217391304346
"Cream, 1 litre",Saskatchewan,3.992391304347826
"Margarine, 907 grams",Alberta,5.317065217391304
"Margarine, 907 grams",British Columbia,5.308586956521739
"Margarine, 907 grams",Manitoba,5.144130434782609
"Margarine, 907 grams",New Brunswick,5.535217391304348
"Margarine, 907 grams",Newfoundland and Labrador,5.408586956521739
"Margarine, 907 grams",Nova Scotia,5.458695652173913
"Margarine, 907 grams",Ontario,5.415978260869565
"Margarine, 907 grams",Prince Edward Island,5.568586956521739
"Margarine, 907 grams",Quebec,5.270434782608696
"Margarine, 907 grams",Saskatchewan,5.134239130434783
"Milk, 4 litres",Alberta,5.239673913043478
"Milk, 4 litres",British Columbia,5.186739130434782
"Milk, 4 litres",Manitoba,5.028804347826087
"Milk, 4 litres",New Brunswick,7.4021739130434785
"Milk, 4 litres",Nova Scotia,6.137608695652173
"Milk, 4 litres",Ontario,5.319673913043479
"Milk, 4 litres",Prince Edward Island,7.784673913043479
"Milk, 4 litres",Quebec,7.152934782608696
"Milk, 4 litres",Saskatchewan,5.1306521739130435
"Yogurt, 500 grams",Alberta,2.977065217391304
"Yogurt, 500 grams",British Columbia,2.945978260869565
"Yogurt, 500 grams",Manitoba,2.9019565217391308
"Yogurt, 500 grams",New Brunswick,3.2661956521739133
"Yogurt, 500 grams",Newfoundland and Labrador,3.4346739130434782
"Yogurt, 500 grams",Nova Scotia,3.2079347826086955
"Yogurt, 500 grams",Ontario,2.660217391304348
"Yogurt, 500 grams",Prince Edward Island,3.2470652173913046
"Yogurt, 500 grams",Quebec,2.889021739130435
"Yogurt, 500 grams",Saskatchewan,2.901521739130435
