Products,province,avg_total
"Apple juice, 2 litres",Alberta,3.2169565217391303
"Apple juice, 2 litres",British Columbia,3.1841304347826087
"Apple juice, 2 litres",Manitoba,3.0214130434782613
"Apple juice, 2 litres",New Brunswick,3.419021739130435
"Apple juice, 2 litres",Newfoundland and Labrador,3.2233695652173915
"Apple juice, 2 litres",Nova Scotia,3.3719565217391305
"Apple juice, 2 litres",Ontario,2.9052173913043475
"Apple juice, 2 litres",Prince Edward Island,3.3944565217391305
"Apple juice, 2 litres",Quebec,3.5621739130434786
"Apple juice, 2 litres",Saskatchewan,3.055108695652174
"Orange juice, 2 litres",Alberta,4.229456521739131
"Orange juice, 2 litres",British Columbia,4.142065217391305
"Orange juice, 2 litres",Manitoba,4.036521739130435
"Orange juice, 2 litres",New Brunswick,4.343804347826087
"Orange juice, 2 litres",Newfoundland and Labrador,4.40554347826087
"Orange juice, 2 litres",Nova Scotia,4.312173913043479
"Orange juice, 2 litres",Ontario,3.7378260869565216
"Orange juice, 2 litres",Prince Edward Island,4.304565217391304
"Orange juice, 2 litres",Quebec,4.187391304347826
"Orange juice, 2 litres",Saskatchewan,4.045760869565217
"Roasted or ground coffee, 340 grams",Alberta,5.560869565217391
"Roasted or ground coffee, 340 grams",British Columbia,5.966304347826087
"Roasted or ground coffee, 340 grams",Manitoba,5.221630434782608
"Roasted or ground coffee, 340 grams",New Brunswick,6.1164130434782615
"Roasted or ground coffee, 340 grams",Newfoundland and Labrador,6.430760869565217
"Roasted or ground coffee, 340 grams",Nova Scotia,6.640108695652174
"Roasted or ground coffee, 340 grams",Ontario,5.504347826086956
"Roasted or ground coffee, 340 grams",Prince Edward Island,5.973260869565217
"Roasted or ground coffee, 340 grams",Quebec,5.569021739130435
"Roasted or ground coffee, 340 grams",Saskatchewan,4.979347826086957
Tea (20 bags),Alberta,3.882608695652174
Tea (20 bags),British Columbia,3.8817391304347826
Tea (20 bags),Manitoba,3.7886956521739132
Tea (20 bags),New Brunswick,3.930434782608696
Tea (20 bags),Newfoundland and Labrador,3.9930434782608697
Tea (20 bags),Nova Scotia,3.9721739130434783
Tea (20 bags),Ontario,3.6821739130434783
Tea (20 bags),Prince Edward Island,3.945760869565217
Tea (20 bags),Quebec,3.7832608695652175
Tea (20 bags),Saskatchewan,3.8303260869565214
