Products,province,avg_total
"Almonds, 200 grams",Alberta,4.899782608695652
"Almonds, 200 grams",British Columbia,4.774673913043478
"Almonds, 200 grams",Manitoba,4.711956521739131
"Almonds, 200 grams",New Brunswick,5.327826086956522
"Almonds, 200 grams",Newfoundland and Labrador,5.309130434782609
"Almonds, 200 grams",Nova Scotia,5.362717391304348
"Almonds, 200 grams",Ontario,4.808586956521739
"Almonds, 200 grams",Prince Edward Island,5.376847826086957
"Almonds, 200 grams",Quebec,5.294021739130435
"Almonds, 200 grams",Saskatchewan,4.711956521739131
"Apple juice, 2 litres",Alberta,3.2169565217391303
"Apple juice, 2 litres",British Columbia,3.1841304347826087
"Apple juice, 2 litres",Manitoba,3.0214130434782613
"Apple juice, 2 litres",New Brunswick,3.419021739130435
"Apple juice, 2 litres",Newfoundland and Labrador,3.2233695652173915
"Apple juice, 2 litres",Nova Scotia,3.3719565217391305
"Apple juice, 2 litres",Ontario,2.9052173913043475
"Apple juice, 2 litres",Prince Edward Island,3.3944565217391305
"Apple juice, 2 litres",Quebec,3.5621739130434786
"Apple juice, 2 litres",Saskatchewan,3.055108695652174
"Apples, per kilogram",Alberta,4.871304347826087
"Apples, per kilogram",British Columbia,4.834891304347826
"Apples, per kilogram",Manitoba,4.706413043478261
"Apples, per kilogram",New Brunswick,5.685
"Apples, per kilogram",Newfoundland and Labrador,6.050652173913043
"Apples, per kilogram",Nova Scotia,5.736413043478261
"Apples, per kilogram",Ontario,4.559673913043478
"Apples, per kilogram",Prince Edward Island,5.671195652173913
"Apples, per kilogram",Quebec,4.800652173913043
"Apples, per kilogram",Saskatchewan,4.815869565217391
"Avocado, unit",Alberta,1.8519565217391303
"Avocado, unit",British Columbia,1.9981521739130432
"Avocado, unit",Manitoba,1.7717391304347827
"Avocado, unit",New Brunswick,1.8110869565217391
"Avocado, unit",Newfoundland and Labrador,1.9138043478260869
"Avocado, unit",Nova Scotia,1.763586956521739
"Avocado, unit",Ontario,1.8053260869565217
"Avocado, unit",Prince Edward Island,1.7857608695652174
"Avocado, unit",Quebec,1.9691304347826086
"Avocado, unit",Saskatchewan,1.7941304347826088
"Baby food, 128 millilitres",Alberta,1.3635869565217391
"Baby food, 128 millilitres",British Columbia,1.3553260869565218
"Baby food, 128 millilitres",Manitoba,1.2971739130434783
"Baby food, 128 millilitres",New Brunswick,1.5028260869565215
"Baby food, 128 millilitres",Newfoundland and Labrador,1.5416304347826089
"Baby food, 128 millilitres",Nova Scotia,1.4995652173913043
"Baby food, 128 millilitres",Ontario,1.4019565217391303
"Baby food, 128 millilitres",Prince Edward Island,1.5
"Baby food, 128 millilitres",Quebec,1.4122826086956521
"Baby food, 128 millilitres",Saskatchewan,1.3503260869565217
"Bacon, 500 grams",Alberta,6.54054347826087
"Bacon, 500 grams",British Columbia,6.55804347826087
"Bacon, 500 grams",Manitoba,6.264347826086957
"Bacon, 500 grams",New Brunswick,6.133913043478262
"Bacon, 500 grams",Newfoundland and Labrador,5.965434782608696
"Bacon, 500 grams",Nova Scotia,6.032173913043478
"Bacon, 500 grams",Ontario,6.182065217391305
"Bacon, 500 grams",Prince Edward Island,5.9964130434782605
"Bacon, 500 grams",Quebec,6.228804347826086
"Bacon, 500 grams",Saskatchewan,6.079565217391305
"Bananas, per kilogram",Alberta,1.7508695652173913
"Bananas, per kilogram",British Columbia,1.619891304347826
"Bananas, per kilogram",Manitoba,1.687717391304348
"Bananas, per kilogram",New Brunswick,2.001304347826087
"Bananas, per kilogram",Newfoundland and Labrador,2.1157608695652175
"Bananas, per kilogram",Nova Scotia,2.0078260869565216
"Bananas, per kilogram",Ontario,1.4319565217391306
"Bananas, per kilogram",Prince Edward Island,2.01445652173913
"Bananas, per kilogram",Quebec,1.7565217391304346
"Bananas, per kilogram",Saskatchewan,1.7145652173913044
"Beef rib cuts, per kilogram",Alberta,24.77130434782609
"Beef rib cuts, per kilogram",British Columbia,25.11391304347826
"Beef rib cuts, per kilogram",Manitoba,24.14869565217391
"Beef rib cuts, per kilogram",New Brunswick,23.731739130434786
"Beef rib cuts, per kilogram",Newfoundland and Labrador,25.250326086956523
"Beef rib cuts, per kilogram",Nova Scotia,23.227934782608692
"Beef rib cuts, per kilogram",Ontario,23.67815217391304
"Beef rib cuts, per kilogram",Prince Edward Island,24.00184782608696
"Beef rib cuts, per kilogram",Quebec,28.95804347826087
"Beef rib cuts, per kilogram",Saskatchewan,22.73652173913043
"Beef stewing cuts, per kilogram",Alberta,16.006630434782608
"Beef stewing cuts, per kilogram",British Columbia,16.04804347826087
"Beef stewing cuts, per kilogram",Manitoba,15.553043478260872
"Beef stewing cuts, per kilogram",New Brunswick,15.560217391304347
"Beef stewing cuts, per kilogram",Newfoundland and Labrador,15.733478260869566
"Beef stewing cuts, per kilogram",Nova Scotia,15.05195652173913
"Beef stewing cuts, per kilogram",Ontario,16.38304347826087
"Beef stewing cuts, per kilogram",Prince Edward Island,15.359782608695651
"Beef stewing cuts, per kilogram",Quebec,15.61228260869565
"Beef stewing cuts, per kilogram",Saskatchewan,15.470978260869565
"Beef striploin cuts, per kilogram",Alberta,24.958152173913046
"Beef striploin cuts, per kilogram",British Columbia,25.900652173913045
"Beef striploin cuts, per kilogram",Manitoba,24.176739130434786
"Beef striploin cuts, per kilogram",New Brunswick,21.296304347826087
"Beef striploin cuts, per kilogram",Newfoundland and Labrador,22.95521739130435
"Beef striploin cuts, per kilogram",Nova Scotia,21.849239130434782
"Beef striploin cuts, per kilogram",Ontario,22.541630434782608
"Beef striploin cuts, per kilogram",Prince Edward Island,22.34695652173913
"Beef striploin cuts, per kilogram",Quebec,27.22891304347826
"Beef striploin cuts, per kilogram",Saskatchewan,22.98478260869565
"Beef top sirloin cuts, per kilogram",Alberta,17.918369565217393
"Beef top sirloin cuts, per kilogram",British Columbia,18.203152173913043
"Beef top sirloin cuts, per kilogram",Manitoba,17.55673913043478
"Beef top sirloin cuts, per kilogram",New Brunswick,17.000652173913043
"Beef top sirloin cuts, per kilogram",Newfoundland and Labrador,16.14
"Beef top sirloin cuts, per kilogram",Nova Scotia,16.885
"Beef top sirloin cuts, per kilogram",Ontario,16.737065217391304
"Beef top sirloin cuts, per kilogram",Prince Edward Island,16.81195652173913
"Beef top sirloin cuts, per kilogram",Quebec,22.969891304347826
"Beef top sirloin cuts, per kilogram",Saskatchewan,17.00413043478261
"Block cheese, 500 grams",Alberta,6.387391304347826
"Block cheese, 500 grams",British Columbia,6.44
"Block cheese, 500 grams",Manitoba,6.21641304347826
"Block cheese, 500 grams",New Brunswick,6.225978260869565
"Block cheese, 500 grams",Newfoundland and Labrador,6.149456521739131
"Block cheese, 500 grams",Nova Scotia,6.1745652173913035
"Block cheese, 500 grams",Ontario,6.1818478260869565
"Block cheese, 500 grams",Prince Edward Island,6.2463043478260865
"Block cheese, 500 grams",Quebec,6.020217391304348
"Block cheese, 500 grams",Saskatchewan,6.242717391304348
"Broccoli, unit",Alberta,3.0332608695652175
"Broccoli, unit",British Columbia,3.2068478260869564
"Broccoli, unit",Manitoba,2.9629347826086954
"Broccoli, unit",New Brunswick,2.9906521739130434
"Broccoli, unit",Newfoundland and Labrador,3.215652173913043
"Broccoli, unit",Nova Scotia,2.941304347826087
"Broccoli, unit",Ontario,2.4380434782608695
"Broccoli, unit",Prince Edward Island,2.945108695652174
"Broccoli, unit",Quebec,2.3844565217391307
"Broccoli, unit",Saskatchewan,3.0318478260869566
"Brown rice, 900 grams ",Alberta,5.0906521739130435
"Brown rice, 900 grams ",British Columbia,5.319565217391304
"Brown rice, 900 grams ",Manitoba,4.8201086956521735
"Brown rice, 900 grams ",New Brunswick,5.329021739130434
"Brown rice, 900 grams ",Newfoundland and Labrador,5.281521739130435
