Products,province,avg_total
"Frozen french fried potatoes, 750 grams",Alberta,2.5596739130434782
"Frozen french fried potatoes, 750 grams",British Columbia,2.5831521739130436
"Frozen french fried potatoes, 750 grams",Manitoba,2.4106521739130433
"Frozen french fried potatoes, 750 grams",New Brunswick,2.6491304347826086
"Frozen french fried potatoes, 750 grams",Newfoundland and Labrador,2.5125
"Frozen french fried potatoes, 750 grams",Nova Scotia,2.589782608695652
"Frozen french fried potatoes, 750 grams",Ontario,2.444021739130435
"Frozen french fried potatoes, 750 grams",Prince Edward Island,2.671521739130435
"Frozen french fried potatoes, 750 grams",Quebec,2.7036956521739133
"Frozen french fried potatoes, 750 grams",Saskatchewan,2.3493478260869565
"Frozen pizza, 390 grams",Alberta,4.3225
"Frozen pizza, 390 grams",British Columbia,4.338804347826087
"Frozen pizza, 390 grams",Manitoba,4.13804347826087
"Frozen pizza, 390 grams",New Brunswick,4.338152173913044
"Frozen pizza, 390 grams",Newfoundland and Labrador,4.274782608695652
"Frozen pizza, 390 grams",Nova Scotia,4.336195652173913
"Frozen pizza, 390 grams",Ontario,4.1808695652173915
"Frozen pizza, 390 grams",Prince Edward Island,4.319782608695652
"Frozen pizza, 390 grams",Quebec,4.258695652173913
"Frozen pizza, 390 grams",Saskatchewan,4.215217391304348
"Frozen strawberries, 600 grams",Alberta,4.547173913043478
"Frozen strawberries, 600 grams",British Columbia,4.643586956521739
"Frozen strawberries, 600 grams",Manitoba,4.429130434782609
"Frozen strawberries, 600 grams",New Brunswick,4.583913043478261
"Frozen strawberries, 600 grams",Newfoundland and Labrador,4.5988043478260865
"Frozen strawberries, 600 grams",Nova Scotia,4.568695652173913
"Frozen strawberries, 600 grams",Ontario,4.581086956521739
"Frozen strawberries, 600 grams",Prince Edward Island,4.549782608695652
"Frozen strawberries, 600 grams",Quebec,4.584347826086956
"Frozen strawberries, 600 grams",Saskatchewan,4.443695652173913
