Products,province,avg_total
"Apples, per kilogram",Alberta,4.871304347826087
"Apples, per kilogram",British Columbia,4.834891304347826
"Apples, per kilogram",Manitoba,4.706413043478261
"Apples, per kilogram",New Brunswick,5.685
"Apples, per kilogram",Newfoundland and Labrador,6.050652173913043
"Apples, per kilogram",Nova Scotia,5.736413043478261
"Apples, per kilogram",Ontario,4.559673913043478
"Apples, per kilogram",Prince Edward Island,5.671195652173913
"Apples, per kilogram",Quebec,4.800652173913043
"Apples, per kilogram",Saskatchewan,4.815869565217391
"Avocado, unit",Alberta,1.8519565217391303
"Avocado, unit",British Columbia,1.9981521739130432
"Avocado, unit",Manitoba,1.7717391304347827
"Avocado, unit",New Brunswick,1.8110869565217391
"Avocado, unit",Newfoundland and Labrador,1.9138043478260869
"Avocado, unit",Nova Scotia,1.763586956521739
"Avocado, unit",Ontario,1.8053260869565217
"Avocado, unit",Prince Edward Island,1.7857608695652174
"Avocado, unit",Quebec,1.9691304347826086
"Avocado, unit",Saskatchewan,1.7941304347826088
"Bananas, per kilogram",Alberta,1.7508695652173913
"Bananas, per kilogram",British Columbia,1.619891304347826
"Bananas, per kilogram",Manitoba,1.687717391304348
"Bananas, per kilogram",New Brunswick,2.001304347826087
"Bananas, per kilogram",Newfoundland and Labrador,2.1157608695652175
"Bananas, per kilogram",Nova Scotia,2.0078260869565216
"Bananas, per kilogram",Ontario,1.4319565217391306
"Bananas, per kilogram",Prince Edward Island,2.01445652173913
"Bananas, per kilogram",Quebec,1.7565217391304346
"Bananas, per kilogram",Saskatchewan,1.7145652173913044
"Cantaloupe, unit",Alberta,3.428260869565217
"Cantaloupe, unit",British Columbia,3.4456521739130435
"Cantaloupe, unit",Manitoba,3.366739130434783
"Cantaloupe, unit",New Brunswick,3.688804347826087
"Cantaloupe, unit",Newfoundland and Labrador,3.9689130434782607
"Cantaloupe, unit",Nova Scotia,3.6295652173913044
"Cantaloupe, unit",Ontario,2.872391304347826
"Cantaloupe, unit",Prince Edward Island,3.694130434782609
"Cantaloupe, unit",Quebec,3.0830434782608696
"Cantaloupe, unit",Saskatchewan,3.4643478260869567
"Grapes, per kilogram",Alberta,7.672826086956522
"Grapes, per kilogram",British Columbia,7.627826086956522
"Grapes, per kilogram",Manitoba,7.453913043478261
"Grapes, per kilogram",New Brunswick,6.602717391304348
"Grapes, per kilogram",Newfoundland and Labrador,7.715108695652174
"Grapes, per kilogram",Nova Scotia,6.716304347826087
"Grapes, per kilogram",Ontario,6.077934782608695
"Grapes, per kilogram",Prince Edward Island,6.737608695652174
"Grapes, per kilogram",Quebec,5.591739130434783
"Grapes, per kilogram",Saskatchewan,7.646521739130435
"Lemons, unit",Alberta,0.9541304347826087
"Lemons, unit",British Columbia,0.9825
"Lemons, unit",Manitoba,0.9381521739130435
"Lemons, unit",New Brunswick,0.9967391304347827
"Lemons, unit",Newfoundland and Labrador,1.0672826086956522
"Lemons, unit",Nova Scotia,0.9884782608695651
"Lemons, unit",Ontario,0.8089130434782609
"Lemons, unit",Prince Edward Island,0.9965217391304348
"Lemons, unit",Quebec,0.8466304347826087
"Lemons, unit",Saskatchewan,0.9626086956521739
"Limes, unit",Alberta,0.6711956521739131
"Limes, unit",British Columbia,0.6959782608695653
"Limes, unit",Manitoba,0.6622826086956521
"Limes, unit",New Brunswick,0.885108695652174
"Limes, unit",Newfoundland and Labrador,0.9853260869565218
"Limes, unit",Nova Scotia,0.8918478260869565
"Limes, unit",Ontario,0.5644565217391304
"Limes, unit",Prince Edward Island,0.8969565217391304
"Limes, unit",Quebec,0.6839130434782609
"Limes, unit",Saskatchewan,0.6883695652173912
"Oranges, per kilogram",Alberta,4.04641304347826
"Oranges, per kilogram",British Columbia,4.099673913043478
"Oranges, per kilogram",Manitoba,3.9622826086956517
"Oranges, per kilogram",New Brunswick,4.543152173913043
"Oranges, per kilogram",Newfoundland and Labrador,4.948804347826087
"Oranges, per kilogram",Nova Scotia,4.436304347826087
"Oranges, per kilogram",Ontario,3.4003260869565217
"Oranges, per kilogram",Prince Edward Island,4.478804347826087
"Oranges, per kilogram",Quebec,4.309673913043478
"Oranges, per kilogram",Saskatchewan,4.0753260869565215
"Pears, per kilogram",Alberta,4.6510869565217385
"Pears, per kilogram",British Columbia,4.768260869565218
"Pears, per kilogram",Manitoba,4.581413043478261
"Pears, per kilogram",New Brunswick,5.5230434782608695
"Pears, per kilogram",Newfoundland and Labrador,5.94804347826087
"Pears, per kilogram",Nova Scotia,5.46
"Pears, per kilogram",Ontario,4.416630434782609
"Pears, per kilogram",Prince Edward Island,5.572173913043478
"Pears, per kilogram",Quebec,4.8549999999999995
"Pears, per kilogram",Saskatchewan,4.702173913043478
