Products,province,avg_total
"Cereal, 400 grams",Alberta,3.527608695652174
"Cereal, 400 grams",British Columbia,3.517065217391304
"Cereal, 400 grams",Manitoba,3.4546739130434783
"Cereal, 400 grams",New Brunswick,3.6267391304347827
"Cereal, 400 grams",Newfoundland and Labrador,3.7231521739130438
"Cereal, 400 grams",Nova Scotia,3.58
"Cereal, 400 grams",Ontario,3.4400000000000004
"Cereal, 400 grams",Prince Edward Island,3.5602173913043482
"Cereal, 400 grams",Quebec,3.601086956521739
"Cereal, 400 grams",Saskatchewan,3.4930434782608697
"Dry or fresh pasta, 500 grams",Alberta,2.7897826086956523
"Dry or fresh pasta, 500 grams",British Columbia,2.916195652173913
"Dry or fresh pasta, 500 grams",Manitoba,2.6275
"Dry or fresh pasta, 500 grams",New Brunswick,2.679891304347826
"Dry or fresh pasta, 500 grams",Newfoundland and Labrador,2.752608695652174
"Dry or fresh pasta, 500 grams",Nova Scotia,2.8372826086956517
"Dry or fresh pasta, 500 grams",Ontario,2.7304347826086954
"Dry or fresh pasta, 500 grams",Prince Edward Island,2.8895652173913042
"Dry or fresh pasta, 500 grams",Quebec,2.6822826086956524
"Dry or fresh pasta, 500 grams",Saskatchewan,2.703804347826087
"Flatbread and pita, 500 grams ",Alberta,3.7498913043478264
"Flatbread and pita, 500 grams ",British Columbia,3.6056521739130436
"Flatbread and pita, 500 grams ",Manitoba,3.5521739130434784
"Flatbread and pita, 500 grams ",New Brunswick,3.9940217391304347
"Flatbread and pita, 500 grams ",Newfoundland and Labrador,4.088260869565217
"Flatbread and pita, 500 grams ",Nova Scotia,3.8566304347826086
"Flatbread and pita, 500 grams ",Ontario,2.930978260869565
"Flatbread and pita, 500 grams ",Prince Edward Island,3.8814130434782608
"Flatbread and pita, 500 grams ",Quebec,2.8408695652173916
"Flatbread and pita, 500 grams ",Saskatchewan,3.6279347826086954
"White bread, 675 grams",Alberta,3.1045652173913045
"White bread, 675 grams",British Columbia,3.309891304347826
"White bread, 675 grams",Manitoba,2.8825
"White bread, 675 grams",New Brunswick,3.1769565217391302
"White bread, 675 grams",Newfoundland and Labrador,3.4205434782608695
"White bread, 675 grams",Nova Scotia,3.0907608695652176
"White bread, 675 grams",Ontario,2.6571739130434784
"White bread, 675 grams",Prince Edward Island,3.0844565217391304
"White bread, 675 grams",Quebec,3.622826086956522
"White bread, 675 grams",Saskatchewan,3.041195652173913
