Products,province,avg_total
"Eggs, 1 dozen",Alberta,4.039239130434782
"Eggs, 1 dozen",British Columbia,4.508152173913044
"Eggs, 1 dozen",Manitoba,3.7334782608695654
"Eggs, 1 dozen",New Brunswick,3.9780434782608696
"Eggs, 1 dozen",Newfoundland and Labrador,4.090108695652174
"Eggs, 1 dozen",Nova Scotia,4.104456521739131
"Eggs, 1 dozen",Ontario,3.7671739130434783
"Eggs, 1 dozen",Prince Edward Island,4.075108695652174
"Eggs, 1 dozen",Quebec,3.4495652173913043
"Eggs, 1 dozen",Saskatchewan,3.7718478260869563
"Meatless burgers, 226 grams",Alberta,5.2607608695652175
"Meatless burgers, 226 grams",British Columbia,5.357608695652174
"Meatless burgers, 226 grams",Manitoba,5.2320652173913045
"Meatless burgers, 226 grams",New Brunswick,5.241086956521739
"Meatless burgers, 226 grams",Newfoundland and Labrador,5.299891304347826
"Meatless burgers, 226 grams",Nova Scotia,5.279565217391305
"Meatless burgers, 226 grams",Ontario,5.386086956521739
"Meatless burgers, 226 grams",Prince Edward Island,5.296195652173913
"Meatless burgers, 226 grams",Quebec,5.324456521739131
"Meatless burgers, 226 grams",Saskatchewan,5.2371739130434785
"Tofu, 350 grams ",Alberta,2.387391304347826
"Tofu, 350 grams ",British Columbia,2.469130434782609
"Tofu, 350 grams ",Manitoba,2.3117391304347827
"Tofu, 350 grams ",New Brunswick,2.425760869565217
"Tofu, 350 grams ",Newfoundland and Labrador,2.3882608695652174
"Tofu, 350 grams ",Nova Scotia,2.259021739130435
"Tofu, 350 grams ",Ontario,2.3409782608695653
"Tofu, 350 grams ",Prince Edward Island,2.4177173913043477
"Tofu, 350 grams ",Quebec,2.5253260869565217
"Tofu, 350 grams ",Saskatchewan,2.329891304347826
