Products,province,avg_total
"Bacon, 500 grams",Alberta,6.54054347826087
"Bacon, 500 grams",British Columbia,6.55804347826087
"Bacon, 500 grams",Manitoba,6.264347826086957
"Bacon, 500 grams",New Brunswick,6.133913043478262
"Bacon, 500 grams",Newfoundland and Labrador,5.965434782608696
"Bacon, 500 grams",Nova Scotia,6.032173913043478
"Bacon, 500 grams",Ontario,6.182065217391305
"Bacon, 500 grams",Prince Edward Island,5.9964130434782605
"Bacon, 500 grams",Quebec,6.228804347826086
"Bacon, 500 grams",Saskatchewan,6.079565217391305
"Chicken breasts, per kilogram",Alberta,14.370434782608696
"Chicken breasts, per kilogram",British Columbia,14.455978260869566
"Chicken breasts, per kilogram",Manitoba,13.770108695652173
"Chicken breasts, per kilogram",New Brunswick,11.794021739130434
"Chicken breasts, per kilogram",Newfoundland and Labrador,12.772608695652172
"Chicken breasts, per kilogram",Nova Scotia,11.784673913043479
"Chicken breasts, per kilogram",Ontario,12.51304347826087
"Chicken breasts, per kilogram",Prince Edward Island,11.859347826086957
"Chicken breasts, per kilogram",Quebec,12.751739130434784
"Chicken breasts, per kilogram",Saskatchewan,13.564347826086957
"Ground beef, per kilogram",Alberta,10.30391304347826
"Ground beef, per kilogram",British Columbia,10.30554347826087
"Ground beef, per kilogram",Manitoba,9.740978260869564
"Ground beef, per kilogram",New Brunswick,9.57108695652174
"Ground beef, per kilogram",Newfoundland and Labrador,9.636739130434783
"Ground beef, per kilogram",Nova Scotia,9.487717391304347
"Ground beef, per kilogram",Ontario,9.990760869565218
"Ground beef, per kilogram",Prince Edward Island,9.575869565217392
"Ground beef, per kilogram",Quebec,10.656630434782608
"Ground beef, per kilogram",Saskatchewan,9.570326086956522
"Pork loin cuts, per kilogram",Alberta,9.566521739130435
"Pork loin cuts, per kilogram",British Columbia,9.36945652173913
"Pork loin cuts, per kilogram",Manitoba,9.112608695652174
"Pork loin cuts, per kilogram",New Brunswick,7.739891304347827
"Pork loin cuts, per kilogram",Newfoundland and Labrador,7.578913043478261
"Pork loin cuts, per kilogram",Nova Scotia,7.806739130434783
"Pork loin cuts, per kilogram",Ontario,8.155434782608696
"Pork loin cuts, per kilogram",Prince Edward Island,7.828695652173913
"Pork loin cuts, per kilogram",Quebec,8.679021739130436
"Pork loin cuts, per kilogram",Saskatchewan,8.61108695652174
"Wieners, 400 grams",Alberta,3.9143478260869564
"Wieners, 400 grams",British Columbia,4.0201086956521745
"Wieners, 400 grams",Manitoba,3.7871739130434783
"Wieners, 400 grams",New Brunswick,3.5357608695652174
"Wieners, 400 grams",Newfoundland and Labrador,3.3634782608695653
"Wieners, 400 grams",Nova Scotia,3.596304347826087
"Wieners, 400 grams",Ontario,3.756195652173913
"Wieners, 400 grams",Prince Edward Island,3.5830434782608696
"Wieners, 400 grams",Quebec,3.0601086956521737
"Wieners, 400 grams",Saskatchewan,3.5124999999999997
