Products,province,avg_total
"Almonds, 200 grams",Alberta,4.899782608695652
"Almonds, 200 grams",British Columbia,4.774673913043478
"Almonds, 200 grams",Manitoba,4.711956521739131
"Almonds, 200 grams",New Brunswick,5.327826086956522
"Almonds, 200 grams",Newfoundland and Labrador,5.309130434782609
"Almonds, 200 grams",Nova Scotia,5.362717391304348
"Almonds, 200 grams",Ontario,4.808586956521739
"Almonds, 200 grams",Prince Edward Island,5.376847826086957
"Almonds, 200 grams",Quebec,5.294021739130435
"Almonds, 200 grams",Saskatchewan,4.711956521739131
"Peanuts, 450 grams",Alberta,3.5169565217391305
"Peanuts, 450 grams",British Columbia,3.4806521739130436
"Peanuts, 450 grams",Manitoba,3.5477173913043476
"Peanuts, 450 grams",New Brunswick,3.4439130434782608
"Peanuts, 450 grams",Newfoundland and Labrador,3.4618478260869567
"Peanuts, 450 grams",Nova Scotia,3.3984782608695654
"Peanuts, 450 grams",Ontario,3.282391304347826
"Peanuts, 450 grams",Prince Edward Island,3.430108695652174
"Peanuts, 450 grams",Quebec,3.571739130434783
"Peanuts, 450 grams",Saskatchewan,3.4397826086956518
