Products,province,avg_total
"Brown rice, 900 grams ",Alberta,5.0906521739130435
"Brown rice, 900 grams ",British Columbia,5.319565217391304
"Brown rice, 900 grams ",Manitoba,4.8201086956521735
"Brown rice, 900 grams ",New Brunswick,5.329021739130434
"Brown rice, 900 grams ",Newfoundland and Labrador,5.281521739130435
"Brown rice, 900 grams ",Nova Scotia,5.345978260869565
"Brown rice, 900 grams ",Ontario,4.8058695652173915
"Brown rice, 900 grams ",Prince Edward Island,5.365217391304348
"Brown rice, 900 grams ",Quebec,4.750869565217391
"Brown rice, 900 grams ",Saskatchewan,4.914891304347826
"Wheat flour, 2.5 kilograms",Alberta,4.964347826086956
"Wheat flour, 2.5 kilograms",British Columbia,5.000760869565218
"Wheat flour, 2.5 kilograms",Manitoba,4.733260869565217
"Wheat flour, 2.5 kilograms",New Brunswick,5.239782608695652
"Wheat flour, 2.5 kilograms",Newfoundland and Labrador,4.512065217391305
"Wheat flour, 2.5 kilograms",Nova Scotia,5.219130434782609
"Wheat flour, 2.5 kilograms",Ontario,4.949456521739131
"Wheat flour, 2.5 kilograms",Prince Edward Island,5.218152173913043
"Wheat flour, 2.5 kilograms",Quebec,4.9451086956521735
"Wheat flour, 2.5 kilograms",Saskatchewan,4.737065217391304
"White rice, 2 kilograms",Alberta,8.229891304347825
"White rice, 2 kilograms",British Columbia,8.22804347826087
"White rice, 2 kilograms",Manitoba,7.5364130434782615
"White rice, 2 kilograms",New Brunswick,9.879239130434783
"White rice, 2 kilograms",Newfoundland and Labrador,10.105434782608697
"White rice, 2 kilograms",Nova Scotia,9.830434782608695
"White rice, 2 kilograms",Ontario,7.69695652173913
"White rice, 2 kilograms",Prince Edward Island,9.751739130434782
"White rice, 2 kilograms",Quebec,8.8175
"White rice, 2 kilograms",Saskatchewan,7.7760869565217385
"White sugar, 2 kilograms",Alberta,2.8704347826086956
"White sugar, 2 kilograms",British Columbia,2.958586956521739
"White sugar, 2 kilograms",Manitoba,2.824130434782609
"White sugar, 2 kilograms",New Brunswick,2.3916304347826087
"White sugar, 2 kilograms",Newfoundland and Labrador,2.322608695652174
"White sugar, 2 kilograms",Nova Scotia,2.3567391304347827
"White sugar, 2 kilograms",Ontario,2.1990217391304347
"White sugar, 2 kilograms",Prince Edward Island,2.348804347826087
"White sugar, 2 kilograms",Quebec,2.5593478260869564
"White sugar, 2 kilograms",Saskatchewan,2.8656521739130434
