Products,province,avg_total
"Salmon, per kilogram",Alberta,24.188478260869566
"Salmon, per kilogram",British Columbia,25.874673913043477
"Salmon, per kilogram",Manitoba,22.620434782608694
"Salmon, per kilogram",New Brunswick,22.465869565217393
"Salmon, per kilogram",Newfoundland and Labrador,22.53739130434783
"Salmon, per kilogram",Nova Scotia,22.568804347826084
"Salmon, per kilogram",Ontario,25.64532608695652
"Salmon, per kilogram",Prince Edward Island,22.601739130434783
"Salmon, per kilogram",Quebec,23.86336956521739
"Salmon, per kilogram",Saskatchewan,21.76304347826087
"Shrimp, 300 grams",Alberta,7.481195652173913
"Shrimp, 300 grams",British Columbia,7.5127173913043475
"Shrimp, 300 grams",Manitoba,7.281521739130435
"Shrimp, 300 grams",New Brunswick,7.056739130434783
"Shrimp, 300 grams",Newfoundland and Labrador,7.1572826086956525
"Shrimp, 300 grams",Nova Scotia,6.9215217391304344
"Shrimp, 300 grams",Ontario,7.121739130434783
"Shrimp, 300 grams",Prince Edward Island,6.855108695652174
"Shrimp, 300 grams",Quebec,7.571521739130435
"Shrimp, 300 grams",Saskatchewan,7.35804347826087
