Products,province,avg_total
"Cookies and sweet biscuits, 300 grams ",Alberta,2.82
"Cookies and sweet biscuits, 300 grams ",British Columbia,2.804239130434783
"Cookies and sweet biscuits, 300 grams ",Manitoba,2.6953260869565216
"Cookies and sweet biscuits, 300 grams ",New Brunswick,2.9974999999999996
"Cookies and sweet biscuits, 300 grams ",Newfoundland and Labrador,3.0119565217391306
"Cookies and sweet biscuits, 300 grams ",Nova Scotia,2.9918478260869565
"Cookies and sweet biscuits, 300 grams ",Ontario,2.6863043478260873
"Cookies and sweet biscuits, 300 grams ",Prince Edward Island,3.0155434782608697
"Cookies and sweet biscuits, 300 grams ",Quebec,2.742826086956522
"Cookies and sweet biscuits, 300 grams ",Saskatchewan,2.729673913043478
"Hummus, 227 grams",Alberta,3.551195652173913
"Hummus, 227 grams",British Columbia,3.4899999999999998
"Hummus, 227 grams",Manitoba,3.431304347826087
"Hummus, 227 grams",New Brunswick,3.5756521739130434
"Hummus, 227 grams",Newfoundland and Labrador,3.5907608695652176
"Hummus, 227 grams",Nova Scotia,3.553695652173913
"Hummus, 227 grams",Ontario,3.421630434782609
"Hummus, 227 grams",Prince Edward Island,3.5742391304347825
"Hummus, 227 grams",Quebec,3.655760869565217
"Hummus, 227 grams",Saskatchewan,3.46804347826087
"Peanut butter, 1 kilogram",Alberta,5.1870652173913046
"Peanut butter, 1 kilogram",British Columbia,5.385652173913043
"Peanut butter, 1 kilogram",Manitoba,5.006739130434783
"Peanut butter, 1 kilogram",New Brunswick,5.091195652173913
"Peanut butter, 1 kilogram",Newfoundland and Labrador,5.052717391304348
"Peanut butter, 1 kilogram",Nova Scotia,5.024782608695652
"Peanut butter, 1 kilogram",Ontario,4.882282608695652
"Peanut butter, 1 kilogram",Prince Edward Island,5.015543478260869
"Peanut butter, 1 kilogram",Quebec,4.917717391304348
"Peanut butter, 1 kilogram",Saskatchewan,5.042717391304348
