Products,province,avg_total
"Broccoli, unit",Alberta,3.0332608695652175
"Broccoli, unit",British Columbia,3.2068478260869564
"Broccoli, unit",Manitoba,2.9629347826086954
"Broccoli, unit",New Brunswick,2.9906521739130434
"Broccoli, unit",Newfoundland and Labrador,3.215652173913043
"Broccoli, unit",Nova Scotia,2.941304347826087
"Broccoli, unit",Ontario,2.4380434782608695
"Broccoli, unit",Prince Edward Island,2.945108695652174
"Broccoli, unit",Quebec,2.3844565217391307
"Broccoli, unit",Saskatchewan,3.0318478260869566
"Cabbage, per kilogram",Alberta,2.464891304347826
"Cabbage, per kilogram",British Columbia,2.50804347826087
"Cabbage, per kilogram",Manitoba,2.352065217391304
"Cabbage, per kilogram",New Brunswick,2.55
"Cabbage, per kilogram",Newfoundland and Labrador,2.595326086956522
"Cabbage, per kilogram",Nova Scotia,2.490978260869565
"Cabbage, per kilogram",Ontario,2.1754347826086957
"Cabbage, per kilogram",Prince Edward Island,2.5181521739130432
"Cabbage, per kilogram",Quebec,2.347717391304348
"Cabbage, per kilogram",Saskatchewan,2.5067391304347826
"Celery, unit",Alberta,2.85695652173913
"Celery, unit",British Columbia,2.8180434782608694
"Celery, unit",Manitoba,2.7344565217391303
"Celery, unit",New Brunswick,3.2480434782608696
"Celery, unit",Newfoundland and Labrador,3.6222826086956523
"Celery, unit",Nova Scotia,3.3056521739130433
"Celery, unit",Ontario,2.8907608695652174
"Celery, unit",Prince Edward Island,3.29445652173913
"Celery, unit",Quebec,2.6395652173913042
"Celery, unit",Saskatchewan,2.8531521739130437
"Cucumber, unit",Alberta,1.8463043478260872
"Cucumber, unit",British Columbia,1.9319565217391306
"Cucumber, unit",Manitoba,1.7107608695652172
"Cucumber, unit",New Brunswick,1.7718478260869563
"Cucumber, unit",Newfoundland and Labrador,2.0531521739130434
"Cucumber, unit",Nova Scotia,1.7668478260869567
"Cucumber, unit",Ontario,1.442608695652174
"Cucumber, unit",Prince Edward Island,1.7869565217391306
"Cucumber, unit",Quebec,1.4952173913043478
"Cucumber, unit",Saskatchewan,1.8223913043478261
"Iceberg lettuce, unit",Alberta,2.6944565217391303
"Iceberg lettuce, unit",British Columbia,2.6277173913043477
"Iceberg lettuce, unit",Manitoba,2.6433695652173914
"Iceberg lettuce, unit",New Brunswick,2.804673913043478
"Iceberg lettuce, unit",Newfoundland and Labrador,3.1684782608695654
"Iceberg lettuce, unit",Nova Scotia,2.8206521739130435
"Iceberg lettuce, unit",Ontario,2.4188043478260868
"Iceberg lettuce, unit",Prince Edward Island,2.8779347826086954
"Iceberg lettuce, unit",Quebec,2.3032608695652175
"Iceberg lettuce, unit",Saskatchewan,2.6920652173913044
"Onions, per kilogram",Alberta,4.297173913043478
"Onions, per kilogram",British Columbia,4.210978260869566
"Onions, per kilogram",Manitoba,4.252717391304348
"Onions, per kilogram",New Brunswick,5.304565217391304
"Onions, per kilogram",Newfoundland and Labrador,5.459673913043479
"Onions, per kilogram",Nova Scotia,5.321630434782608
"Onions, per kilogram",Ontario,4.6746739130434785
"Onions, per kilogram",Prince Edward Island,5.344130434782609
"Onions, per kilogram",Quebec,4.4075
"Onions, per kilogram",Saskatchewan,4.289673913043478
"Peppers, per kilogram",Alberta,7.494782608695652
"Peppers, per kilogram",British Columbia,7.837173913043478
"Peppers, per kilogram",Manitoba,7.349021739130435
"Peppers, per kilogram",New Brunswick,7.993260869565217
"Peppers, per kilogram",Newfoundland and Labrador,8.598152173913043
"Peppers, per kilogram",Nova Scotia,8.094347826086956
"Peppers, per kilogram",Ontario,6.725543478260869
"Peppers, per kilogram",Prince Edward Island,8.150978260869564
"Peppers, per kilogram",Quebec,7.134782608695652
"Peppers, per kilogram",Saskatchewan,7.51054347826087
"Potatoes, per kilogram",Alberta,3.9905434782608693
"Potatoes, per kilogram",British Columbia,4.016521739130434
"Potatoes, per kilogram",Manitoba,3.9403260869565218
"Potatoes, per kilogram",New Brunswick,4.603369565217391
"Potatoes, per kilogram",Newfoundland and Labrador,4.792282608695652
"Potatoes, per kilogram",Nova Scotia,4.288804347826087
"Potatoes, per kilogram",Ontario,4.250326086956521
"Potatoes, per kilogram",Prince Edward Island,4.660108695652174
"Potatoes, per kilogram",Quebec,4.444565217391304
"Potatoes, per kilogram",Saskatchewan,4.159021739130435
"Squash, per kilogram",Alberta,4.009782608695652
"Squash, per kilogram",British Columbia,3.965
"Squash, per kilogram",Manitoba,3.8992391304347827
"Squash, per kilogram",New Brunswick,4.465869565217392
"Squash, per kilogram",Newfoundland and Labrador,4.89108695652174
"Squash, per kilogram",Nova Scotia,4.523260869565218
"Squash, per kilogram",Ontario,3.8618478260869566
"Squash, per kilogram",Prince Edward Island,4.620217391304348
"Squash, per kilogram",Quebec,4.163804347826087
"Squash, per kilogram",Saskatchewan,4.030434782608696
"Tomatoes, per kilogram",Alberta,4.657173913043478
"Tomatoes, per kilogram",British Columbia,4.640652173913043
"Tomatoes, per kilogram",Manitoba,4.460108695652174
"Tomatoes, per kilogram",New Brunswick,5.340434782608695
"Tomatoes, per kilogram",Newfoundland and Labrador,6.002717391304348
"Tomatoes, per kilogram",Nova Scotia,5.171195652173913
"Tomatoes, per kilogram",Ontario,4.295108695652174
"Tomatoes, per kilogram",Prince Edward Island,5.262065217391305
"Tomatoes, per kilogram",Quebec,5.195
"Tomatoes, per kilogram",Saskatchewan,4.609239130434783
