year,province,avg_value,category
2017,Alberta,14.895000000000001,baby
2017,British Columbia,15.744583333333331,baby
2017,Manitoba,13.879583333333333,baby
2017,New Brunswick,12.585833333333332,baby
2017,Newfoundland and Labrador,13.863333333333335,baby
2017,Nova Scotia,12.98875,baby
2017,Ontario,14.254583333333333,baby
2017,Prince Edward Island,11.583749999999998,baby
2017,Quebec,13.253333333333334,baby
2017,Saskatchewan,13.389166666666666,baby
2018,Alberta,15.251249999999999,baby
2018,British Columbia,15.900833333333333,baby
2018,Manitoba,13.684166666666666,baby
2018,New Brunswick,13.060833333333333,baby
2018,Newfoundland and Labrador,13.989583333333332,baby
2018,Nova Scotia,13.379583333333334,baby
2018,Ontario,14.722083333333332,baby
2018,Prince Edward Island,12.134583333333333,baby
2018,Quebec,13.69375,baby
2018,Saskatchewan,13.962499999999999,baby
2019,Alberta,15.563333333333333,baby
2019,British Columbia,16.150416666666665,baby
2019,Manitoba,14.34,baby
2019,New Brunswick,14.017083333333334,baby
2019,Newfoundland and Labrador,14.728333333333335,baby
2019,Nova Scotia,14.595833333333335,baby
2019,Ontario,15.568749999999998,baby
2019,Prince Edward Island,13.45375,baby
2019,Quebec,14.039166666666667,baby
2019,Saskatchewan,14.397916666666665,baby
2020,Alberta,15.715833333333334,baby
2020,British Columbia,15.592916666666667,baby
2020,Manitoba,14.664583333333331,baby
2020,New Brunswick,14.987499999999999,baby
2020,Newfoundland and Labrador,15.044166666666667,baby
2020,Nova Scotia,15.265416666666667,baby
2020,Ontario,15.98625,baby
2020,Prince Edward Island,14.132083333333332,baby
2020,Quebec,14.209583333333335,baby
2020,Saskatchewan,14.629583333333333,baby
2021,Alberta,16.276666666666664,baby
2021,British Columbia,16.15208333333333,baby
2021,Manitoba,15.27375,baby
2021,New Brunswick,15.845,baby
2021,Newfoundland and Labrador,16.082916666666666,baby
2021,Nova Scotia,16.201666666666664,baby
2021,Ontario,16.53875,baby
2021,Prince Edward Island,15.218333333333332,baby
2021,Quebec,14.072083333333333,baby
2021,Saskatchewan,15.292083333333334,baby
2022,Alberta,16.947499999999998,baby
2022,British Columbia,16.55833333333333,baby
2022,Manitoba,16.113333333333333,baby
2022,New Brunswick,16.825416666666666,baby
2022,Newfoundland and Labrador,17.732083333333335,baby
2022,Nova Scotia,17.136666666666667,baby
2022,Ontario,16.76291666666667,baby
2022,Prince Edward Island,15.825,baby
2022,Quebec,15.037916666666666,baby
2022,Saskatchewan,16.000416666666666,baby
2023,Alberta,19.946666666666665,baby
2023,British Columbia,19.562083333333334,baby
2023,Manitoba,19.445416666666667,baby
2023,New Brunswick,20.653333333333332,baby
2023,Newfoundland and Labrador,21.6525,baby
2023,Nova Scotia,21.229583333333334,baby
2023,Ontario,20.22875,baby
2023,Prince Edward Island,20.470416666666665,baby
2023,Quebec,18.36916666666667,baby
2023,Saskatchewan,19.221666666666668,baby
2024,Alberta,22.483125,baby
2024,British Columbia,22.365000000000002,baby
2024,Manitoba,22.154374999999998,baby
2024,New Brunswick,22.231875,baby
2024,Newfoundland and Labrador,23.129375,baby
2024,Nova Scotia,22.753125,baby
2024,Ontario,23.028125,baby
2024,Prince Edward Island,22.454375,baby
2024,Quebec,22.353125,baby
2024,Saskatchewan,22.407500000000002,baby
2017,Alberta,3.0704166666666666,beans
2017,British Columbia,3.1404166666666664,beans
2017,Manitoba,2.8975,beans
2017,New Brunswick,3.5170833333333333,beans
2017,Newfoundland and Labrador,3.392083333333333,beans
2017,Nova Scotia,3.54375,beans
2017,Ontario,2.809166666666666,beans
2017,Prince Edward Island,3.4866666666666664,beans
2017,Quebec,2.7995833333333335,beans
2017,Saskatchewan,2.9816666666666665,beans
2018,Alberta,3.05375,beans
