Category,Correlation,P-Value
baby,0.2079699953117675,0.06414646320255309
beans,-0.2802290215063445,0.011813742885940245
canned,-0.01754581309109531,0.8772340635166622
condiments,-0.04456165025785279,0.6946934952589765
dairy,-0.22688701359587438,0.04298285349488429
drinks,-0.2082747304266292,0.06374859400411927
frozen,0.06192019409502773,0.5853143929956042
fruits,-0.396179090482888,0.0002749588306162436
grains,-0.19085794655414912,0.08991512532850447
meat_alts,0.0446319737458978,0.6942355217551833
meats,0.3472573839662448,0.0015999930249091861
nuts,-0.38401312705110174,0.00043725975153010535
pantry,-0.2759728082512893,0.013217660065727898
seafood,0.5173699015471167,8.921681922105856e-07
snacks,-0.04753867791842476,0.675403421350991
veggies,-0.39127988748241915,0.00033214874777206036
