Product,U-Statistic,P-Value,Effect Size,Urban-Rural Diff,Percent Diff (%)
"Salmon, per kilogram",1.0,1.0,0.07346174760919075,1.7156423611111116,7.626295249318374
"Beef top sirloin cuts, per kilogram",1.0,1.0,0.0774209753199644,1.3793012152777777,8.053866637065715
"Chicken thigh, per kilogram",1.0,1.0,0.10564210529237514,0.9911588541666667,11.153341782723684
"Beef rib cuts, per kilogram",1.0,1.0,0.0356258380039932,0.8814149305555574,3.6271947262627067
"Infant formula, 900 grams ",1.0,1.0,0.027023422424729566,0.8517230902777762,2.739355624580252
"Beef striploin cuts, per kilogram",1.0,1.0,0.03350214657157108,0.794487847222225,3.4072904288365033
"Ground beef, per kilogram",1.0,1.0,0.04167402722208164,0.41417100694444464,4.256086862083163
"Milk, 2 litres",1.0,1.0,0.08896968857962427,0.37935763888888907,9.311175029295839
"Pork loin cuts, per kilogram",1.0,1.0,0.031747108660103475,0.26808593749999865,3.22591764501273
"Pork rib cuts, per kilogram",1.0,1.0,0.028815768962017776,0.2619487847222217,2.9237012460112903
"Wheat flour, 2.5 kilograms",1.0,1.0,0.05085374580863649,0.251059027777778,5.218053360468225
"Roasted or ground coffee, 340 grams",1.0,1.0,0.04221644956923144,0.24511284722222282,4.312677932138373
"Beef stewing cuts, per kilogram",1.0,1.0,0.014798698953322736,0.23393663194444514,1.4909015972859045
"Laundry detergent, 4.43 litres",1.0,1.0,0.015465039376066067,0.2145008680555538,1.5585554986850814
"Milk, 1 litre",1.0,1.0,0.07659505505079658,0.1969270833333332,7.964527204937538
"Bacon, 500 grams",1.0,1.0,0.031710359336201636,0.19646267361111125,3.2221232770912147
"Mayonnaise, 890 millilitres ",1.0,1.0,0.037050295869486646,0.1861935763888889,3.7749613035447624
"Pasta sauce, 650 millilitres",1.0,1.0,0.06208668372478418,0.15513020833333346,6.407581103175292
"Shrimp, 300 grams",1.0,1.0,0.016468948950103694,0.11896267361111068,1.6605688064612416
"Apple juice, 2 litres",1.0,1.0,0.032473933497359275,0.10552083333333329,3.300991437951624
"Frozen french fried potatoes, 750 grams",1.0,1.0,0.03912705937431056,0.1008420138888888,3.9907796740594135
"Milk, 4 litres",1.0,1.0,0.015284160097818448,0.09266493055555447,1.5401862362897996
"Canned salmon, 213 grams",1.0,1.0,0.019851922344491457,0.08438368055555578,2.005094726854579
"Wieners, 400 grams",1.0,1.0,0.0232329637207231,0.08420572916666691,2.3506020987129372
"Frozen strawberries, 600 grams",1.0,1.0,0.017256516375237386,0.07874131944444418,1.740670592818169
"Shampoo, 400 millilitres",1.0,1.0,0.012592520761714451,0.07129774305555525,1.267230891829067
"Margarine, 907 grams",1.0,1.0,0.01238758749517333,0.06732204861111146,1.246479184496766
"Frozen corn, 750 grams ",1.0,1.0,0.020066596324869408,0.06355902777777755,2.026997098753121
"Frozen pizza, 390 grams",1.0,1.0,0.014542137536107214,0.06227430555555635,1.4648648869395662
"Peanut butter, 1 kilogram",1.0,1.0,0.010713771600242887,0.05459201388888868,1.0771473151816242
"Almonds, 200 grams",1.0,1.0,0.010564033132257363,0.05316840277777768,1.062012882866479
"Eggs, 1 dozen",1.0,1.0,0.01318584495400437,0.05248263888888882,1.327335515555466
"Avocado, unit",1.0,1.0,0.027509919949202356,0.050959201388888875,2.78935952352104
"White bread, 675 grams",1.0,1.0,0.015545917166442205,0.04901909722222264,1.566770156177616
"Ketchup, 1 litre",1.0,1.0,0.013126510432001843,0.04885850694444471,1.3213232247470286
"Frozen peas, 750 grams",1.0,1.0,0.015094059956274058,0.04773437499999966,1.520884153930392
"Tofu, 350 grams ",1.0,1.0,0.016824765300145594,0.04026909722222216,1.6967502423145127
"Meatless burgers, 226 grams",1.0,1.0,0.006630432257725434,0.035308159722222676,0.66524866888935
"Frozen broccoli, 500 grams",1.0,1.0,0.0094010729900528,0.032057291666666377,0.9445471774843194
"Dry or fresh pasta, 500 grams",1.0,1.0,0.010766402821022586,0.029895833333333233,1.0824674222565827
"Dried lentils, 900 grams",1.0,1.0,0.007719082473465259,0.026532118055555554,0.7748990019990442
"Soy milk, 1.89 litres",1.0,1.0,0.006029278069847654,0.024049479166666998,0.6047509126925742
"Hummus, 227 grams",1.0,1.0,0.006641271528564036,0.023537326388888946,0.6663398247094994
"Block cheese, 500 grams",1.0,1.0,0.0037118525253506613,0.023211805555555465,0.3718754259044457
"Canned tomatoes, 796 millilitres",1.0,1.0,0.013206061195635015,0.021506076388889017,1.3293840833420607
"Canned tuna, 170 grams",1.0,1.0,0.011627305700630001,0.020494791666666456,1.1695298103786362
"Brown rice, 900 grams ",1.0,1.0,0.0032740529402440588,0.016809895833333144,0.32794214399479393
"Deodorant, 85 grams",1.0,1.0,0.0017629387108961242,0.010208333333333819,0.1764494058336418
"Crackers and crisp breads, 200 grams ",1.0,1.0,0.003909135216886532,0.010130208333333002,0.3916790849409836
"Frozen mixed vegetables, 750 grams ",1.0,1.0,0.002184074509518006,0.007478298611110823,0.21864622077049423
"Nut milk, 1.89 litres",1.0,1.0,0.001096724692151924,0.004370659722221948,0.10973264246445533
"Canned pear, 398 millilitres",1.0,1.0,0.0009325117817848515,0.0021788194444445352,0.09329467737139847
"Baby food, 128 millilitres",1.0,1.0,0.0004127490910415107,0.000590277777777759,0.04128342895303879
"Canned corn, 341 millilitres",0.0,1.0,-5.850975650184348e-05,-7.812499999992895e-05,-0.0058508044856114515
"White rice, 2 kilograms",0.0,1.0,-0.0006515159591795772,-0.005729166666666785,-0.06513037917722703
"Canned baked beans, 398 millilitres",0.0,1.0,-0.004204157709508119,-0.0061284722222221255,-0.4195338776577346
"Frozen green beans, 750 grams",0.0,1.0,-0.0017897745983731477,-0.00642795138888852,-0.17881743838283293
"Salad dressing, 475 millilitres",0.0,1.0,-0.0024603481856054266,-0.007144097222222534,-0.24573252477480567
"Salsa, 418 millilitres",0.0,1.0,-0.0022235870739647137,-0.008320312499999982,-0.22211176497168808
"Cereal, 400 grams",0.0,1.0,-0.0024580745567466112,-0.008802083333333321,-0.24550571999273615
"Canned peach, 398 millilitres",0.0,1.0,-0.004961284364566259,-0.011367187499999876,-0.4949007647435589
"Toothpaste, 100 millilitres",0.0,1.0,-0.0036402264287632023,-0.012300347222222285,-0.36336128420135066
"Onions, 1.36 kilograms",0.0,1.0,-0.0032628279406796377,-0.012973090277777821,-0.3257513587504411
"Sunflower seeds, 400 grams ",0.0,1.0,-0.004469965681302627,-0.01954861111111139,-0.44599976630563504
"Peanuts, 450 grams",0.0,1.0,-0.0060834378404794175,-0.02118055555555598,-0.6064989846113432
"Cookies and sweet biscuits, 300 grams ",0.0,1.0,-0.008864705548942902,-0.025455729166666607,-0.8825587432002328
"White sugar, 2 kilograms",0.0,1.0,-0.013035958551478386,-0.03379340277777798,-1.2951540677751905
Tea (20 bags),0.0,1.0,-0.008824971400555695,-0.034453125000000195,-0.8786202408070339
"Canned beans and lentils, 540 millilitres",0.0,1.0,-0.024747211163467717,-0.03570746527777757,-2.4444741572699717
"Orange juice, 2 litres",0.0,1.0,-0.008924360082002016,-0.03781684027777743,-0.8884714884574084
"Dry beans and legumes, 900 grams ",0.0,1.0,-0.013153805492617007,-0.04298611111111139,-1.3067859451899437
"Butter, 454 grams",0.0,1.0,-0.011872211703009115,-0.05883680555555593,-1.1802152874271798
"Lemons, unit",0.0,1.0,-0.06341780611599808,-0.06095486111111115,-6.14687010338157
"Frozen spinach, 300 grams",0.0,1.0,-0.0346514400802821,-0.06451822916666639,-3.4061303472121827
"Cabbage, per kilogram",0.0,1.0,-0.028274616555130205,-0.06992187499999991,-2.7880461870742614
