Products,region_type,region_avg
"Almonds, 200 grams",Rural,5.006380208333334
"Almonds, 200 grams",Urban,5.059548611111111
"Apple juice, 2 litres",Rural,3.196640625
"Apple juice, 2 litres",Urban,3.3021614583333334
"Apples, per kilogram",Rural,5.351145833333334
"Apples, per kilogram",Urban,5.113394097222222
"Avocado, unit",Rural,1.8269140625
"Avocado, unit",Urban,1.8778732638888889
"Baby food, 128 millilitres",Rural,1.4298177083333332
"Baby food, 128 millilitres",Urban,1.430407986111111
"Bacon, 500 grams",Rural,6.0973046875
"Bacon, 500 grams",Urban,6.293767361111112
"Bananas, per kilogram",Rural,1.8859765625
"Bananas, per kilogram",Urban,1.763767361111111
"Beef rib cuts, per kilogram",Rural,24.300182291666665
"Beef rib cuts, per kilogram",Urban,25.181597222222223
"Beef stewing cuts, per kilogram",Rural,15.690950520833333
"Beef stewing cuts, per kilogram",Urban,15.924887152777778
"Beef striploin cuts, per kilogram",Rural,23.317291666666666
"Beef striploin cuts, per kilogram",Urban,24.11177951388889
"Beef top sirloin cuts, per kilogram",Rural,17.12595052083333
"Beef top sirloin cuts, per kilogram",Urban,18.50525173611111
"Block cheese, 500 grams",Rural,6.241822916666667
"Block cheese, 500 grams",Urban,6.2650347222222225
"Broccoli, unit",Rural,3.0633984375
"Broccoli, unit",Urban,2.847751736111111
"Brown rice, 900 grams ",Rural,5.125872395833333
"Brown rice, 900 grams ",Urban,5.142682291666667
"Butter, 454 grams",Rural,4.985260416666667
"Butter, 454 grams",Urban,4.926423611111111
"Cabbage, per kilogram",Rural,2.5079166666666666
"Cabbage, per kilogram",Urban,2.4379947916666667
"Canned baked beans, 398 millilitres",Rural,1.46078125
"Canned baked beans, 398 millilitres",Urban,1.4546527777777778
"Canned beans and lentils, 540 millilitres",Rural,1.4607421875
"Canned beans and lentils, 540 millilitres",Urban,1.4250347222222224
"Canned corn, 341 millilitres",Rural,1.3352864583333333
"Canned corn, 341 millilitres",Urban,1.3352083333333333
"Canned peach, 398 millilitres",Rural,2.2968619791666667
"Canned peach, 398 millilitres",Urban,2.285494791666667
"Canned pear, 398 millilitres",Rural,2.3354166666666667
"Canned pear, 398 millilitres",Urban,2.3375954861111112
"Canned salmon, 213 grams",Rural,4.208463541666666
"Canned salmon, 213 grams",Urban,4.292847222222222
"Canned soup, 284 millilitres",Rural,1.3777473958333333
"Canned soup, 284 millilitres",Urban,1.297204861111111
"Canned tomatoes, 796 millilitres",Rural,1.6177473958333333
"Canned tomatoes, 796 millilitres",Urban,1.6392534722222223
"Canned tuna, 170 grams",Rural,1.7523958333333334
"Canned tuna, 170 grams",Urban,1.7728906249999998
"Canola oil, 3 litres",Rural,9.970716145833332
"Canola oil, 3 litres",Urban,9.86345486111111
"Cantaloupe, unit",Rural,3.6475651041666666
"Cantaloupe, unit",Urban,3.3743663194444444
"Carrots, 1.36 kilograms",Rural,3.7987630208333334
"Carrots, 1.36 kilograms",Urban,3.557682291666667
"Celery, unit",Rural,3.1455989583333333
"Celery, unit",Urban,2.974956597222222
"Cereal, 400 grams",Rural,3.5852864583333335
"Cereal, 400 grams",Urban,3.576484375
"Chicken breasts, per kilogram",Rural,13.074205729166666
"Chicken breasts, per kilogram",Urban,13.001145833333332
"Chicken drumsticks, per kilogram",Rural,6.4461328125
"Chicken drumsticks, per kilogram",Urban,6.328932291666667
"Chicken thigh, per kilogram",Rural,8.886653645833333
"Chicken thigh, per kilogram",Urban,9.8778125
"Cookies and sweet biscuits, 300 grams ",Rural,2.8843098958333333
"Cookies and sweet biscuits, 300 grams ",Urban,2.8588541666666667
"Crackers and crisp breads, 200 grams ",Rural,2.5863541666666667
"Crackers and crisp breads, 200 grams ",Urban,2.5964843749999997
"Cream, 1 litre",Rural,4.4549348958333335
"Cream, 1 litre",Urban,4.052881944444445
"Cucumber, unit",Rural,1.8472916666666666
"Cucumber, unit",Urban,1.7118923611111112
"Deodorant, 85 grams",Rural,5.785416666666666
"Deodorant, 85 grams",Urban,5.795625
"Dried lentils, 900 grams",Rural,3.4239453125
"Dried lentils, 900 grams",Urban,3.4504774305555554
"Dry beans and legumes, 900 grams ",Rural,3.289453125
"Dry beans and legumes, 900 grams ",Urban,3.2464670138888887
"Dry or fresh pasta, 500 grams",Rural,2.7618229166666666
"Dry or fresh pasta, 500 grams",Urban,2.79171875
"Eggs, 1 dozen",Rural,3.953984375
"Eggs, 1 dozen",Urban,4.006467013888889
"Flatbread and pita, 500 grams ",Rural,3.8011848958333334
"Flatbread and pita, 500 grams ",Urban,3.5168836805555554
"Frozen broccoli, 500 grams",Rural,3.3939322916666668
"Frozen broccoli, 500 grams",Urban,3.425989583333333
"Frozen corn, 750 grams ",Rural,3.135625
"Frozen corn, 750 grams ",Urban,3.1991840277777777
"Frozen french fried potatoes, 750 grams",Rural,2.526875
"Frozen french fried potatoes, 750 grams",Urban,2.627717013888889
"Frozen green beans, 750 grams",Rural,3.5947005208333334
"Frozen green beans, 750 grams",Urban,3.588272569444445
"Frozen mixed vegetables, 750 grams ",Rural,3.4202734375
"Frozen mixed vegetables, 750 grams ",Urban,3.427751736111111
"Frozen peas, 750 grams",Rural,3.13859375
"Frozen peas, 750 grams",Urban,3.1863281249999997
"Frozen pizza, 390 grams",Rural,4.2511979166666665
"Frozen pizza, 390 grams",Urban,4.313472222222223
"Frozen spinach, 300 grams",Rural,1.8941796874999999
"Frozen spinach, 300 grams",Urban,1.8296614583333335
"Frozen strawberries, 600 grams",Rural,4.5236197916666665
"Frozen strawberries, 600 grams",Urban,4.602361111111111
"Grapes, per kilogram",Rural,7.454348958333333
"Grapes, per kilogram",Urban,6.775425347222222
"Ground beef, per kilogram",Rural,9.731263020833333
"Ground beef, per kilogram",Urban,10.145434027777778
"Hummus, 227 grams",Rural,3.5323307291666666
"Hummus, 227 grams",Urban,3.5558680555555555
"Iceberg lettuce, unit",Rural,2.8651822916666667
"Iceberg lettuce, unit",Urban,2.63078125
"Infant formula, 900 grams ",Rural,31.092096354166667
"Infant formula, 900 grams ",Urban,31.943819444444443
"Ketchup, 1 litre",Rural,3.6976953125
"Ketchup, 1 litre",Urban,3.7465538194444448
"Laundry detergent, 4.43 litres",Rural,13.762799479166667
"Laundry detergent, 4.43 litres",Urban,13.97730034722222
"Lemons, unit",Rural,0.991640625
"Lemons, unit",Urban,0.9306857638888889
"Limes, unit",Rural,0.814609375
"Limes, unit",Urban,0.7384635416666666
"Margarine, 907 grams",Rural,5.4009765625
"Margarine, 907 grams",Urban,5.468298611111112
"Mayonnaise, 890 millilitres ",Rural,4.932330729166667
"Mayonnaise, 890 millilitres ",Urban,5.118524305555556
"Meatless burgers, 226 grams",Rural,5.307513020833333
"Meatless burgers, 226 grams",Urban,5.342821180555556
"Milk, 1 litre",Rural,2.4725520833333334
"Milk, 1 litre",Urban,2.6694791666666666
"Milk, 2 litres",Rural,4.07421875
"Milk, 2 litres",Urban,4.453576388888889
"Milk, 4 litres",Rural,6.016475694444445
"Milk, 4 litres",Urban,6.109140624999999
"Mushrooms, 227 grams",Rural,2.4692317708333333
"Mushrooms, 227 grams",Urban,2.3057291666666666
"Nut milk, 1.89 litres",Rural,3.9830078125
"Nut milk, 1.89 litres",Urban,3.987378472222222
"Olive oil, 1 litre",Rural,10.1825
"Olive oil, 1 litre",Urban,10.036258680555555
"Onions, 1.36 kilograms",Rural,3.9825130208333333
"Onions, 1.36 kilograms",Urban,3.9695399305555554
"Onions, per kilogram",Rural,4.893502604166667
"Onions, per kilogram",Urban,4.761336805555556
"Orange juice, 2 litres",Rural,4.256393229166666
"Orange juice, 2 litres",Urban,4.218576388888889
"Oranges, 1.36 kilograms",Rural,5.7533984375
"Oranges, 1.36 kilograms",Urban,5.310442708333333
"Oranges, per kilogram",Rural,4.384752604166667
"Oranges, per kilogram",Urban,4.151362847222222
"Pasta sauce, 650 millilitres",Rural,2.4210416666666665
"Pasta sauce, 650 millilitres",Urban,2.576171875
"Peanut butter, 1 kilogram",Rural,5.068203125
"Peanut butter, 1 kilogram",Urban,5.122795138888889
"Peanuts, 450 grams",Rural,3.492265625
"Peanuts, 450 grams",Urban,3.471085069444444
"Pears, per kilogram",Rural,5.234713541666666
"Pears, per kilogram",Urban,4.971814236111111
"Peppers, per kilogram",Rural,7.929062500000001
"Peppers, per kilogram",Urban,7.578532986111111
"Pork loin cuts, per kilogram",Rural,8.310377604166668
"Pork loin cuts, per kilogram",Urban,8.578463541666666
"Pork rib cuts, per kilogram",Rural,8.9594921875
"Pork rib cuts, per kilogram",Urban,9.221440972222222
"Pork shoulder cuts, per kilogram",Rural,6.908229166666667
"Pork shoulder cuts, per kilogram",Urban,6.654956597222221
"Potatoes, 4.54 kilograms",Rural,5.865625
"Potatoes, 4.54 kilograms",Urban,5.114904513888889
"Potatoes, per kilogram",Rural,4.4139453125
"Potatoes, per kilogram",Urban,4.29375
"Roasted or ground coffee, 340 grams",Rural,5.683541666666667
"Roasted or ground coffee, 340 grams",Urban,5.9286545138888895
"Romaine lettuce, unit",Rural,3.0400130208333334
"Romaine lettuce, unit",Urban,2.7472743055555555
"Salad dressing, 475 millilitres",Rural,2.907265625
"Salad dressing, 475 millilitres",Urban,2.9001215277777774
"Salad greens, 142 grams",Rural,4.3025911458333335
"Salad greens, 142 grams",Urban,4.228793402777778
"Salmon, per kilogram",Rural,22.49640625
"Salmon, per kilogram",Urban,24.21204861111111
"Salsa, 418 millilitres",Rural,3.7460026041666667
"Salsa, 418 millilitres",Urban,3.7376822916666668
"Shampoo, 400 millilitres",Rural,5.626263020833333
"Shampoo, 400 millilitres",Urban,5.697560763888888
"Shrimp, 300 grams",Rural,7.163971354166667
"Shrimp, 300 grams",Urban,7.282934027777777
"Soy milk, 1.89 litres",Rural,3.9767578125
"Soy milk, 1.89 litres",Urban,4.000807291666667
"Squash, per kilogram",Rural,4.3891015625
"Squash, per kilogram",Urban,4.192369791666667
"Strawberries, 454 grams",Rural,4.476692708333333
"Strawberries, 454 grams",Urban,4.185095486111111
"Sunflower seeds, 400 grams ",Rural,4.383098958333333
"Sunflower seeds, 400 grams ",Urban,4.363550347222222
"Sweet potatoes, per kilogram",Rural,4.1712890625
"Sweet potatoes, per kilogram",Urban,3.9571354166666666
Tea (20 bags),Rural,3.9212760416666668
Tea (20 bags),Urban,3.8868229166666666
"Tofu, 350 grams ",Rural,2.3733072916666664
"Tofu, 350 grams ",Urban,2.4135763888888886
"Tomatoes, per kilogram",Rural,5.105768229166666
"Tomatoes, per kilogram",Urban,4.901336805555555
"Toothpaste, 100 millilitres",Rural,3.38515625
"Toothpaste, 100 millilitres",Urban,3.372855902777778
"Vegetable oil, 3 litres",Rural,10.031002604166666
"Vegetable oil, 3 litres",Urban,9.282899305555555
"Wheat flour, 2.5 kilograms",Rural,4.811354166666667
"Wheat flour, 2.5 kilograms",Urban,5.062413194444445
"White bread, 675 grams",Rural,3.1286718749999998
"White bread, 675 grams",Urban,3.1776909722222224
"White rice, 2 kilograms",Rural,8.796458333333334
"White rice, 2 kilograms",Urban,8.790729166666667
"White sugar, 2 kilograms",Rural,2.60921875
"White sugar, 2 kilograms",Urban,2.575425347222222
"Whole chicken, per kilogram",Rural,6.089166666666666
"Whole chicken, per kilogram",Urban,5.99795138888889
"Wieners, 400 grams",Rural,3.5823046874999998
"Wieners, 400 grams",Urban,3.6665104166666667
"Yogurt, 500 grams",Rural,3.1426171875
"Yogurt, 500 grams",Urban,3.01359375
