Products,province,year,avg_total_yearly
"Baby food, 128 millilitres",Alberta,2017,1.2808333333333335
"Baby food, 128 millilitres",Alberta,2018,1.2675
"Baby food, 128 millilitres",Alberta,2019,1.3225
"Baby food, 128 millilitres",Alberta,2020,1.3116666666666668
"Baby food, 128 millilitres",Alberta,2021,1.3175000000000001
"Baby food, 128 millilitres",Alberta,2022,1.3633333333333333
"Baby food, 128 millilitres",Alberta,2023,1.5716666666666665
"Baby food, 128 millilitres",Alberta,2024,1.52875
"Baby food, 128 millilitres",British Columbia,2017,1.2908333333333333
"Baby food, 128 millilitres",British Columbia,2018,1.2583333333333333
"Baby food, 128 millilitres",British Columbia,2019,1.2991666666666666
"Baby food, 128 millilitres",British Columbia,2020,1.2966666666666666
"Baby food, 128 millilitres",British Columbia,2021,1.3150000000000002
"Baby food, 128 millilitres",British Columbia,2022,1.3625
"Baby food, 128 millilitres",British Columbia,2023,1.555
"Baby food, 128 millilitres",British Columbia,2024,1.52
"Baby food, 128 millilitres",Manitoba,2017,1.1908333333333332
"Baby food, 128 millilitres",Manitoba,2018,1.1925
"Baby food, 128 millilitres",Manitoba,2019,1.2558333333333334
"Baby food, 128 millilitres",Manitoba,2020,1.2625
"Baby food, 128 millilitres",Manitoba,2021,1.2758333333333334
"Baby food, 128 millilitres",Manitoba,2022,1.3025
"Baby food, 128 millilitres",Manitoba,2023,1.5
"Baby food, 128 millilitres",Manitoba,2024,1.4475
"Baby food, 128 millilitres",New Brunswick,2017,1.3208333333333335
"Baby food, 128 millilitres",New Brunswick,2018,1.3291666666666668
"Baby food, 128 millilitres",New Brunswick,2019,1.375
"Baby food, 128 millilitres",New Brunswick,2020,1.4408333333333332
"Baby food, 128 millilitres",New Brunswick,2021,1.4675
"Baby food, 128 millilitres",New Brunswick,2022,1.6616666666666668
"Baby food, 128 millilitres",New Brunswick,2023,1.7916666666666667
"Baby food, 128 millilitres",New Brunswick,2024,1.7025
"Baby food, 128 millilitres",Newfoundland and Labrador,2017,1.3125
"Baby food, 128 millilitres",Newfoundland and Labrador,2018,1.3291666666666668
"Baby food, 128 millilitres",Newfoundland and Labrador,2019,1.4124999999999999
"Baby food, 128 millilitres",Newfoundland and Labrador,2020,1.5116666666666667
"Baby food, 128 millilitres",Newfoundland and Labrador,2021,1.5250000000000001
"Baby food, 128 millilitres",Newfoundland and Labrador,2022,1.7
"Baby food, 128 millilitres",Newfoundland and Labrador,2023,1.8575
"Baby food, 128 millilitres",Newfoundland and Labrador,2024,1.75625
"Baby food, 128 millilitres",Nova Scotia,2017,1.345
"Baby food, 128 millilitres",Nova Scotia,2018,1.3341666666666667
"Baby food, 128 millilitres",Nova Scotia,2019,1.3866666666666667
"Baby food, 128 millilitres",Nova Scotia,2020,1.4316666666666666
"Baby food, 128 millilitres",Nova Scotia,2021,1.4525
"Baby food, 128 millilitres",Nova Scotia,2022,1.6391666666666664
"Baby food, 128 millilitres",Nova Scotia,2023,1.7866666666666668
"Baby food, 128 millilitres",Nova Scotia,2024,1.68125
"Baby food, 128 millilitres",Ontario,2017,1.3033333333333335
"Baby food, 128 millilitres",Ontario,2018,1.2783333333333333
"Baby food, 128 millilitres",Ontario,2019,1.3283333333333334
