Products,province,year,avg_total_yearly
"Dried lentils, 900 grams",Alberta,2017,3.0749999999999997
"Dried lentils, 900 grams",Alberta,2018,3.0733333333333337
"Dried lentils, 900 grams",Alberta,2019,3.0500000000000003
"Dried lentils, 900 grams",Alberta,2020,3.0658333333333334
"Dried lentils, 900 grams",Alberta,2021,3.0475
"Dried lentils, 900 grams",Alberta,2022,3.595
"Dried lentils, 900 grams",Alberta,2023,3.858333333333333
"Dried lentils, 900 grams",Alberta,2024,3.78625
"Dried lentils, 900 grams",British Columbia,2017,3.358333333333333
"Dried lentils, 900 grams",British Columbia,2018,3.4575
"Dried lentils, 900 grams",British Columbia,2019,3.404166666666667
"Dried lentils, 900 grams",British Columbia,2020,3.235
"Dried lentils, 900 grams",British Columbia,2021,3.2308333333333334
"Dried lentils, 900 grams",British Columbia,2022,3.748333333333333
"Dried lentils, 900 grams",British Columbia,2023,3.9908333333333332
"Dried lentils, 900 grams",British Columbia,2024,3.9775
"Dried lentils, 900 grams",Manitoba,2017,2.9291666666666667
"Dried lentils, 900 grams",Manitoba,2018,3.0366666666666666
"Dried lentils, 900 grams",Manitoba,2019,3.015
"Dried lentils, 900 grams",Manitoba,2020,3.0216666666666665
"Dried lentils, 900 grams",Manitoba,2021,2.9258333333333333
"Dried lentils, 900 grams",Manitoba,2022,3.545
"Dried lentils, 900 grams",Manitoba,2023,3.7866666666666666
"Dried lentils, 900 grams",Manitoba,2024,3.75375
"Dried lentils, 900 grams",New Brunswick,2017,3.4291666666666667
"Dried lentils, 900 grams",New Brunswick,2018,3.3991666666666664
"Dried lentils, 900 grams",New Brunswick,2019,3.231666666666667
"Dried lentils, 900 grams",New Brunswick,2020,3.3208333333333333
"Dried lentils, 900 grams",New Brunswick,2021,3.3841666666666668
"Dried lentils, 900 grams",New Brunswick,2022,3.5683333333333334
"Dried lentils, 900 grams",New Brunswick,2023,3.9408333333333334
"Dried lentils, 900 grams",New Brunswick,2024,4.3675
"Dried lentils, 900 grams",Newfoundland and Labrador,2017,3.4583333333333335
"Dried lentils, 900 grams",Newfoundland and Labrador,2018,3.339166666666667
"Dried lentils, 900 grams",Newfoundland and Labrador,2019,3.185
"Dried lentils, 900 grams",Newfoundland and Labrador,2020,3.3041666666666667
"Dried lentils, 900 grams",Newfoundland and Labrador,2021,3.42
"Dried lentils, 900 grams",Newfoundland and Labrador,2022,3.6641666666666666
"Dried lentils, 900 grams",Newfoundland and Labrador,2023,4.075833333333333
"Dried lentils, 900 grams",Newfoundland and Labrador,2024,4.315
"Dried lentils, 900 grams",Nova Scotia,2017,3.4183333333333334
"Dried lentils, 900 grams",Nova Scotia,2018,3.3408333333333338
"Dried lentils, 900 grams",Nova Scotia,2019,3.1808333333333336
"Dried lentils, 900 grams",Nova Scotia,2020,3.25
"Dried lentils, 900 grams",Nova Scotia,2021,3.310833333333333
"Dried lentils, 900 grams",Nova Scotia,2022,3.5399999999999996
"Dried lentils, 900 grams",Nova Scotia,2023,3.91
"Dried lentils, 900 grams",Nova Scotia,2024,4.3
"Dried lentils, 900 grams",Ontario,2017,2.9283333333333332
"Dried lentils, 900 grams",Ontario,2018,2.9891666666666663
"Dried lentils, 900 grams",Ontario,2019,3.0383333333333336
"Dried lentils, 900 grams",Ontario,2020,3.109166666666667
"Dried lentils, 900 grams",Ontario,2021,3.1
"Dried lentils, 900 grams",Ontario,2022,3.5050000000000003
"Dried lentils, 900 grams",Ontario,2023,3.8091666666666666
"Dried lentils, 900 grams",Ontario,2024,3.7075
"Dried lentils, 900 grams",Prince Edward Island,2017,3.4125
"Dried lentils, 900 grams",Prince Edward Island,2018,3.3675
"Dried lentils, 900 grams",Prince Edward Island,2019,3.2375000000000003
"Dried lentils, 900 grams",Prince Edward Island,2020,3.25
"Dried lentils, 900 grams",Prince Edward Island,2021,3.345833333333333
"Dried lentils, 900 grams",Prince Edward Island,2022,3.5341666666666662
"Dried lentils, 900 grams",Prince Edward Island,2023,3.9
"Dried lentils, 900 grams",Prince Edward Island,2024,4.28125
"Dried lentils, 900 grams",Quebec,2017,3.0124999999999997
"Dried lentils, 900 grams",Quebec,2018,2.9324999999999997
"Dried lentils, 900 grams",Quebec,2019,3.0191666666666666
"Dried lentils, 900 grams",Quebec,2020,3.169166666666667
"Dried lentils, 900 grams",Quebec,2021,3.325833333333333
"Dried lentils, 900 grams",Quebec,2022,4.034166666666667
"Dried lentils, 900 grams",Quebec,2023,4.139166666666667
"Dried lentils, 900 grams",Quebec,2024,3.9575
"Dried lentils, 900 grams",Saskatchewan,2017,2.935833333333333
