Products,province,year,avg_total_yearly
"Canned beans and lentils, 540 millilitres",Alberta,2017,1.1716666666666666
"Canned beans and lentils, 540 millilitres",Alberta,2018,1.2033333333333334
"Canned beans and lentils, 540 millilitres",Alberta,2019,1.215
"Canned beans and lentils, 540 millilitres",Alberta,2020,1.3108333333333333
"Canned beans and lentils, 540 millilitres",Alberta,2021,1.3091666666666668
"Canned beans and lentils, 540 millilitres",Alberta,2022,1.4866666666666666
"Canned beans and lentils, 540 millilitres",Alberta,2023,1.6708333333333334
"Canned beans and lentils, 540 millilitres",Alberta,2024,1.7
"Canned beans and lentils, 540 millilitres",British Columbia,2017,1.1616666666666666
"Canned beans and lentils, 540 millilitres",British Columbia,2018,1.2008333333333334
"Canned beans and lentils, 540 millilitres",British Columbia,2019,1.2283333333333333
"Canned beans and lentils, 540 millilitres",British Columbia,2020,1.3141666666666667
"Canned beans and lentils, 540 millilitres",British Columbia,2021,1.2941666666666667
"Canned beans and lentils, 540 millilitres",British Columbia,2022,1.4875
"Canned beans and lentils, 540 millilitres",British Columbia,2023,1.6683333333333332
"Canned beans and lentils, 540 millilitres",British Columbia,2024,1.68625
"Canned beans and lentils, 540 millilitres",Manitoba,2017,1.1541666666666666
"Canned beans and lentils, 540 millilitres",Manitoba,2018,1.1908333333333332
"Canned beans and lentils, 540 millilitres",Manitoba,2019,1.195
"Canned beans and lentils, 540 millilitres",Manitoba,2020,1.2866666666666666
"Canned beans and lentils, 540 millilitres",Manitoba,2021,1.2575
"Canned beans and lentils, 540 millilitres",Manitoba,2022,1.4666666666666668
"Canned beans and lentils, 540 millilitres",Manitoba,2023,1.6458333333333333
"Canned beans and lentils, 540 millilitres",Manitoba,2024,1.6837499999999999
"Canned beans and lentils, 540 millilitres",New Brunswick,2017,1.3183333333333334
"Canned beans and lentils, 540 millilitres",New Brunswick,2018,1.3383333333333332
"Canned beans and lentils, 540 millilitres",New Brunswick,2019,1.4883333333333333
"Canned beans and lentils, 540 millilitres",New Brunswick,2020,1.4649999999999999
"Canned beans and lentils, 540 millilitres",New Brunswick,2021,1.4675
"Canned beans and lentils, 540 millilitres",New Brunswick,2022,1.6791666666666665
"Canned beans and lentils, 540 millilitres",New Brunswick,2023,1.8658333333333335
"Canned beans and lentils, 540 millilitres",New Brunswick,2024,1.8062500000000001
"Canned beans and lentils, 540 millilitres",Newfoundland and Labrador,2017,1.3233333333333335
"Canned beans and lentils, 540 millilitres",Newfoundland and Labrador,2018,1.3133333333333332
"Canned beans and lentils, 540 millilitres",Newfoundland and Labrador,2019,1.4691666666666665
"Canned beans and lentils, 540 millilitres",Newfoundland and Labrador,2020,1.4708333333333332
"Canned beans and lentils, 540 millilitres",Newfoundland and Labrador,2021,1.4533333333333334
"Canned beans and lentils, 540 millilitres",Newfoundland and Labrador,2022,1.6816666666666666
"Canned beans and lentils, 540 millilitres",Newfoundland and Labrador,2023,1.9283333333333335
"Canned beans and lentils, 540 millilitres",Newfoundland and Labrador,2024,1.83875
"Canned beans and lentils, 540 millilitres",Nova Scotia,2017,1.3058333333333334
"Canned beans and lentils, 540 millilitres",Nova Scotia,2018,1.3141666666666667
"Canned beans and lentils, 540 millilitres",Nova Scotia,2019,1.4616666666666667
"Canned beans and lentils, 540 millilitres",Nova Scotia,2020,1.4483333333333333
"Canned beans and lentils, 540 millilitres",Nova Scotia,2021,1.4691666666666665
"Canned beans and lentils, 540 millilitres",Nova Scotia,2022,1.6616666666666668
"Canned beans and lentils, 540 millilitres",Nova Scotia,2023,1.8575
"Canned beans and lentils, 540 millilitres",Nova Scotia,2024,1.83125
"Canned beans and lentils, 540 millilitres",Ontario,2017,1.0725
"Canned beans and lentils, 540 millilitres",Ontario,2018,1.09
"Canned beans and lentils, 540 millilitres",Ontario,2019,1.1558333333333333
"Canned beans and lentils, 540 millilitres",Ontario,2020,1.2691666666666668
"Canned beans and lentils, 540 millilitres",Ontario,2021,1.295
"Canned beans and lentils, 540 millilitres",Ontario,2022,1.4141666666666666
"Canned beans and lentils, 540 millilitres",Ontario,2023,1.6133333333333333
"Canned beans and lentils, 540 millilitres",Ontario,2024,1.6212499999999999
"Canned beans and lentils, 540 millilitres",Prince Edward Island,2017,1.3125
"Canned beans and lentils, 540 millilitres",Prince Edward Island,2018,1.3316666666666668
"Canned beans and lentils, 540 millilitres",Prince Edward Island,2019,1.4733333333333334
"Canned beans and lentils, 540 millilitres",Prince Edward Island,2020,1.4675
"Canned beans and lentils, 540 millilitres",Prince Edward Island,2021,1.4708333333333332
"Canned beans and lentils, 540 millilitres",Prince Edward Island,2022,1.6591666666666667
"Canned beans and lentils, 540 millilitres",Prince Edward Island,2023,1.8675
"Canned beans and lentils, 540 millilitres",Prince Edward Island,2024,1.82875
"Canned beans and lentils, 540 millilitres",Quebec,2017,1.1591666666666667
"Canned beans and lentils, 540 millilitres",Quebec,2018,1.1616666666666666
"Canned beans and lentils, 540 millilitres",Quebec,2019,1.1975
"Canned beans and lentils, 540 millilitres",Quebec,2020,1.2825
"Canned beans and lentils, 540 millilitres",Quebec,2021,1.3208333333333333
"Canned beans and lentils, 540 millilitres",Quebec,2022,1.6008333333333333
"Canned beans and lentils, 540 millilitres",Quebec,2023,1.6333333333333335
"Canned beans and lentils, 540 millilitres",Quebec,2024,1.6275
"Canned beans and lentils, 540 millilitres",Saskatchewan,2017,1.1675
"Canned beans and lentils, 540 millilitres",Saskatchewan,2018,1.195
"Canned beans and lentils, 540 millilitres",Saskatchewan,2019,1.2241666666666666
"Canned beans and lentils, 540 millilitres",Saskatchewan,2020,1.2883333333333333
"Canned beans and lentils, 540 millilitres",Saskatchewan,2021,1.2791666666666666
"Canned beans and lentils, 540 millilitres",Saskatchewan,2022,1.4766666666666666
"Canned beans and lentils, 540 millilitres",Saskatchewan,2023,1.66
"Canned beans and lentils, 540 millilitres",Saskatchewan,2024,1.6824999999999999
"Canned soup, 284 millilitres",Alberta,2017,1.3783333333333332
"Canned soup, 284 millilitres",Alberta,2018,1.3741666666666665
"Canned soup, 284 millilitres",Alberta,2019,1.4425
"Canned soup, 284 millilitres",Alberta,2020,1.4400000000000002
"Canned soup, 284 millilitres",Alberta,2021,1.4616666666666667
"Canned soup, 284 millilitres",Alberta,2022,1.765
"Canned soup, 284 millilitres",Alberta,2023,1.9616666666666667
"Canned soup, 284 millilitres",Alberta,2024,1.57375
"Canned soup, 284 millilitres",British Columbia,2017,1.4333333333333333
"Canned soup, 284 millilitres",British Columbia,2018,1.4383333333333335
"Canned soup, 284 millilitres",British Columbia,2019,1.5108333333333333
"Canned soup, 284 millilitres",British Columbia,2020,1.3816666666666668
"Canned soup, 284 millilitres",British Columbia,2021,1.4433333333333334
"Canned soup, 284 millilitres",British Columbia,2022,1.7983333333333336
"Canned soup, 284 millilitres",British Columbia,2023,1.9491666666666667
"Canned soup, 284 millilitres",British Columbia,2024,1.59375
