Products,province,year,avg_total_yearly
"Ketchup, 1 litre",Alberta,2017,3.0741666666666667
"Ketchup, 1 litre",Alberta,2018,3.2691666666666666
"Ketchup, 1 litre",Alberta,2019,3.2175
"Ketchup, 1 litre",Alberta,2020,3.2516666666666665
"Ketchup, 1 litre",Alberta,2021,3.359166666666667
"Ketchup, 1 litre",Alberta,2022,4.028333333333333
"Ketchup, 1 litre",Alberta,2023,4.331666666666667
"Ketchup, 1 litre",Alberta,2024,4.57875
"Ketchup, 1 litre",British Columbia,2017,3.018333333333333
"Ketchup, 1 litre",British Columbia,2018,3.19
"Ketchup, 1 litre",British Columbia,2019,3.1199999999999997
"Ketchup, 1 litre",British Columbia,2020,3.1649999999999996
"Ketchup, 1 litre",British Columbia,2021,3.268333333333333
"Ketchup, 1 litre",British Columbia,2022,3.9716666666666662
"Ketchup, 1 litre",British Columbia,2023,4.33
"Ketchup, 1 litre",British Columbia,2024,4.575
"Ketchup, 1 litre",Manitoba,2017,2.9516666666666667
"Ketchup, 1 litre",Manitoba,2018,3.1799999999999997
"Ketchup, 1 litre",Manitoba,2019,3.1125000000000003
"Ketchup, 1 litre",Manitoba,2020,3.115
"Ketchup, 1 litre",Manitoba,2021,3.2308333333333334
"Ketchup, 1 litre",Manitoba,2022,3.9008333333333334
"Ketchup, 1 litre",Manitoba,2023,4.1875
"Ketchup, 1 litre",Manitoba,2024,4.49375
"Ketchup, 1 litre",New Brunswick,2017,3.3233333333333337
"Ketchup, 1 litre",New Brunswick,2018,3.545833333333333
"Ketchup, 1 litre",New Brunswick,2019,3.4291666666666667
"Ketchup, 1 litre",New Brunswick,2020,3.5083333333333333
"Ketchup, 1 litre",New Brunswick,2021,3.6625
"Ketchup, 1 litre",New Brunswick,2022,4.3533333333333335
"Ketchup, 1 litre",New Brunswick,2023,4.859166666666667
"Ketchup, 1 litre",New Brunswick,2024,4.9475
"Ketchup, 1 litre",Newfoundland and Labrador,2017,3.2091666666666665
"Ketchup, 1 litre",Newfoundland and Labrador,2018,3.3891666666666667
"Ketchup, 1 litre",Newfoundland and Labrador,2019,3.296666666666667
"Ketchup, 1 litre",Newfoundland and Labrador,2020,3.3825000000000003
"Ketchup, 1 litre",Newfoundland and Labrador,2021,3.5391666666666666
"Ketchup, 1 litre",Newfoundland and Labrador,2022,4.164166666666667
"Ketchup, 1 litre",Newfoundland and Labrador,2023,4.638333333333333
"Ketchup, 1 litre",Newfoundland and Labrador,2024,4.75
"Ketchup, 1 litre",Nova Scotia,2017,3.2433333333333336
"Ketchup, 1 litre",Nova Scotia,2018,3.473333333333333
"Ketchup, 1 litre",Nova Scotia,2019,3.315
"Ketchup, 1 litre",Nova Scotia,2020,3.4058333333333333
"Ketchup, 1 litre",Nova Scotia,2021,3.5975
"Ketchup, 1 litre",Nova Scotia,2022,4.255
"Ketchup, 1 litre",Nova Scotia,2023,4.708333333333333
"Ketchup, 1 litre",Nova Scotia,2024,4.87625
"Ketchup, 1 litre",Ontario,2017,3.08
"Ketchup, 1 litre",Ontario,2018,3.2283333333333335
"Ketchup, 1 litre",Ontario,2019,3.2266666666666666
"Ketchup, 1 litre",Ontario,2020,3.2558333333333334
"Ketchup, 1 litre",Ontario,2021,3.3358333333333334
"Ketchup, 1 litre",Ontario,2022,3.9924999999999997
"Ketchup, 1 litre",Ontario,2023,4.4775
"Ketchup, 1 litre",Ontario,2024,4.62375
"Ketchup, 1 litre",Prince Edward Island,2017,3.3033333333333332
"Ketchup, 1 litre",Prince Edward Island,2018,3.53
"Ketchup, 1 litre",Prince Edward Island,2019,3.4275
"Ketchup, 1 litre",Prince Edward Island,2020,3.48
"Ketchup, 1 litre",Prince Edward Island,2021,3.6750000000000003
"Ketchup, 1 litre",Prince Edward Island,2022,4.400833333333334
"Ketchup, 1 litre",Prince Edward Island,2023,4.854166666666667
"Ketchup, 1 litre",Prince Edward Island,2024,5.0125
"Ketchup, 1 litre",Quebec,2017,3.2408333333333332
"Ketchup, 1 litre",Quebec,2018,3.3874999999999997
"Ketchup, 1 litre",Quebec,2019,3.3658333333333332
"Ketchup, 1 litre",Quebec,2020,3.390833333333333
"Ketchup, 1 litre",Quebec,2021,3.4341666666666666
