Products,province,year,avg_total_yearly
"Block cheese, 500 grams",Alberta,2017,6.008333333333333
"Block cheese, 500 grams",Alberta,2018,5.9725
"Block cheese, 500 grams",Alberta,2019,6.109166666666667
"Block cheese, 500 grams",Alberta,2020,6.213333333333334
"Block cheese, 500 grams",Alberta,2021,6.43
"Block cheese, 500 grams",Alberta,2022,6.79
"Block cheese, 500 grams",Alberta,2023,6.793333333333333
"Block cheese, 500 grams",Alberta,2024,6.98
"Block cheese, 500 grams",British Columbia,2017,6.163333333333333
"Block cheese, 500 grams",British Columbia,2018,6.076666666666667
"Block cheese, 500 grams",British Columbia,2019,6.075833333333333
"Block cheese, 500 grams",British Columbia,2020,6.235833333333333
"Block cheese, 500 grams",British Columbia,2021,6.452500000000001
"Block cheese, 500 grams",British Columbia,2022,6.836666666666667
"Block cheese, 500 grams",British Columbia,2023,6.853333333333333
"Block cheese, 500 grams",British Columbia,2024,7.01875
"Block cheese, 500 grams",Manitoba,2017,5.895
"Block cheese, 500 grams",Manitoba,2018,5.850833333333333
"Block cheese, 500 grams",Manitoba,2019,5.920833333333333
"Block cheese, 500 grams",Manitoba,2020,6.021666666666667
"Block cheese, 500 grams",Manitoba,2021,6.225833333333333
"Block cheese, 500 grams",Manitoba,2022,6.626666666666666
"Block cheese, 500 grams",Manitoba,2023,6.5975
"Block cheese, 500 grams",Manitoba,2024,6.78125
"Block cheese, 500 grams",New Brunswick,2017,5.721666666666667
"Block cheese, 500 grams",New Brunswick,2018,5.6525
"Block cheese, 500 grams",New Brunswick,2019,5.815
"Block cheese, 500 grams",New Brunswick,2020,6.086666666666667
"Block cheese, 500 grams",New Brunswick,2021,6.325833333333333
"Block cheese, 500 grams",New Brunswick,2022,6.685833333333334
"Block cheese, 500 grams",New Brunswick,2023,6.778333333333333
"Block cheese, 500 grams",New Brunswick,2024,7.0
"Block cheese, 500 grams",Newfoundland and Labrador,2017,5.760833333333333
"Block cheese, 500 grams",Newfoundland and Labrador,2018,5.625
"Block cheese, 500 grams",Newfoundland and Labrador,2019,5.716666666666666
"Block cheese, 500 grams",Newfoundland and Labrador,2020,5.935
"Block cheese, 500 grams",Newfoundland and Labrador,2021,6.153333333333333
"Block cheese, 500 grams",Newfoundland and Labrador,2022,6.618333333333333
"Block cheese, 500 grams",Newfoundland and Labrador,2023,6.698333333333333
"Block cheese, 500 grams",Newfoundland and Labrador,2024,6.9575
"Block cheese, 500 grams",Nova Scotia,2017,5.683333333333334
"Block cheese, 500 grams",Nova Scotia,2018,5.6000000000000005
"Block cheese, 500 grams",Nova Scotia,2019,5.7250000000000005
"Block cheese, 500 grams",Nova Scotia,2020,5.989166666666667
"Block cheese, 500 grams",Nova Scotia,2021,6.265833333333333
"Block cheese, 500 grams",Nova Scotia,2022,6.685833333333334
"Block cheese, 500 grams",Nova Scotia,2023,6.748333333333334
"Block cheese, 500 grams",Nova Scotia,2024,6.96125
"Block cheese, 500 grams",Ontario,2017,5.665833333333333
"Block cheese, 500 grams",Ontario,2018,5.701666666666667
"Block cheese, 500 grams",Ontario,2019,5.720833333333334
"Block cheese, 500 grams",Ontario,2020,6.069166666666667
"Block cheese, 500 grams",Ontario,2021,6.246666666666666
"Block cheese, 500 grams",Ontario,2022,6.649166666666667
"Block cheese, 500 grams",Ontario,2023,6.7775
"Block cheese, 500 grams",Ontario,2024,6.845
"Block cheese, 500 grams",Prince Edward Island,2017,5.735833333333333
"Block cheese, 500 grams",Prince Edward Island,2018,5.618333333333333
"Block cheese, 500 grams",Prince Edward Island,2019,5.745
"Block cheese, 500 grams",Prince Edward Island,2020,6.1275
"Block cheese, 500 grams",Prince Edward Island,2021,6.346666666666667
"Block cheese, 500 grams",Prince Edward Island,2022,6.765833333333333
"Block cheese, 500 grams",Prince Edward Island,2023,6.835
"Block cheese, 500 grams",Prince Edward Island,2024,7.07125
"Block cheese, 500 grams",Quebec,2017,5.601666666666667
"Block cheese, 500 grams",Quebec,2018,5.577500000000001
"Block cheese, 500 grams",Quebec,2019,5.868333333333333
"Block cheese, 500 grams",Quebec,2020,6.034166666666667
"Block cheese, 500 grams",Quebec,2021,5.9575
"Block cheese, 500 grams",Quebec,2022,6.3066666666666675
"Block cheese, 500 grams",Quebec,2023,6.495833333333334
"Block cheese, 500 grams",Quebec,2024,6.47
"Block cheese, 500 grams",Saskatchewan,2017,5.965833333333333
"Block cheese, 500 grams",Saskatchewan,2018,5.8875
"Block cheese, 500 grams",Saskatchewan,2019,5.989166666666667
"Block cheese, 500 grams",Saskatchewan,2020,6.059166666666667
"Block cheese, 500 grams",Saskatchewan,2021,6.2491666666666665
"Block cheese, 500 grams",Saskatchewan,2022,6.629166666666666
"Block cheese, 500 grams",Saskatchewan,2023,6.585833333333333
"Block cheese, 500 grams",Saskatchewan,2024,6.7425
"Butter, 454 grams",Alberta,2017,4.3275
"Butter, 454 grams",Alberta,2018,4.206666666666667
"Butter, 454 grams",Alberta,2019,4.2058333333333335
"Butter, 454 grams",Alberta,2020,4.636666666666667
"Butter, 454 grams",Alberta,2021,4.976666666666667
"Butter, 454 grams",Alberta,2022,5.8425
"Butter, 454 grams",Alberta,2023,6.450833333333333
"Butter, 454 grams",Alberta,2024,6.2375
"Butter, 454 grams",British Columbia,2017,4.291666666666667
"Butter, 454 grams",British Columbia,2018,4.153333333333333
"Butter, 454 grams",British Columbia,2019,4.190833333333333
"Butter, 454 grams",British Columbia,2020,4.5841666666666665
"Butter, 454 grams",British Columbia,2021,4.9425
"Butter, 454 grams",British Columbia,2022,5.849166666666666
"Butter, 454 grams",British Columbia,2023,6.453333333333333
"Butter, 454 grams",British Columbia,2024,6.24125
"Butter, 454 grams",Manitoba,2017,4.225833333333333
"Butter, 454 grams",Manitoba,2018,4.0441666666666665
"Butter, 454 grams",Manitoba,2019,4.038333333333333
"Butter, 454 grams",Manitoba,2020,4.514166666666667
"Butter, 454 grams",Manitoba,2021,4.88
"Butter, 454 grams",Manitoba,2022,5.683333333333334
"Butter, 454 grams",Manitoba,2023,6.333333333333333
"Butter, 454 grams",Manitoba,2024,6.1275
"Butter, 454 grams",New Brunswick,2017,4.410833333333334
"Butter, 454 grams",New Brunswick,2018,4.119166666666667
"Butter, 454 grams",New Brunswick,2019,4.0975
"Butter, 454 grams",New Brunswick,2020,4.405
"Butter, 454 grams",New Brunswick,2021,4.8549999999999995
"Butter, 454 grams",New Brunswick,2022,5.6325
