Products,province,year,avg_total_yearly
"Apple juice, 2 litres",Alberta,2017,2.935833333333333
"Apple juice, 2 litres",Alberta,2018,2.973333333333333
"Apple juice, 2 litres",Alberta,2019,2.9575
"Apple juice, 2 litres",Alberta,2020,2.9091666666666662
"Apple juice, 2 litres",Alberta,2021,2.9008333333333334
"Apple juice, 2 litres",Alberta,2022,3.404166666666667
"Apple juice, 2 litres",Alberta,2023,3.9625
"Apple juice, 2 litres",Alberta,2024,3.93
"Apple juice, 2 litres",British Columbia,2017,2.9008333333333334
"Apple juice, 2 litres",British Columbia,2018,2.9450000000000003
"Apple juice, 2 litres",British Columbia,2019,2.845
"Apple juice, 2 litres",British Columbia,2020,2.8958333333333335
"Apple juice, 2 litres",British Columbia,2021,2.8991666666666664
"Apple juice, 2 litres",British Columbia,2022,3.361666666666667
"Apple juice, 2 litres",British Columbia,2023,3.9299999999999997
"Apple juice, 2 litres",British Columbia,2024,3.95125
"Apple juice, 2 litres",Manitoba,2017,2.8066666666666666
"Apple juice, 2 litres",Manitoba,2018,2.763333333333333
"Apple juice, 2 litres",Manitoba,2019,2.69
"Apple juice, 2 litres",Manitoba,2020,2.74
"Apple juice, 2 litres",Manitoba,2021,2.7691666666666666
"Apple juice, 2 litres",Manitoba,2022,3.2091666666666665
"Apple juice, 2 litres",Manitoba,2023,3.7291666666666665
"Apple juice, 2 litres",Manitoba,2024,3.685
"Apple juice, 2 litres",New Brunswick,2017,3.11
"Apple juice, 2 litres",New Brunswick,2018,3.09
"Apple juice, 2 litres",New Brunswick,2019,3.1841666666666666
"Apple juice, 2 litres",New Brunswick,2020,3.28
"Apple juice, 2 litres",New Brunswick,2021,3.4175
"Apple juice, 2 litres",New Brunswick,2022,3.5416666666666665
"Apple juice, 2 litres",New Brunswick,2023,4.001666666666666
"Apple juice, 2 litres",New Brunswick,2024,3.88125
"Apple juice, 2 litres",Newfoundland and Labrador,2017,2.793333333333333
"Apple juice, 2 litres",Newfoundland and Labrador,2018,2.8775
"Apple juice, 2 litres",Newfoundland and Labrador,2019,2.955
"Apple juice, 2 litres",Newfoundland and Labrador,2020,3.2291666666666665
"Apple juice, 2 litres",Newfoundland and Labrador,2021,3.2608333333333337
"Apple juice, 2 litres",Newfoundland and Labrador,2022,3.393333333333333
"Apple juice, 2 litres",Newfoundland and Labrador,2023,3.8275
"Apple juice, 2 litres",Newfoundland and Labrador,2024,3.5637499999999998
"Apple juice, 2 litres",Nova Scotia,2017,3.0483333333333333
"Apple juice, 2 litres",Nova Scotia,2018,3.063333333333333
"Apple juice, 2 litres",Nova Scotia,2019,3.125
"Apple juice, 2 litres",Nova Scotia,2020,3.2733333333333334
"Apple juice, 2 litres",Nova Scotia,2021,3.3699999999999997
"Apple juice, 2 litres",Nova Scotia,2022,3.473333333333333
"Apple juice, 2 litres",Nova Scotia,2023,3.954166666666667
"Apple juice, 2 litres",Nova Scotia,2024,3.81625
"Apple juice, 2 litres",Ontario,2017,2.6791666666666667
"Apple juice, 2 litres",Ontario,2018,2.6533333333333333
"Apple juice, 2 litres",Ontario,2019,2.6533333333333333
"Apple juice, 2 litres",Ontario,2020,2.7216666666666662
"Apple juice, 2 litres",Ontario,2021,2.7475
"Apple juice, 2 litres",Ontario,2022,2.985
"Apple juice, 2 litres",Ontario,2023,3.4058333333333333
"Apple juice, 2 litres",Ontario,2024,3.64125
"Apple juice, 2 litres",Prince Edward Island,2017,2.9916666666666667
"Apple juice, 2 litres",Prince Edward Island,2018,2.9758333333333336
"Apple juice, 2 litres",Prince Edward Island,2019,3.1474999999999995
"Apple juice, 2 litres",Prince Edward Island,2020,3.2591666666666668
"Apple juice, 2 litres",Prince Edward Island,2021,3.4266666666666663
"Apple juice, 2 litres",Prince Edward Island,2022,3.5425
"Apple juice, 2 litres",Prince Edward Island,2023,4.060833333333333
"Apple juice, 2 litres",Prince Edward Island,2024,3.93
"Apple juice, 2 litres",Quebec,2017,3.2808333333333333
"Apple juice, 2 litres",Quebec,2018,3.2424999999999997
"Apple juice, 2 litres",Quebec,2019,3.2283333333333335
