Products,province,year,avg_total_yearly
"Frozen french fried potatoes, 750 grams",Alberta,2017,2.2416666666666667
"Frozen french fried potatoes, 750 grams",Alberta,2018,2.279166666666667
"Frozen french fried potatoes, 750 grams",Alberta,2019,2.3333333333333335
"Frozen french fried potatoes, 750 grams",Alberta,2020,2.3125
"Frozen french fried potatoes, 750 grams",Alberta,2021,2.415
"Frozen french fried potatoes, 750 grams",Alberta,2022,2.6191666666666666
"Frozen french fried potatoes, 750 grams",Alberta,2023,3.1191666666666666
"Frozen french fried potatoes, 750 grams",Alberta,2024,3.45625
"Frozen french fried potatoes, 750 grams",British Columbia,2017,2.2433333333333336
"Frozen french fried potatoes, 750 grams",British Columbia,2018,2.276666666666667
"Frozen french fried potatoes, 750 grams",British Columbia,2019,2.3316666666666666
"Frozen french fried potatoes, 750 grams",British Columbia,2020,2.3175
"Frozen french fried potatoes, 750 grams",British Columbia,2021,2.4466666666666668
"Frozen french fried potatoes, 750 grams",British Columbia,2022,2.689166666666667
"Frozen french fried potatoes, 750 grams",British Columbia,2023,3.1733333333333333
"Frozen french fried potatoes, 750 grams",British Columbia,2024,3.48875
"Frozen french fried potatoes, 750 grams",Manitoba,2017,2.1475
"Frozen french fried potatoes, 750 grams",Manitoba,2018,2.1808333333333336
"Frozen french fried potatoes, 750 grams",Manitoba,2019,2.18
"Frozen french fried potatoes, 750 grams",Manitoba,2020,2.1325
"Frozen french fried potatoes, 750 grams",Manitoba,2021,2.2
"Frozen french fried potatoes, 750 grams",Manitoba,2022,2.4525
"Frozen french fried potatoes, 750 grams",Manitoba,2023,2.950833333333333
"Frozen french fried potatoes, 750 grams",Manitoba,2024,3.35625
"Frozen french fried potatoes, 750 grams",New Brunswick,2017,2.0466666666666664
"Frozen french fried potatoes, 750 grams",New Brunswick,2018,2.0991666666666666
"Frozen french fried potatoes, 750 grams",New Brunswick,2019,2.3466666666666667
"Frozen french fried potatoes, 750 grams",New Brunswick,2020,2.445
"Frozen french fried potatoes, 750 grams",New Brunswick,2021,2.5608333333333335
"Frozen french fried potatoes, 750 grams",New Brunswick,2022,2.904166666666667
"Frozen french fried potatoes, 750 grams",New Brunswick,2023,3.456666666666667
"Frozen french fried potatoes, 750 grams",New Brunswick,2024,3.67625
"Frozen french fried potatoes, 750 grams",Newfoundland and Labrador,2017,2.026666666666667
"Frozen french fried potatoes, 750 grams",Newfoundland and Labrador,2018,2.0241666666666664
"Frozen french fried potatoes, 750 grams",Newfoundland and Labrador,2019,2.2516666666666665
"Frozen french fried potatoes, 750 grams",Newfoundland and Labrador,2020,2.34
"Frozen french fried potatoes, 750 grams",Newfoundland and Labrador,2021,2.410833333333333
"Frozen french fried potatoes, 750 grams",Newfoundland and Labrador,2022,2.6966666666666668
"Frozen french fried potatoes, 750 grams",Newfoundland and Labrador,2023,3.2066666666666666
"Frozen french fried potatoes, 750 grams",Newfoundland and Labrador,2024,3.45875
"Frozen french fried potatoes, 750 grams",Nova Scotia,2017,2.0075
"Frozen french fried potatoes, 750 grams",Nova Scotia,2018,2.035833333333333
"Frozen french fried potatoes, 750 grams",Nova Scotia,2019,2.263333333333333
"Frozen french fried potatoes, 750 grams",Nova Scotia,2020,2.3825
"Frozen french fried potatoes, 750 grams",Nova Scotia,2021,2.518333333333333
"Frozen french fried potatoes, 750 grams",Nova Scotia,2022,2.85
"Frozen french fried potatoes, 750 grams",Nova Scotia,2023,3.3699999999999997
"Frozen french fried potatoes, 750 grams",Nova Scotia,2024,3.64125
"Frozen french fried potatoes, 750 grams",Ontario,2017,2.035833333333333
"Frozen french fried potatoes, 750 grams",Ontario,2018,2.0508333333333333
"Frozen french fried potatoes, 750 grams",Ontario,2019,2.165
"Frozen french fried potatoes, 750 grams",Ontario,2020,2.2191666666666667
"Frozen french fried potatoes, 750 grams",Ontario,2021,2.4166666666666665
"Frozen french fried potatoes, 750 grams",Ontario,2022,2.6058333333333334
"Frozen french fried potatoes, 750 grams",Ontario,2023,3.0208333333333335
"Frozen french fried potatoes, 750 grams",Ontario,2024,3.335
"Frozen french fried potatoes, 750 grams",Prince Edward Island,2017,2.0516666666666667
"Frozen french fried potatoes, 750 grams",Prince Edward Island,2018,2.1033333333333335
"Frozen french fried potatoes, 750 grams",Prince Edward Island,2019,2.3575
"Frozen french fried potatoes, 750 grams",Prince Edward Island,2020,2.445
"Frozen french fried potatoes, 750 grams",Prince Edward Island,2021,2.5658333333333334
"Frozen french fried potatoes, 750 grams",Prince Edward Island,2022,2.9341666666666666
"Frozen french fried potatoes, 750 grams",Prince Edward Island,2023,3.5116666666666667
"Frozen french fried potatoes, 750 grams",Prince Edward Island,2024,3.76875
"Frozen french fried potatoes, 750 grams",Quebec,2017,2.1875
"Frozen french fried potatoes, 750 grams",Quebec,2018,2.2583333333333333
"Frozen french fried potatoes, 750 grams",Quebec,2019,2.4116666666666666
"Frozen french fried potatoes, 750 grams",Quebec,2020,2.4941666666666666
"Frozen french fried potatoes, 750 grams",Quebec,2021,2.6475
"Frozen french fried potatoes, 750 grams",Quebec,2022,2.9491666666666667
"Frozen french fried potatoes, 750 grams",Quebec,2023,3.3691666666666666
"Frozen french fried potatoes, 750 grams",Quebec,2024,3.61625
"Frozen french fried potatoes, 750 grams",Saskatchewan,2017,2.0475
"Frozen french fried potatoes, 750 grams",Saskatchewan,2018,2.0566666666666666
"Frozen french fried potatoes, 750 grams",Saskatchewan,2019,2.1233333333333335
"Frozen french fried potatoes, 750 grams",Saskatchewan,2020,2.1025
"Frozen french fried potatoes, 750 grams",Saskatchewan,2021,2.169166666666667
"Frozen french fried potatoes, 750 grams",Saskatchewan,2022,2.4274999999999998
"Frozen french fried potatoes, 750 grams",Saskatchewan,2023,2.8958333333333335
"Frozen french fried potatoes, 750 grams",Saskatchewan,2024,3.28375
"Frozen pizza, 390 grams",Alberta,2017,4.220833333333333
"Frozen pizza, 390 grams",Alberta,2018,4.06
"Frozen pizza, 390 grams",Alberta,2019,4.253333333333333
"Frozen pizza, 390 grams",Alberta,2020,4.2700000000000005
"Frozen pizza, 390 grams",Alberta,2021,4.161666666666666
"Frozen pizza, 390 grams",Alberta,2022,4.215833333333333
"Frozen pizza, 390 grams",Alberta,2023,4.850833333333333
"Frozen pizza, 390 grams",Alberta,2024,4.66
"Frozen pizza, 390 grams",British Columbia,2017,4.260833333333333
"Frozen pizza, 390 grams",British Columbia,2018,4.115
"Frozen pizza, 390 grams",British Columbia,2019,4.170833333333333
"Frozen pizza, 390 grams",British Columbia,2020,4.189166666666666
"Frozen pizza, 390 grams",British Columbia,2021,4.11
"Frozen pizza, 390 grams",British Columbia,2022,4.3275
"Frozen pizza, 390 grams",British Columbia,2023,4.9158333333333335
"Frozen pizza, 390 grams",British Columbia,2024,4.7625
"Frozen pizza, 390 grams",Manitoba,2017,4.129166666666666
"Frozen pizza, 390 grams",Manitoba,2018,3.965
"Frozen pizza, 390 grams",Manitoba,2019,4.095
"Frozen pizza, 390 grams",Manitoba,2020,4.050833333333333
"Frozen pizza, 390 grams",Manitoba,2021,3.9691666666666663
"Frozen pizza, 390 grams",Manitoba,2022,3.986666666666667
"Frozen pizza, 390 grams",Manitoba,2023,4.5675
"Frozen pizza, 390 grams",Manitoba,2024,4.4425
"Frozen pizza, 390 grams",New Brunswick,2017,4.0575
"Frozen pizza, 390 grams",New Brunswick,2018,4.115
"Frozen pizza, 390 grams",New Brunswick,2019,4.173333333333333
"Frozen pizza, 390 grams",New Brunswick,2020,4.33
"Frozen pizza, 390 grams",New Brunswick,2021,4.3325000000000005
