Products,province,year,avg_total_yearly
"Apples, per kilogram",Alberta,2017,3.9275
"Apples, per kilogram",Alberta,2018,4.039166666666667
"Apples, per kilogram",Alberta,2019,4.706666666666666
"Apples, per kilogram",Alberta,2020,4.5275
"Apples, per kilogram",Alberta,2021,4.908333333333333
"Apples, per kilogram",Alberta,2022,5.325833333333334
"Apples, per kilogram",Alberta,2023,5.894166666666667
"Apples, per kilogram",Alberta,2024,6.02625
"Apples, per kilogram",British Columbia,2017,3.9774999999999996
"Apples, per kilogram",British Columbia,2018,4.074166666666667
"Apples, per kilogram",British Columbia,2019,4.6049999999999995
"Apples, per kilogram",British Columbia,2020,4.36
"Apples, per kilogram",British Columbia,2021,4.763333333333334
"Apples, per kilogram",British Columbia,2022,5.320833333333334
"Apples, per kilogram",British Columbia,2023,5.959166666666667
"Apples, per kilogram",British Columbia,2024,6.01125
"Apples, per kilogram",Manitoba,2017,3.890833333333333
"Apples, per kilogram",Manitoba,2018,3.9658333333333338
"Apples, per kilogram",Manitoba,2019,4.431666666666667
"Apples, per kilogram",Manitoba,2020,4.2491666666666665
"Apples, per kilogram",Manitoba,2021,4.704166666666667
"Apples, per kilogram",Manitoba,2022,5.170833333333333
"Apples, per kilogram",Manitoba,2023,5.761666666666667
"Apples, per kilogram",Manitoba,2024,5.8625
"Apples, per kilogram",New Brunswick,2017,4.623333333333333
"Apples, per kilogram",New Brunswick,2018,4.8741666666666665
"Apples, per kilogram",New Brunswick,2019,5.510000000000001
"Apples, per kilogram",New Brunswick,2020,5.78
"Apples, per kilogram",New Brunswick,2021,6.070833333333333
"Apples, per kilogram",New Brunswick,2022,6.1575
"Apples, per kilogram",New Brunswick,2023,6.265000000000001
"Apples, per kilogram",New Brunswick,2024,6.45625
"Apples, per kilogram",Newfoundland and Labrador,2017,5.189166666666667
"Apples, per kilogram",Newfoundland and Labrador,2018,5.285833333333334
"Apples, per kilogram",Newfoundland and Labrador,2019,5.764166666666667
"Apples, per kilogram",Newfoundland and Labrador,2020,5.953333333333333
"Apples, per kilogram",Newfoundland and Labrador,2021,6.2775
"Apples, per kilogram",Newfoundland and Labrador,2022,6.565
"Apples, per kilogram",Newfoundland and Labrador,2023,6.759166666666666
"Apples, per kilogram",Newfoundland and Labrador,2024,6.89125
"Apples, per kilogram",Nova Scotia,2017,4.706666666666666
"Apples, per kilogram",Nova Scotia,2018,5.051666666666667
"Apples, per kilogram",Nova Scotia,2019,5.7316666666666665
"Apples, per kilogram",Nova Scotia,2020,5.866666666666667
"Apples, per kilogram",Nova Scotia,2021,6.090833333333333
"Apples, per kilogram",Nova Scotia,2022,6.140000000000001
"Apples, per kilogram",Nova Scotia,2023,6.1925
"Apples, per kilogram",Nova Scotia,2024,6.29875
"Apples, per kilogram",Ontario,2017,3.7274999999999996
"Apples, per kilogram",Ontario,2018,4.033333333333333
"Apples, per kilogram",Ontario,2019,4.4783333333333335
"Apples, per kilogram",Ontario,2020,4.388333333333333
"Apples, per kilogram",Ontario,2021,4.6000000000000005
"Apples, per kilogram",Ontario,2022,5.136666666666667
"Apples, per kilogram",Ontario,2023,5.226666666666667
"Apples, per kilogram",Ontario,2024,5.05
"Apples, per kilogram",Prince Edward Island,2017,4.5249999999999995
"Apples, per kilogram",Prince Edward Island,2018,4.8625
"Apples, per kilogram",Prince Edward Island,2019,5.548333333333333
"Apples, per kilogram",Prince Edward Island,2020,5.7700000000000005
"Apples, per kilogram",Prince Edward Island,2021,6.049166666666667
"Apples, per kilogram",Prince Edward Island,2022,6.198333333333333
"Apples, per kilogram",Prince Edward Island,2023,6.288333333333333
"Apples, per kilogram",Prince Edward Island,2024,6.35625
"Apples, per kilogram",Quebec,2017,3.9058333333333333
"Apples, per kilogram",Quebec,2018,4.005833333333333
"Apples, per kilogram",Quebec,2019,4.5375
"Apples, per kilogram",Quebec,2020,4.605
"Apples, per kilogram",Quebec,2021,4.980833333333333
"Apples, per kilogram",Quebec,2022,5.5275
"Apples, per kilogram",Quebec,2023,5.733333333333333
"Apples, per kilogram",Quebec,2024,5.26375
"Apples, per kilogram",Saskatchewan,2017,3.9525
"Apples, per kilogram",Saskatchewan,2018,4.0249999999999995
"Apples, per kilogram",Saskatchewan,2019,4.6433333333333335
"Apples, per kilogram",Saskatchewan,2020,4.383333333333334
"Apples, per kilogram",Saskatchewan,2021,4.7941666666666665
"Apples, per kilogram",Saskatchewan,2022,5.31
"Apples, per kilogram",Saskatchewan,2023,5.823333333333333
"Apples, per kilogram",Saskatchewan,2024,5.985
"Avocado, unit",Alberta,2017,1.8175
"Avocado, unit",Alberta,2018,1.6558333333333335
"Avocado, unit",Alberta,2019,1.9525
"Avocado, unit",Alberta,2020,1.92
"Avocado, unit",Alberta,2021,1.6958333333333335
"Avocado, unit",Alberta,2022,1.9808333333333332
"Avocado, unit",Alberta,2023,1.8458333333333332
"Avocado, unit",Alberta,2024,1.995
"Avocado, unit",British Columbia,2017,1.9566666666666668
"Avocado, unit",British Columbia,2018,1.8033333333333335
"Avocado, unit",British Columbia,2019,2.015
"Avocado, unit",British Columbia,2020,1.9525
