Products,province,year,avg_total_yearly
"Cereal, 400 grams",Alberta,2017,3.248333333333333
"Cereal, 400 grams",Alberta,2018,3.1908333333333334
"Cereal, 400 grams",Alberta,2019,3.1783333333333332
"Cereal, 400 grams",Alberta,2020,3.2783333333333338
"Cereal, 400 grams",Alberta,2021,3.36
"Cereal, 400 grams",Alberta,2022,3.865
"Cereal, 400 grams",Alberta,2023,4.1258333333333335
"Cereal, 400 grams",Alberta,2024,4.1975
"Cereal, 400 grams",British Columbia,2017,3.230833333333333
"Cereal, 400 grams",British Columbia,2018,3.1925000000000003
"Cereal, 400 grams",British Columbia,2019,3.1658333333333335
"Cereal, 400 grams",British Columbia,2020,3.251666666666667
"Cereal, 400 grams",British Columbia,2021,3.3441666666666667
"Cereal, 400 grams",British Columbia,2022,3.855833333333333
"Cereal, 400 grams",British Columbia,2023,4.123333333333334
"Cereal, 400 grams",British Columbia,2024,4.2
"Cereal, 400 grams",Manitoba,2017,3.234166666666667
"Cereal, 400 grams",Manitoba,2018,3.160833333333333
"Cereal, 400 grams",Manitoba,2019,3.1358333333333337
"Cereal, 400 grams",Manitoba,2020,3.2016666666666667
"Cereal, 400 grams",Manitoba,2021,3.265833333333333
"Cereal, 400 grams",Manitoba,2022,3.7550000000000003
"Cereal, 400 grams",Manitoba,2023,4.009166666666666
"Cereal, 400 grams",Manitoba,2024,4.085
"Cereal, 400 grams",New Brunswick,2017,3.275
"Cereal, 400 grams",New Brunswick,2018,3.215
"Cereal, 400 grams",New Brunswick,2019,3.266666666666667
"Cereal, 400 grams",New Brunswick,2020,3.294166666666667
"Cereal, 400 grams",New Brunswick,2021,3.4774999999999996
"Cereal, 400 grams",New Brunswick,2022,4.1000000000000005
"Cereal, 400 grams",New Brunswick,2023,4.3175
"Cereal, 400 grams",New Brunswick,2024,4.28875
"Cereal, 400 grams",Newfoundland and Labrador,2017,3.3883333333333336
"Cereal, 400 grams",Newfoundland and Labrador,2018,3.314166666666667
"Cereal, 400 grams",Newfoundland and Labrador,2019,3.359166666666667
"Cereal, 400 grams",Newfoundland and Labrador,2020,3.4308333333333336
"Cereal, 400 grams",Newfoundland and Labrador,2021,3.5658333333333334
"Cereal, 400 grams",Newfoundland and Labrador,2022,4.148333333333333
"Cereal, 400 grams",Newfoundland and Labrador,2023,4.426666666666667
"Cereal, 400 grams",Newfoundland and Labrador,2024,4.36625
"Cereal, 400 grams",Nova Scotia,2017,3.223333333333333
"Cereal, 400 grams",Nova Scotia,2018,3.1508333333333334
"Cereal, 400 grams",Nova Scotia,2019,3.2108333333333334
"Cereal, 400 grams",Nova Scotia,2020,3.2675
"Cereal, 400 grams",Nova Scotia,2021,3.4425000000000003
"Cereal, 400 grams",Nova Scotia,2022,4.0424999999999995
"Cereal, 400 grams",Nova Scotia,2023,4.274166666666667
"Cereal, 400 grams",Nova Scotia,2024,4.2525
"Cereal, 400 grams",Ontario,2017,3.029166666666667
"Cereal, 400 grams",Ontario,2018,3.035833333333333
"Cereal, 400 grams",Ontario,2019,3.0533333333333332
"Cereal, 400 grams",Ontario,2020,3.1758333333333333
"Cereal, 400 grams",Ontario,2021,3.3091666666666666
"Cereal, 400 grams",Ontario,2022,3.855833333333333
"Cereal, 400 grams",Ontario,2023,4.133333333333334
"Cereal, 400 grams",Ontario,2024,4.171250000000001
"Cereal, 400 grams",Prince Edward Island,2017,3.1750000000000003
"Cereal, 400 grams",Prince Edward Island,2018,3.1283333333333334
"Cereal, 400 grams",Prince Edward Island,2019,3.185
"Cereal, 400 grams",Prince Edward Island,2020,3.2416666666666667
"Cereal, 400 grams",Prince Edward Island,2021,3.4125
"Cereal, 400 grams",Prince Edward Island,2022,4.033333333333333
"Cereal, 400 grams",Prince Edward Island,2023,4.276666666666666
"Cereal, 400 grams",Prince Edward Island,2024,4.26375
"Cereal, 400 grams",Quebec,2017,3.2424999999999997
"Cereal, 400 grams",Quebec,2018,3.285
"Cereal, 400 grams",Quebec,2019,3.2716666666666665
"Cereal, 400 grams",Quebec,2020,3.3725
"Cereal, 400 grams",Quebec,2021,3.464166666666667
"Cereal, 400 grams",Quebec,2022,4.013333333333333
"Cereal, 400 grams",Quebec,2023,4.175
"Cereal, 400 grams",Quebec,2024,4.17625
"Cereal, 400 grams",Saskatchewan,2017,3.2475
"Cereal, 400 grams",Saskatchewan,2018,3.151666666666667
"Cereal, 400 grams",Saskatchewan,2019,3.144166666666667
"Cereal, 400 grams",Saskatchewan,2020,3.2241666666666666
"Cereal, 400 grams",Saskatchewan,2021,3.2975
"Cereal, 400 grams",Saskatchewan,2022,3.8425
"Cereal, 400 grams",Saskatchewan,2023,4.100833333333333
"Cereal, 400 grams",Saskatchewan,2024,4.1575
"Dry or fresh pasta, 500 grams",Alberta,2017,2.5733333333333333
"Dry or fresh pasta, 500 grams",Alberta,2018,2.4724999999999997
"Dry or fresh pasta, 500 grams",Alberta,2019,2.4208333333333334
"Dry or fresh pasta, 500 grams",Alberta,2020,2.5591666666666666
"Dry or fresh pasta, 500 grams",Alberta,2021,2.545
"Dry or fresh pasta, 500 grams",Alberta,2022,3.1191666666666666
"Dry or fresh pasta, 500 grams",Alberta,2023,3.5541666666666667
"Dry or fresh pasta, 500 grams",Alberta,2024,3.21625
"Dry or fresh pasta, 500 grams",British Columbia,2017,2.6216666666666666
"Dry or fresh pasta, 500 grams",British Columbia,2018,2.5591666666666666
"Dry or fresh pasta, 500 grams",British Columbia,2019,2.5866666666666664
"Dry or fresh pasta, 500 grams",British Columbia,2020,2.6991666666666667
"Dry or fresh pasta, 500 grams",British Columbia,2021,2.7441666666666666
"Dry or fresh pasta, 500 grams",British Columbia,2022,3.2308333333333334
"Dry or fresh pasta, 500 grams",British Columbia,2023,3.6824999999999997
"Dry or fresh pasta, 500 grams",British Columbia,2024,3.35
"Dry or fresh pasta, 500 grams",Manitoba,2017,2.4258333333333333
"Dry or fresh pasta, 500 grams",Manitoba,2018,2.3175000000000003
"Dry or fresh pasta, 500 grams",Manitoba,2019,2.2916666666666665
"Dry or fresh pasta, 500 grams",Manitoba,2020,2.404166666666667
"Dry or fresh pasta, 500 grams",Manitoba,2021,2.393333333333333
"Dry or fresh pasta, 500 grams",Manitoba,2022,2.9291666666666667
"Dry or fresh pasta, 500 grams",Manitoba,2023,3.3433333333333333
"Dry or fresh pasta, 500 grams",Manitoba,2024,3.05875
"Dry or fresh pasta, 500 grams",New Brunswick,2017,2.1675
"Dry or fresh pasta, 500 grams",New Brunswick,2018,2.2066666666666666
"Dry or fresh pasta, 500 grams",New Brunswick,2019,2.339166666666667
"Dry or fresh pasta, 500 grams",New Brunswick,2020,2.4375
"Dry or fresh pasta, 500 grams",New Brunswick,2021,2.4899999999999998
"Dry or fresh pasta, 500 grams",New Brunswick,2022,3.2266666666666666
"Dry or fresh pasta, 500 grams",New Brunswick,2023,3.5725
"Dry or fresh pasta, 500 grams",New Brunswick,2024,3.15875
"Dry or fresh pasta, 500 grams",Newfoundland and Labrador,2017,2.2333333333333334
"Dry or fresh pasta, 500 grams",Newfoundland and Labrador,2018,2.2591666666666668
"Dry or fresh pasta, 500 grams",Newfoundland and Labrador,2019,2.305
"Dry or fresh pasta, 500 grams",Newfoundland and Labrador,2020,2.4825
"Dry or fresh pasta, 500 grams",Newfoundland and Labrador,2021,2.566666666666667
"Dry or fresh pasta, 500 grams",Newfoundland and Labrador,2022,3.3275
"Dry or fresh pasta, 500 grams",Newfoundland and Labrador,2023,3.763333333333333
"Dry or fresh pasta, 500 grams",Newfoundland and Labrador,2024,3.24875
"Dry or fresh pasta, 500 grams",Nova Scotia,2017,2.2425
