Products,province,year,avg_total_yearly
"Eggs, 1 dozen",Alberta,2017,3.53
"Eggs, 1 dozen",Alberta,2018,3.5075000000000003
"Eggs, 1 dozen",Alberta,2019,3.580833333333333
"Eggs, 1 dozen",Alberta,2020,3.8275
"Eggs, 1 dozen",Alberta,2021,4.019166666666666
"Eggs, 1 dozen",Alberta,2022,4.3999999999999995
"Eggs, 1 dozen",Alberta,2023,4.848333333333334
"Eggs, 1 dozen",Alberta,2024,4.88125
"Eggs, 1 dozen",British Columbia,2017,3.8625000000000003
"Eggs, 1 dozen",British Columbia,2018,3.9225
"Eggs, 1 dozen",British Columbia,2019,4.0325
"Eggs, 1 dozen",British Columbia,2020,4.364999999999999
"Eggs, 1 dozen",British Columbia,2021,4.596666666666667
"Eggs, 1 dozen",British Columbia,2022,4.9366666666666665
"Eggs, 1 dozen",British Columbia,2023,5.3275
"Eggs, 1 dozen",British Columbia,2024,5.27875
"Eggs, 1 dozen",Manitoba,2017,3.2191666666666667
"Eggs, 1 dozen",Manitoba,2018,3.2475
"Eggs, 1 dozen",Manitoba,2019,3.283333333333333
"Eggs, 1 dozen",Manitoba,2020,3.6525
"Eggs, 1 dozen",Manitoba,2021,3.7466666666666666
"Eggs, 1 dozen",Manitoba,2022,4.031666666666667
"Eggs, 1 dozen",Manitoba,2023,4.423333333333333
"Eggs, 1 dozen",Manitoba,2024,4.5287500000000005
"Eggs, 1 dozen",New Brunswick,2017,3.3083333333333336
"Eggs, 1 dozen",New Brunswick,2018,3.4600000000000004
"Eggs, 1 dozen",New Brunswick,2019,3.5858333333333334
"Eggs, 1 dozen",New Brunswick,2020,3.9275
"Eggs, 1 dozen",New Brunswick,2021,4.126666666666666
"Eggs, 1 dozen",New Brunswick,2022,4.400833333333334
"Eggs, 1 dozen",New Brunswick,2023,4.536666666666666
"Eggs, 1 dozen",New Brunswick,2024,4.72875
"Eggs, 1 dozen",Newfoundland and Labrador,2017,3.4441666666666664
"Eggs, 1 dozen",Newfoundland and Labrador,2018,3.4283333333333332
"Eggs, 1 dozen",Newfoundland and Labrador,2019,3.436666666666667
"Eggs, 1 dozen",Newfoundland and Labrador,2020,3.875
"Eggs, 1 dozen",Newfoundland and Labrador,2021,4.1466666666666665
"Eggs, 1 dozen",Newfoundland and Labrador,2022,4.710833333333333
"Eggs, 1 dozen",Newfoundland and Labrador,2023,4.935833333333334
"Eggs, 1 dozen",Newfoundland and Labrador,2024,5.07
"Eggs, 1 dozen",Nova Scotia,2017,3.3200000000000003
"Eggs, 1 dozen",Nova Scotia,2018,3.4675
"Eggs, 1 dozen",Nova Scotia,2019,3.5816666666666666
"Eggs, 1 dozen",Nova Scotia,2020,3.97
"Eggs, 1 dozen",Nova Scotia,2021,4.24
"Eggs, 1 dozen",Nova Scotia,2022,4.640833333333333
"Eggs, 1 dozen",Nova Scotia,2023,4.884166666666666
"Eggs, 1 dozen",Nova Scotia,2024,5.045
"Eggs, 1 dozen",Ontario,2017,2.8208333333333333
"Eggs, 1 dozen",Ontario,2018,3.079166666666667
"Eggs, 1 dozen",Ontario,2019,3.2225
"Eggs, 1 dozen",Ontario,2020,3.5833333333333335
"Eggs, 1 dozen",Ontario,2021,3.9574999999999996
"Eggs, 1 dozen",Ontario,2022,4.406666666666667
"Eggs, 1 dozen",Ontario,2023,4.685
"Eggs, 1 dozen",Ontario,2024,4.69
"Eggs, 1 dozen",Prince Edward Island,2017,3.2724999999999995
"Eggs, 1 dozen",Prince Edward Island,2018,3.4266666666666663
"Eggs, 1 dozen",Prince Edward Island,2019,3.5400000000000005
"Eggs, 1 dozen",Prince Edward Island,2020,3.94
"Eggs, 1 dozen",Prince Edward Island,2021,4.2225
"Eggs, 1 dozen",Prince Edward Island,2022,4.625
"Eggs, 1 dozen",Prince Edward Island,2023,4.865
"Eggs, 1 dozen",Prince Edward Island,2024,5.02625
"Eggs, 1 dozen",Quebec,2017,2.910833333333333
"Eggs, 1 dozen",Quebec,2018,3.1108333333333333
"Eggs, 1 dozen",Quebec,2019,3.231666666666667
"Eggs, 1 dozen",Quebec,2020,3.4774999999999996
"Eggs, 1 dozen",Quebec,2021,3.7108333333333334
"Eggs, 1 dozen",Quebec,2022,3.703333333333333
