Products,province,year,avg_total_yearly
"Bacon, 500 grams",Alberta,2017,6.148333333333333
"Bacon, 500 grams",Alberta,2018,6.109166666666667
"Bacon, 500 grams",Alberta,2019,6.245
"Bacon, 500 grams",Alberta,2020,6.183333333333334
"Bacon, 500 grams",Alberta,2021,6.740833333333334
"Bacon, 500 grams",Alberta,2022,7.2225
"Bacon, 500 grams",Alberta,2023,6.886666666666667
"Bacon, 500 grams",Alberta,2024,6.9125
"Bacon, 500 grams",British Columbia,2017,6.016666666666667
"Bacon, 500 grams",British Columbia,2018,6.035833333333334
"Bacon, 500 grams",British Columbia,2019,6.136666666666667
"Bacon, 500 grams",British Columbia,2020,6.109166666666667
"Bacon, 500 grams",British Columbia,2021,6.773333333333333
"Bacon, 500 grams",British Columbia,2022,7.420000000000001
"Bacon, 500 grams",British Columbia,2023,7.071666666666666
"Bacon, 500 grams",British Columbia,2024,7.0725
"Bacon, 500 grams",Manitoba,2017,5.986666666666667
"Bacon, 500 grams",Manitoba,2018,5.983333333333333
"Bacon, 500 grams",Manitoba,2019,5.8808333333333325
"Bacon, 500 grams",Manitoba,2020,5.883333333333333
"Bacon, 500 grams",Manitoba,2021,6.381666666666667
"Bacon, 500 grams",Manitoba,2022,6.9941666666666675
"Bacon, 500 grams",Manitoba,2023,6.609166666666667
"Bacon, 500 grams",Manitoba,2024,6.46125
"Bacon, 500 grams",New Brunswick,2017,5.115833333333334
"Bacon, 500 grams",New Brunswick,2018,5.475833333333333
"Bacon, 500 grams",New Brunswick,2019,5.601666666666667
"Bacon, 500 grams",New Brunswick,2020,5.653333333333333
"Bacon, 500 grams",New Brunswick,2021,6.5975
"Bacon, 500 grams",New Brunswick,2022,7.1433333333333335
"Bacon, 500 grams",New Brunswick,2023,7.005833333333334
"Bacon, 500 grams",New Brunswick,2024,6.65
"Bacon, 500 grams",Newfoundland and Labrador,2017,5.2716666666666665
"Bacon, 500 grams",Newfoundland and Labrador,2018,5.429166666666667
"Bacon, 500 grams",Newfoundland and Labrador,2019,5.530833333333334
"Bacon, 500 grams",Newfoundland and Labrador,2020,5.552499999999999
"Bacon, 500 grams",Newfoundland and Labrador,2021,6.243333333333333
"Bacon, 500 grams",Newfoundland and Labrador,2022,6.753333333333334
"Bacon, 500 grams",Newfoundland and Labrador,2023,6.633333333333333
"Bacon, 500 grams",Newfoundland and Labrador,2024,6.48125
"Bacon, 500 grams",Nova Scotia,2017,5.0808333333333335
"Bacon, 500 grams",Nova Scotia,2018,5.37
"Bacon, 500 grams",Nova Scotia,2019,5.461666666666667
"Bacon, 500 grams",Nova Scotia,2020,5.5675
"Bacon, 500 grams",Nova Scotia,2021,6.4575
"Bacon, 500 grams",Nova Scotia,2022,7.031666666666666
"Bacon, 500 grams",Nova Scotia,2023,6.894166666666667
"Bacon, 500 grams",Nova Scotia,2024,6.575
"Bacon, 500 grams",Ontario,2017,5.388333333333333
"Bacon, 500 grams",Ontario,2018,5.7250000000000005
"Bacon, 500 grams",Ontario,2019,5.7508333333333335
"Bacon, 500 grams",Ontario,2020,5.88
"Bacon, 500 grams",Ontario,2021,6.640833333333333
"Bacon, 500 grams",Ontario,2022,7.2058333333333335
"Bacon, 500 grams",Ontario,2023,6.7124999999999995
"Bacon, 500 grams",Ontario,2024,6.13875
"Bacon, 500 grams",Prince Edward Island,2017,4.970833333333333
"Bacon, 500 grams",Prince Edward Island,2018,5.345833333333334
"Bacon, 500 grams",Prince Edward Island,2019,5.421666666666667
"Bacon, 500 grams",Prince Edward Island,2020,5.5025
"Bacon, 500 grams",Prince Edward Island,2021,6.39
"Bacon, 500 grams",Prince Edward Island,2022,7.0183333333333335
"Bacon, 500 grams",Prince Edward Island,2023,6.876666666666666
"Bacon, 500 grams",Prince Edward Island,2024,6.67
"Bacon, 500 grams",Quebec,2017,5.558333333333334
"Bacon, 500 grams",Quebec,2018,5.6066666666666665
"Bacon, 500 grams",Quebec,2019,5.78
"Bacon, 500 grams",Quebec,2020,5.7825
"Bacon, 500 grams",Quebec,2021,6.738333333333333
"Bacon, 500 grams",Quebec,2022,7.233333333333333
"Bacon, 500 grams",Quebec,2023,6.7775
"Bacon, 500 grams",Quebec,2024,6.41625
"Bacon, 500 grams",Saskatchewan,2017,5.7175
"Bacon, 500 grams",Saskatchewan,2018,5.654166666666666
"Bacon, 500 grams",Saskatchewan,2019,5.763333333333333
"Bacon, 500 grams",Saskatchewan,2020,5.66
"Bacon, 500 grams",Saskatchewan,2021,6.109166666666667
"Bacon, 500 grams",Saskatchewan,2022,6.781666666666666
"Bacon, 500 grams",Saskatchewan,2023,6.46
"Bacon, 500 grams",Saskatchewan,2024,6.69625
"Chicken breasts, per kilogram",Alberta,2017,13.408333333333333
"Chicken breasts, per kilogram",Alberta,2018,13.4475
"Chicken breasts, per kilogram",Alberta,2019,13.179166666666667
"Chicken breasts, per kilogram",Alberta,2020,13.870833333333332
"Chicken breasts, per kilogram",Alberta,2021,14.164166666666667
"Chicken breasts, per kilogram",Alberta,2022,15.088333333333333
"Chicken breasts, per kilogram",Alberta,2023,16.054166666666667
"Chicken breasts, per kilogram",Alberta,2024,16.44125
"Chicken breasts, per kilogram",British Columbia,2017,13.097500000000002
"Chicken breasts, per kilogram",British Columbia,2018,13.219999999999999
"Chicken breasts, per kilogram",British Columbia,2019,13.071666666666665
"Chicken breasts, per kilogram",British Columbia,2020,13.708333333333334
"Chicken breasts, per kilogram",British Columbia,2021,14.220833333333333
"Chicken breasts, per kilogram",British Columbia,2022,15.814166666666667
"Chicken breasts, per kilogram",British Columbia,2023,16.459999999999997
"Chicken breasts, per kilogram",British Columbia,2024,16.855
"Chicken breasts, per kilogram",Manitoba,2017,12.771666666666667
"Chicken breasts, per kilogram",Manitoba,2018,12.94
"Chicken breasts, per kilogram",Manitoba,2019,12.230833333333335
"Chicken breasts, per kilogram",Manitoba,2020,13.373333333333333
"Chicken breasts, per kilogram",Manitoba,2021,13.635833333333332
"Chicken breasts, per kilogram",Manitoba,2022,14.595
"Chicken breasts, per kilogram",Manitoba,2023,15.478333333333333
"Chicken breasts, per kilogram",Manitoba,2024,15.81875
"Chicken breasts, per kilogram",New Brunswick,2017,10.418333333333333
"Chicken breasts, per kilogram",New Brunswick,2018,10.39
"Chicken breasts, per kilogram",New Brunswick,2019,11.29
"Chicken breasts, per kilogram",New Brunswick,2020,11.1625
"Chicken breasts, per kilogram",New Brunswick,2021,11.725
"Chicken breasts, per kilogram",New Brunswick,2022,13.116666666666667
"Chicken breasts, per kilogram",New Brunswick,2023,13.249166666666667
"Chicken breasts, per kilogram",New Brunswick,2024,13.60375
"Chicken breasts, per kilogram",Newfoundland and Labrador,2017,11.475000000000001
"Chicken breasts, per kilogram",Newfoundland and Labrador,2018,11.715000000000002
"Chicken breasts, per kilogram",Newfoundland and Labrador,2019,12.295
"Chicken breasts, per kilogram",Newfoundland and Labrador,2020,12.385
"Chicken breasts, per kilogram",Newfoundland and Labrador,2021,12.770833333333334
"Chicken breasts, per kilogram",Newfoundland and Labrador,2022,13.368333333333332
"Chicken breasts, per kilogram",Newfoundland and Labrador,2023,14.315833333333332
