Products,province,year,avg_total_yearly
"Almonds, 200 grams",Alberta,2017,4.305
"Almonds, 200 grams",Alberta,2018,4.741666666666666
"Almonds, 200 grams",Alberta,2019,4.908333333333333
"Almonds, 200 grams",Alberta,2020,5.244166666666667
"Almonds, 200 grams",Alberta,2021,5.343333333333334
"Almonds, 200 grams",Alberta,2022,5.1866666666666665
"Almonds, 200 grams",Alberta,2023,4.861666666666667
"Almonds, 200 grams",Alberta,2024,4.46125
"Almonds, 200 grams",British Columbia,2017,4.1450000000000005
"Almonds, 200 grams",British Columbia,2018,4.641666666666667
"Almonds, 200 grams",British Columbia,2019,4.7924999999999995
"Almonds, 200 grams",British Columbia,2020,5.1025
"Almonds, 200 grams",British Columbia,2021,5.109166666666667
"Almonds, 200 grams",British Columbia,2022,5.111666666666667
"Almonds, 200 grams",British Columbia,2023,4.831666666666667
"Almonds, 200 grams",British Columbia,2024,4.3075
"Almonds, 200 grams",Manitoba,2017,4.265
"Almonds, 200 grams",Manitoba,2018,4.6866666666666665
"Almonds, 200 grams",Manitoba,2019,4.815833333333333
"Almonds, 200 grams",Manitoba,2020,5.071666666666666
"Almonds, 200 grams",Manitoba,2021,5.010000000000001
"Almonds, 200 grams",Manitoba,2022,4.851666666666667
"Almonds, 200 grams",Manitoba,2023,4.5675
"Almonds, 200 grams",Manitoba,2024,4.285
"Almonds, 200 grams",New Brunswick,2017,5.123333333333334
"Almonds, 200 grams",New Brunswick,2018,5.184166666666667
"Almonds, 200 grams",New Brunswick,2019,5.366666666666667
"Almonds, 200 grams",New Brunswick,2020,5.533333333333334
"Almonds, 200 grams",New Brunswick,2021,5.590833333333333
"Almonds, 200 grams",New Brunswick,2022,5.644166666666667
"Almonds, 200 grams",New Brunswick,2023,5.281666666666667
"Almonds, 200 grams",New Brunswick,2024,4.68375
"Almonds, 200 grams",Newfoundland and Labrador,2017,5.260833333333333
"Almonds, 200 grams",Newfoundland and Labrador,2018,5.323333333333333
"Almonds, 200 grams",Newfoundland and Labrador,2019,5.528333333333333
"Almonds, 200 grams",Newfoundland and Labrador,2020,5.4558333333333335
"Almonds, 200 grams",Newfoundland and Labrador,2021,5.363333333333333
"Almonds, 200 grams",Newfoundland and Labrador,2022,5.5025
"Almonds, 200 grams",Newfoundland and Labrador,2023,5.198333333333333
"Almonds, 200 grams",Newfoundland and Labrador,2024,4.60625
"Almonds, 200 grams",Nova Scotia,2017,5.069999999999999
"Almonds, 200 grams",Nova Scotia,2018,5.25
"Almonds, 200 grams",Nova Scotia,2019,5.381666666666667
"Almonds, 200 grams",Nova Scotia,2020,5.525833333333334
"Almonds, 200 grams",Nova Scotia,2021,5.6308333333333325
"Almonds, 200 grams",Nova Scotia,2022,5.698333333333333
"Almonds, 200 grams",Nova Scotia,2023,5.319166666666667
"Almonds, 200 grams",Nova Scotia,2024,4.8575
"Almonds, 200 grams",Ontario,2017,4.345833333333333
"Almonds, 200 grams",Ontario,2018,4.786666666666666
"Almonds, 200 grams",Ontario,2019,5.076666666666667
"Almonds, 200 grams",Ontario,2020,5.043333333333334
"Almonds, 200 grams",Ontario,2021,4.9366666666666665
"Almonds, 200 grams",Ontario,2022,5.214166666666666
"Almonds, 200 grams",Ontario,2023,4.585
"Almonds, 200 grams",Ontario,2024,4.31625
"Almonds, 200 grams",Prince Edward Island,2017,5.216666666666667
"Almonds, 200 grams",Prince Edward Island,2018,5.253333333333333
"Almonds, 200 grams",Prince Edward Island,2019,5.309166666666667
"Almonds, 200 grams",Prince Edward Island,2020,5.4433333333333325
"Almonds, 200 grams",Prince Edward Island,2021,5.61
"Almonds, 200 grams",Prince Edward Island,2022,5.698333333333333
"Almonds, 200 grams",Prince Edward Island,2023,5.3625
"Almonds, 200 grams",Prince Edward Island,2024,4.99375
"Almonds, 200 grams",Quebec,2017,4.556666666666667
"Almonds, 200 grams",Quebec,2018,5.177499999999999
"Almonds, 200 grams",Quebec,2019,5.379166666666666
"Almonds, 200 grams",Quebec,2020,5.579166666666667
"Almonds, 200 grams",Quebec,2021,5.554166666666667
"Almonds, 200 grams",Quebec,2022,5.4750000000000005
"Almonds, 200 grams",Quebec,2023,5.403333333333333
"Almonds, 200 grams",Quebec,2024,5.19375
"Almonds, 200 grams",Saskatchewan,2017,4.3975
"Almonds, 200 grams",Saskatchewan,2018,4.721666666666667
"Almonds, 200 grams",Saskatchewan,2019,4.8549999999999995
"Almonds, 200 grams",Saskatchewan,2020,4.973333333333334
"Almonds, 200 grams",Saskatchewan,2021,4.9558333333333335
"Almonds, 200 grams",Saskatchewan,2022,4.828333333333333
"Almonds, 200 grams",Saskatchewan,2023,4.593333333333334
"Almonds, 200 grams",Saskatchewan,2024,4.2
"Peanuts, 450 grams",Alberta,2017,3.3691666666666666
"Peanuts, 450 grams",Alberta,2018,3.33
"Peanuts, 450 grams",Alberta,2019,3.3041666666666667
"Peanuts, 450 grams",Alberta,2020,3.4058333333333333
"Peanuts, 450 grams",Alberta,2021,3.4266666666666663
"Peanuts, 450 grams",Alberta,2022,3.4808333333333334
"Peanuts, 450 grams",Alberta,2023,3.9075
"Peanuts, 450 grams",Alberta,2024,4.10875
"Peanuts, 450 grams",British Columbia,2017,3.424166666666667
"Peanuts, 450 grams",British Columbia,2018,3.3841666666666668
"Peanuts, 450 grams",British Columbia,2019,3.279166666666667
