Products,province,year,avg_total_yearly
"Brown rice, 900 grams ",Alberta,2017,4.400833333333334
"Brown rice, 900 grams ",Alberta,2018,4.378333333333333
"Brown rice, 900 grams ",Alberta,2019,4.320833333333334
"Brown rice, 900 grams ",Alberta,2020,4.836666666666667
"Brown rice, 900 grams ",Alberta,2021,5.096666666666667
"Brown rice, 900 grams ",Alberta,2022,5.923333333333333
"Brown rice, 900 grams ",Alberta,2023,6.0633333333333335
"Brown rice, 900 grams ",Alberta,2024,6.0125
"Brown rice, 900 grams ",British Columbia,2017,4.569166666666667
"Brown rice, 900 grams ",British Columbia,2018,4.560833333333334
"Brown rice, 900 grams ",British Columbia,2019,4.476666666666667
"Brown rice, 900 grams ",British Columbia,2020,5.015
"Brown rice, 900 grams ",British Columbia,2021,5.335
"Brown rice, 900 grams ",British Columbia,2022,6.12
"Brown rice, 900 grams ",British Columbia,2023,6.452500000000001
"Brown rice, 900 grams ",British Columbia,2024,6.38125
"Brown rice, 900 grams ",Manitoba,2017,4.220833333333333
"Brown rice, 900 grams ",Manitoba,2018,4.173333333333333
"Brown rice, 900 grams ",Manitoba,2019,4.09
"Brown rice, 900 grams ",Manitoba,2020,4.569166666666667
"Brown rice, 900 grams ",Manitoba,2021,4.79
"Brown rice, 900 grams ",Manitoba,2022,5.558333333333334
"Brown rice, 900 grams ",Manitoba,2023,5.715833333333333
"Brown rice, 900 grams ",Manitoba,2024,5.755
"Brown rice, 900 grams ",New Brunswick,2017,4.7700000000000005
"Brown rice, 900 grams ",New Brunswick,2018,4.785
"Brown rice, 900 grams ",New Brunswick,2019,4.810833333333334
"Brown rice, 900 grams ",New Brunswick,2020,5.3475
"Brown rice, 900 grams ",New Brunswick,2021,5.264166666666667
"Brown rice, 900 grams ",New Brunswick,2022,5.581666666666667
"Brown rice, 900 grams ",New Brunswick,2023,6.235833333333333
"Brown rice, 900 grams ",New Brunswick,2024,6.09125
"Brown rice, 900 grams ",Newfoundland and Labrador,2017,4.8525
"Brown rice, 900 grams ",Newfoundland and Labrador,2018,4.845833333333333
"Brown rice, 900 grams ",Newfoundland and Labrador,2019,4.839166666666666
"Brown rice, 900 grams ",Newfoundland and Labrador,2020,5.4375
"Brown rice, 900 grams ",Newfoundland and Labrador,2021,5.254166666666666
"Brown rice, 900 grams ",Newfoundland and Labrador,2022,5.5575
"Brown rice, 900 grams ",Newfoundland and Labrador,2023,5.797499999999999
"Brown rice, 900 grams ",Newfoundland and Labrador,2024,5.86125
"Brown rice, 900 grams ",Nova Scotia,2017,4.761666666666667
"Brown rice, 900 grams ",Nova Scotia,2018,4.776666666666666
"Brown rice, 900 grams ",Nova Scotia,2019,4.783333333333333
"Brown rice, 900 grams ",Nova Scotia,2020,5.4025
"Brown rice, 900 grams ",Nova Scotia,2021,5.280833333333333
"Brown rice, 900 grams ",Nova Scotia,2022,5.610833333333333
"Brown rice, 900 grams ",Nova Scotia,2023,6.2825
"Brown rice, 900 grams ",Nova Scotia,2024,6.13125
"Brown rice, 900 grams ",Ontario,2017,4.163333333333333
"Brown rice, 900 grams ",Ontario,2018,4.1775
"Brown rice, 900 grams ",Ontario,2019,4.199166666666667
"Brown rice, 900 grams ",Ontario,2020,4.625
"Brown rice, 900 grams ",Ontario,2021,4.829166666666667
"Brown rice, 900 grams ",Ontario,2022,5.279166666666667
"Brown rice, 900 grams ",Ontario,2023,5.838333333333334
"Brown rice, 900 grams ",Ontario,2024,5.6
"Brown rice, 900 grams ",Prince Edward Island,2017,4.801666666666667
"Brown rice, 900 grams ",Prince Edward Island,2018,4.806666666666667
"Brown rice, 900 grams ",Prince Edward Island,2019,4.825833333333334
"Brown rice, 900 grams ",Prince Edward Island,2020,5.430833333333333
"Brown rice, 900 grams ",Prince Edward Island,2021,5.376666666666666
"Brown rice, 900 grams ",Prince Edward Island,2022,5.635000000000001
"Brown rice, 900 grams ",Prince Edward Island,2023,6.1875
