Products,province,year,avg_total_yearly
"Salmon, per kilogram",Alberta,2017,22.334999999999997
"Salmon, per kilogram",Alberta,2018,23.42
"Salmon, per kilogram",Alberta,2019,24.680000000000003
"Salmon, per kilogram",Alberta,2020,22.770833333333332
"Salmon, per kilogram",Alberta,2021,22.985833333333332
"Salmon, per kilogram",Alberta,2022,25.450833333333335
"Salmon, per kilogram",Alberta,2023,25.84
"Salmon, per kilogram",Alberta,2024,26.94375
"Salmon, per kilogram",British Columbia,2017,23.52333333333333
"Salmon, per kilogram",British Columbia,2018,25.025000000000002
"Salmon, per kilogram",British Columbia,2019,27.02
"Salmon, per kilogram",British Columbia,2020,24.620833333333334
"Salmon, per kilogram",British Columbia,2021,25.069999999999997
"Salmon, per kilogram",British Columbia,2022,27.360833333333332
"Salmon, per kilogram",British Columbia,2023,27.228333333333335
"Salmon, per kilogram",British Columbia,2024,27.78625
"Salmon, per kilogram",Manitoba,2017,21.019166666666667
"Salmon, per kilogram",Manitoba,2018,21.94333333333333
"Salmon, per kilogram",Manitoba,2019,23.228333333333335
"Salmon, per kilogram",Manitoba,2020,21.772499999999997
"Salmon, per kilogram",Manitoba,2021,22.390833333333333
"Salmon, per kilogram",Manitoba,2022,23.703333333333333
"Salmon, per kilogram",Manitoba,2023,23.138333333333335
"Salmon, per kilogram",Manitoba,2024,24.34125
"Salmon, per kilogram",New Brunswick,2017,20.108333333333334
"Salmon, per kilogram",New Brunswick,2018,20.411666666666665
"Salmon, per kilogram",New Brunswick,2019,21.016666666666666
"Salmon, per kilogram",New Brunswick,2020,20.911666666666665
"Salmon, per kilogram",New Brunswick,2021,22.275000000000002
"Salmon, per kilogram",New Brunswick,2022,24.765833333333333
"Salmon, per kilogram",New Brunswick,2023,25.439999999999998
"Salmon, per kilogram",New Brunswick,2024,25.96375
"Salmon, per kilogram",Newfoundland and Labrador,2017,20.394166666666667
"Salmon, per kilogram",Newfoundland and Labrador,2018,20.385833333333334
"Salmon, per kilogram",Newfoundland and Labrador,2019,20.515833333333333
"Salmon, per kilogram",Newfoundland and Labrador,2020,21.511666666666667
"Salmon, per kilogram",Newfoundland and Labrador,2021,21.9025
"Salmon, per kilogram",Newfoundland and Labrador,2022,24.464166666666667
"Salmon, per kilogram",Newfoundland and Labrador,2023,26.0625
"Salmon, per kilogram",Newfoundland and Labrador,2024,26.325
"Salmon, per kilogram",Nova Scotia,2017,19.663333333333334
"Salmon, per kilogram",Nova Scotia,2018,20.1375
"Salmon, per kilogram",Nova Scotia,2019,20.673333333333332
"Salmon, per kilogram",Nova Scotia,2020,20.857499999999998
"Salmon, per kilogram",Nova Scotia,2021,22.503333333333334
"Salmon, per kilogram",Nova Scotia,2022,25.1375
"Salmon, per kilogram",Nova Scotia,2023,26.305000000000003
"Salmon, per kilogram",Nova Scotia,2024,26.625
"Salmon, per kilogram",Ontario,2017,24.2675
"Salmon, per kilogram",Ontario,2018,24.627499999999998
"Salmon, per kilogram",Ontario,2019,24.854166666666668
"Salmon, per kilogram",Ontario,2020,23.6775
"Salmon, per kilogram",Ontario,2021,24.8925
"Salmon, per kilogram",Ontario,2022,28.246666666666666
"Salmon, per kilogram",Ontario,2023,27.87
"Salmon, per kilogram",Ontario,2024,27.2675
"Salmon, per kilogram",Prince Edward Island,2017,19.86
"Salmon, per kilogram",Prince Edward Island,2018,20.279999999999998
"Salmon, per kilogram",Prince Edward Island,2019,20.715
"Salmon, per kilogram",Prince Edward Island,2020,20.783333333333335
"Salmon, per kilogram",Prince Edward Island,2021,22.011666666666667
"Salmon, per kilogram",Prince Edward Island,2022,25.615
"Salmon, per kilogram",Prince Edward Island,2023,26.125
"Salmon, per kilogram",Prince Edward Island,2024,26.835
"Salmon, per kilogram",Quebec,2017,22.454166666666666
"Salmon, per kilogram",Quebec,2018,22.203333333333333
"Salmon, per kilogram",Quebec,2019,23.710833333333337
"Salmon, per kilogram",Quebec,2020,21.72666666666667
"Salmon, per kilogram",Quebec,2021,22.536666666666665
"Salmon, per kilogram",Quebec,2022,25.828333333333333
"Salmon, per kilogram",Quebec,2023,27.16
"Salmon, per kilogram",Quebec,2024,25.99875
"Salmon, per kilogram",Saskatchewan,2017,20.116666666666667
"Salmon, per kilogram",Saskatchewan,2018,21.33666666666667
"Salmon, per kilogram",Saskatchewan,2019,23.000833333333333
"Salmon, per kilogram",Saskatchewan,2020,21.324166666666667
"Salmon, per kilogram",Saskatchewan,2021,21.67
"Salmon, per kilogram",Saskatchewan,2022,22.143333333333334
"Salmon, per kilogram",Saskatchewan,2023,21.835833333333337
"Salmon, per kilogram",Saskatchewan,2024,23.13375
"Shrimp, 300 grams",Alberta,2017,7.534166666666667
"Shrimp, 300 grams",Alberta,2018,7.786666666666666
"Shrimp, 300 grams",Alberta,2019,7.323333333333333
"Shrimp, 300 grams",Alberta,2020,7.2475
"Shrimp, 300 grams",Alberta,2021,7.456666666666667
"Shrimp, 300 grams",Alberta,2022,7.651666666666666
"Shrimp, 300 grams",Alberta,2023,7.545000000000001
"Shrimp, 300 grams",Alberta,2024,7.2162500000000005
"Shrimp, 300 grams",British Columbia,2017,7.386666666666667
"Shrimp, 300 grams",British Columbia,2018,7.671666666666667
"Shrimp, 300 grams",British Columbia,2019,7.316666666666666
"Shrimp, 300 grams",British Columbia,2020,7.301666666666667
"Shrimp, 300 grams",British Columbia,2021,7.4875
"Shrimp, 300 grams",British Columbia,2022,7.795833333333333
"Shrimp, 300 grams",British Columbia,2023,7.6933333333333325
"Shrimp, 300 grams",British Columbia,2024,7.41625
"Shrimp, 300 grams",Manitoba,2017,7.406666666666666
"Shrimp, 300 grams",Manitoba,2018,7.650833333333334
"Shrimp, 300 grams",Manitoba,2019,7.144166666666667
"Shrimp, 300 grams",Manitoba,2020,7.120833333333334
"Shrimp, 300 grams",Manitoba,2021,7.154166666666666
"Shrimp, 300 grams",Manitoba,2022,7.324166666666667
"Shrimp, 300 grams",Manitoba,2023,7.310833333333334
"Shrimp, 300 grams",Manitoba,2024,7.07
"Shrimp, 300 grams",New Brunswick,2017,6.831666666666667
"Shrimp, 300 grams",New Brunswick,2018,6.983333333333333
"Shrimp, 300 grams",New Brunswick,2019,6.6933333333333325
"Shrimp, 300 grams",New Brunswick,2020,6.4816666666666665
"Shrimp, 300 grams",New Brunswick,2021,6.72
"Shrimp, 300 grams",New Brunswick,2022,7.530833333333334
"Shrimp, 300 grams",New Brunswick,2023,7.940833333333333
"Shrimp, 300 grams",New Brunswick,2024,7.38
"Shrimp, 300 grams",Newfoundland and Labrador,2017,7.011666666666667
"Shrimp, 300 grams",Newfoundland and Labrador,2018,7.0874999999999995
"Shrimp, 300 grams",Newfoundland and Labrador,2019,6.826666666666667
"Shrimp, 300 grams",Newfoundland and Labrador,2020,6.6883333333333335
"Shrimp, 300 grams",Newfoundland and Labrador,2021,6.84
"Shrimp, 300 grams",Newfoundland and Labrador,2022,7.786666666666666
"Shrimp, 300 grams",Newfoundland and Labrador,2023,7.720833333333334
