Products,province,year,avg_total_yearly
"Cookies and sweet biscuits, 300 grams ",Alberta,2017,2.4966666666666666
"Cookies and sweet biscuits, 300 grams ",Alberta,2018,2.5933333333333333
"Cookies and sweet biscuits, 300 grams ",Alberta,2019,2.6841666666666666
"Cookies and sweet biscuits, 300 grams ",Alberta,2020,2.7358333333333333
"Cookies and sweet biscuits, 300 grams ",Alberta,2021,2.7133333333333334
"Cookies and sweet biscuits, 300 grams ",Alberta,2022,2.924166666666667
"Cookies and sweet biscuits, 300 grams ",Alberta,2023,3.3000000000000003
"Cookies and sweet biscuits, 300 grams ",Alberta,2024,3.25875
"Cookies and sweet biscuits, 300 grams ",British Columbia,2017,2.4825
"Cookies and sweet biscuits, 300 grams ",British Columbia,2018,2.59
"Cookies and sweet biscuits, 300 grams ",British Columbia,2019,2.6625
"Cookies and sweet biscuits, 300 grams ",British Columbia,2020,2.6566666666666667
"Cookies and sweet biscuits, 300 grams ",British Columbia,2021,2.6666666666666665
"Cookies and sweet biscuits, 300 grams ",British Columbia,2022,2.92
"Cookies and sweet biscuits, 300 grams ",British Columbia,2023,3.3341666666666665
"Cookies and sweet biscuits, 300 grams ",British Columbia,2024,3.28
"Cookies and sweet biscuits, 300 grams ",Manitoba,2017,2.415833333333333
"Cookies and sweet biscuits, 300 grams ",Manitoba,2018,2.5124999999999997
"Cookies and sweet biscuits, 300 grams ",Manitoba,2019,2.5741666666666667
"Cookies and sweet biscuits, 300 grams ",Manitoba,2020,2.5816666666666666
"Cookies and sweet biscuits, 300 grams ",Manitoba,2021,2.5175
"Cookies and sweet biscuits, 300 grams ",Manitoba,2022,2.784166666666667
"Cookies and sweet biscuits, 300 grams ",Manitoba,2023,3.1575
"Cookies and sweet biscuits, 300 grams ",Manitoba,2024,3.18125
"Cookies and sweet biscuits, 300 grams ",New Brunswick,2017,2.4975
"Cookies and sweet biscuits, 300 grams ",New Brunswick,2018,2.6783333333333332
"Cookies and sweet biscuits, 300 grams ",New Brunswick,2019,2.8491666666666666
"Cookies and sweet biscuits, 300 grams ",New Brunswick,2020,2.999166666666667
"Cookies and sweet biscuits, 300 grams ",New Brunswick,2021,2.950833333333333
"Cookies and sweet biscuits, 300 grams ",New Brunswick,2022,3.145
"Cookies and sweet biscuits, 300 grams ",New Brunswick,2023,3.5316666666666667
"Cookies and sweet biscuits, 300 grams ",New Brunswick,2024,3.49375
"Cookies and sweet biscuits, 300 grams ",Newfoundland and Labrador,2017,2.5733333333333333
"Cookies and sweet biscuits, 300 grams ",Newfoundland and Labrador,2018,2.6416666666666666
"Cookies and sweet biscuits, 300 grams ",Newfoundland and Labrador,2019,2.8491666666666666
"Cookies and sweet biscuits, 300 grams ",Newfoundland and Labrador,2020,2.9566666666666666
"Cookies and sweet biscuits, 300 grams ",Newfoundland and Labrador,2021,2.9783333333333335
"Cookies and sweet biscuits, 300 grams ",Newfoundland and Labrador,2022,3.2274999999999996
"Cookies and sweet biscuits, 300 grams ",Newfoundland and Labrador,2023,3.53
"Cookies and sweet biscuits, 300 grams ",Newfoundland and Labrador,2024,3.5025
"Cookies and sweet biscuits, 300 grams ",Nova Scotia,2017,2.515
"Cookies and sweet biscuits, 300 grams ",Nova Scotia,2018,2.6616666666666666
"Cookies and sweet biscuits, 300 grams ",Nova Scotia,2019,2.8358333333333334
"Cookies and sweet biscuits, 300 grams ",Nova Scotia,2020,2.9675
"Cookies and sweet biscuits, 300 grams ",Nova Scotia,2021,2.9583333333333335
"Cookies and sweet biscuits, 300 grams ",Nova Scotia,2022,3.1983333333333337
"Cookies and sweet biscuits, 300 grams ",Nova Scotia,2023,3.5066666666666664
"Cookies and sweet biscuits, 300 grams ",Nova Scotia,2024,3.44125
"Cookies and sweet biscuits, 300 grams ",Ontario,2017,2.268333333333333
