Products,province,year,avg_total_yearly
"Broccoli, unit",Alberta,2017,2.5475
"Broccoli, unit",Alberta,2018,2.5
"Broccoli, unit",Alberta,2019,2.76
"Broccoli, unit",Alberta,2020,2.9408333333333334
"Broccoli, unit",Alberta,2021,2.8666666666666667
"Broccoli, unit",Alberta,2022,3.1999999999999997
"Broccoli, unit",Alberta,2023,3.8800000000000003
"Broccoli, unit",Alberta,2024,3.84
"Broccoli, unit",British Columbia,2017,2.6041666666666665
"Broccoli, unit",British Columbia,2018,2.6408333333333336
"Broccoli, unit",British Columbia,2019,2.919166666666667
"Broccoli, unit",British Columbia,2020,3.16
"Broccoli, unit",British Columbia,2021,3.0525
"Broccoli, unit",British Columbia,2022,3.3991666666666664
"Broccoli, unit",British Columbia,2023,4.0525
"Broccoli, unit",British Columbia,2024,4.13625
"Broccoli, unit",Manitoba,2017,2.5716666666666668
"Broccoli, unit",Manitoba,2018,2.4833333333333334
"Broccoli, unit",Manitoba,2019,2.66
"Broccoli, unit",Manitoba,2020,2.8608333333333333
"Broccoli, unit",Manitoba,2021,2.7283333333333335
"Broccoli, unit",Manitoba,2022,3.125833333333333
"Broccoli, unit",Manitoba,2023,3.7624999999999997
"Broccoli, unit",Manitoba,2024,3.785
"Broccoli, unit",New Brunswick,2017,2.4250000000000003
"Broccoli, unit",New Brunswick,2018,2.5533333333333332
"Broccoli, unit",New Brunswick,2019,2.7433333333333336
"Broccoli, unit",New Brunswick,2020,3.0175
"Broccoli, unit",New Brunswick,2021,3.1024999999999996
"Broccoli, unit",New Brunswick,2022,3.3808333333333334
"Broccoli, unit",New Brunswick,2023,3.5991666666666666
"Broccoli, unit",New Brunswick,2024,3.16
"Broccoli, unit",Newfoundland and Labrador,2017,2.7291666666666665
"Broccoli, unit",Newfoundland and Labrador,2018,2.785
"Broccoli, unit",Newfoundland and Labrador,2019,2.8983333333333334
"Broccoli, unit",Newfoundland and Labrador,2020,3.220833333333333
"Broccoli, unit",Newfoundland and Labrador,2021,3.2083333333333335
"Broccoli, unit",Newfoundland and Labrador,2022,3.4875000000000003
"Broccoli, unit",Newfoundland and Labrador,2023,3.8991666666666664
"Broccoli, unit",Newfoundland and Labrador,2024,3.6375
"Broccoli, unit",Nova Scotia,2017,2.3758333333333335
"Broccoli, unit",Nova Scotia,2018,2.4658333333333333
