REF_DATE,GEO,Products,VALUE
2017-01-01,Canada,"Baby food, 128 millilitres",1.19
2017-02-01,Canada,"Baby food, 128 millilitres",1.23
2017-03-01,Canada,"Baby food, 128 millilitres",1.29
2017-04-01,Canada,"Baby food, 128 millilitres",1.36
2017-05-01,Canada,"Baby food, 128 millilitres",1.36
2017-06-01,Canada,"Baby food, 128 millilitres",1.32
2017-07-01,Canada,"Baby food, 128 millilitres",1.25
2017-08-01,Canada,"Baby food, 128 millilitres",1.29
2017-09-01,Canada,"Baby food, 128 millilitres",1.3
2017-10-01,Canada,"Baby food, 128 millilitres",1.28
2017-11-01,Canada,"Baby food, 128 millilitres",1.27
2017-12-01,Canada,"Baby food, 128 millilitres",1.28
2018-01-01,Canada,"Baby food, 128 millilitres",1.27
2018-02-01,Canada,"Baby food, 128 millilitres",1.27
2018-03-01,Canada,"Baby food, 128 millilitres",1.22
2018-04-01,Canada,"Baby food, 128 millilitres",1.27
2018-05-01,Canada,"Baby food, 128 millilitres",1.29
2018-06-01,Canada,"Baby food, 128 millilitres",1.26
2018-07-01,Canada,"Baby food, 128 millilitres",1.26
2018-08-01,Canada,"Baby food, 128 millilitres",1.29
2018-09-01,Canada,"Baby food, 128 millilitres",1.26
2018-10-01,Canada,"Baby food, 128 millilitres",1.27
2018-11-01,Canada,"Baby food, 128 millilitres",1.29
2018-12-01,Canada,"Baby food, 128 millilitres",1.32
2019-01-01,Canada,"Baby food, 128 millilitres",1.33
2019-02-01,Canada,"Baby food, 128 millilitres",1.33
2019-03-01,Canada,"Baby food, 128 millilitres",1.31
2019-04-01,Canada,"Baby food, 128 millilitres",1.28
2019-05-01,Canada,"Baby food, 128 millilitres",1.29
2019-06-01,Canada,"Baby food, 128 millilitres",1.35
2019-07-01,Canada,"Baby food, 128 millilitres",1.37
2019-08-01,Canada,"Baby food, 128 millilitres",1.31
2019-09-01,Canada,"Baby food, 128 millilitres",1.29
2019-10-01,Canada,"Baby food, 128 millilitres",1.37
2019-11-01,Canada,"Baby food, 128 millilitres",1.3
2019-12-01,Canada,"Baby food, 128 millilitres",1.33
2020-01-01,Canada,"Baby food, 128 millilitres",1.32
2020-02-01,Canada,"Baby food, 128 millilitres",1.31
