REF_DATE,GEO,Products,VALUE
2017-01-01,Canada,"Canned soup, 284 millilitres",0.88
2017-02-01,Canada,"Canned soup, 284 millilitres",0.89
2017-03-01,Canada,"Canned soup, 284 millilitres",0.98
2017-04-01,Canada,"Canned soup, 284 millilitres",1.0
2017-05-01,Canada,"Canned soup, 284 millilitres",1.15
2017-06-01,Canada,"Canned soup, 284 millilitres",1.17
2017-07-01,Canada,"Canned soup, 284 millilitres",1.03
2017-08-01,Canada,"Canned soup, 284 millilitres",0.88
2017-09-01,Canada,"Canned soup, 284 millilitres",0.94
2017-10-01,Canada,"Canned soup, 284 millilitres",0.97
2017-11-01,Canada,"Canned soup, 284 millilitres",1.01
2017-12-01,Canada,"Canned soup, 284 millilitres",1.13
2018-01-01,Canada,"Canned soup, 284 millilitres",1.03
2018-02-01,Canada,"Canned soup, 284 millilitres",0.84
2018-03-01,Canada,"Canned soup, 284 millilitres",1.0
2018-04-01,Canada,"Canned soup, 284 millilitres",0.97
2018-05-01,Canada,"Canned soup, 284 millilitres",1.28
2018-06-01,Canada,"Canned soup, 284 millilitres",1.05
2018-07-01,Canada,"Canned soup, 284 millilitres",0.86
2018-08-01,Canada,"Canned soup, 284 millilitres",0.96
2018-09-01,Canada,"Canned soup, 284 millilitres",0.88
2018-10-01,Canada,"Canned soup, 284 millilitres",1.01
2018-11-01,Canada,"Canned soup, 284 millilitres",0.99
2018-12-01,Canada,"Canned soup, 284 millilitres",1.15
2019-01-01,Canada,"Canned soup, 284 millilitres",1.07
2019-02-01,Canada,"Canned soup, 284 millilitres",0.86
2019-03-01,Canada,"Canned soup, 284 millilitres",1.01
2019-04-01,Canada,"Canned soup, 284 millilitres",1.07
2019-05-01,Canada,"Canned soup, 284 millilitres",1.33
2019-06-01,Canada,"Canned soup, 284 millilitres",1.15
2019-07-01,Canada,"Canned soup, 284 millilitres",0.99
2019-08-01,Canada,"Canned soup, 284 millilitres",0.89
2019-09-01,Canada,"Canned soup, 284 millilitres",0.89
2019-10-01,Canada,"Canned soup, 284 millilitres",1.07
2019-11-01,Canada,"Canned soup, 284 millilitres",1.01
2019-12-01,Canada,"Canned soup, 284 millilitres",1.17
2020-01-01,Canada,"Canned soup, 284 millilitres",1.17
2020-02-01,Canada,"Canned soup, 284 millilitres",0.9
2020-03-01,Canada,"Canned soup, 284 millilitres",1.1
2020-04-01,Canada,"Canned soup, 284 millilitres",1.31
2020-05-01,Canada,"Canned soup, 284 millilitres",1.21
2020-06-01,Canada,"Canned soup, 284 millilitres",1.27
2020-07-01,Canada,"Canned soup, 284 millilitres",1.21
2020-08-01,Canada,"Canned soup, 284 millilitres",0.94
2020-09-01,Canada,"Canned soup, 284 millilitres",0.99
2020-10-01,Canada,"Canned soup, 284 millilitres",1.24
2020-11-01,Canada,"Canned soup, 284 millilitres",1.16
2020-12-01,Canada,"Canned soup, 284 millilitres",1.21
2021-01-01,Canada,"Canned soup, 284 millilitres",1.18
2021-02-01,Canada,"Canned soup, 284 millilitres",1.15
2021-03-01,Canada,"Canned soup, 284 millilitres",1.02
2021-04-01,Canada,"Canned soup, 284 millilitres",1.01
2021-05-01,Canada,"Canned soup, 284 millilitres",1.01
2021-06-01,Canada,"Canned soup, 284 millilitres",1.09
2021-07-01,Canada,"Canned soup, 284 millilitres",1.0
2021-08-01,Canada,"Canned soup, 284 millilitres",0.95
2021-09-01,Canada,"Canned soup, 284 millilitres",1.05
2021-10-01,Canada,"Canned soup, 284 millilitres",1.16
