REF_DATE,GEO,Products,VALUE
2017-01-01,Canada,"Ketchup, 1 litre",3.12
2017-02-01,Canada,"Ketchup, 1 litre",3.14
2017-03-01,Canada,"Ketchup, 1 litre",3.16
2017-04-01,Canada,"Ketchup, 1 litre",3.19
2017-05-01,Canada,"Ketchup, 1 litre",3.09
2017-06-01,Canada,"Ketchup, 1 litre",2.99
2017-07-01,Canada,"Ketchup, 1 litre",3.01
2017-08-01,Canada,"Ketchup, 1 litre",3.09
2017-09-01,Canada,"Ketchup, 1 litre",3.13
2017-10-01,Canada,"Ketchup, 1 litre",3.19
2017-11-01,Canada,"Ketchup, 1 litre",3.21
2017-12-01,Canada,"Ketchup, 1 litre",3.3
2018-01-01,Canada,"Ketchup, 1 litre",3.26
2018-02-01,Canada,"Ketchup, 1 litre",3.33
2018-03-01,Canada,"Ketchup, 1 litre",3.31
2018-04-01,Canada,"Ketchup, 1 litre",3.26
2018-05-01,Canada,"Ketchup, 1 litre",3.28
2018-06-01,Canada,"Ketchup, 1 litre",3.27
2018-07-01,Canada,"Ketchup, 1 litre",3.26
2018-08-01,Canada,"Ketchup, 1 litre",3.34
2018-09-01,Canada,"Ketchup, 1 litre",3.31
2018-10-01,Canada,"Ketchup, 1 litre",3.22
2018-11-01,Canada,"Ketchup, 1 litre",3.34
2018-12-01,Canada,"Ketchup, 1 litre",3.41
2019-01-01,Canada,"Ketchup, 1 litre",3.39
2019-02-01,Canada,"Ketchup, 1 litre",3.4
2019-03-01,Canada,"Ketchup, 1 litre",3.18
2019-04-01,Canada,"Ketchup, 1 litre",3.17
2019-05-01,Canada,"Ketchup, 1 litre",3.15
2019-06-01,Canada,"Ketchup, 1 litre",3.22
2019-07-01,Canada,"Ketchup, 1 litre",3.23
2019-08-01,Canada,"Ketchup, 1 litre",3.29
2019-09-01,Canada,"Ketchup, 1 litre",3.3
2019-10-01,Canada,"Ketchup, 1 litre",3.31
2019-11-01,Canada,"Ketchup, 1 litre",3.23
2019-12-01,Canada,"Ketchup, 1 litre",3.23
2020-01-01,Canada,"Ketchup, 1 litre",3.33
2020-02-01,Canada,"Ketchup, 1 litre",3.29
2020-03-01,Canada,"Ketchup, 1 litre",3.26
2020-04-01,Canada,"Ketchup, 1 litre",3.42
2020-05-01,Canada,"Ketchup, 1 litre",3.21
2020-06-01,Canada,"Ketchup, 1 litre",3.24
2020-07-01,Canada,"Ketchup, 1 litre",3.22
2020-08-01,Canada,"Ketchup, 1 litre",3.28
2020-09-01,Canada,"Ketchup, 1 litre",3.3
