REF_DATE,GEO,Products,VALUE
2017-01-01,Canada,"Milk, 4 litres",5.13
2017-02-01,Canada,"Milk, 4 litres",5.15
2017-03-01,Canada,"Milk, 4 litres",5.15
2017-04-01,Canada,"Milk, 4 litres",5.12
2017-05-01,Canada,"Milk, 4 litres",5.12
2017-06-01,Canada,"Milk, 4 litres",5.11
2017-07-01,Canada,"Milk, 4 litres",5.11
2017-08-01,Canada,"Milk, 4 litres",5.11
2017-09-01,Canada,"Milk, 4 litres",5.12
2017-10-01,Canada,"Milk, 4 litres",5.13
2017-11-01,Canada,"Milk, 4 litres",5.14
2017-12-01,Canada,"Milk, 4 litres",5.14
2018-01-01,Canada,"Milk, 4 litres",5.13
2018-02-01,Canada,"Milk, 4 litres",5.15
2018-03-01,Canada,"Milk, 4 litres",5.14
2018-04-01,Canada,"Milk, 4 litres",5.14
2018-05-01,Canada,"Milk, 4 litres",5.15
2018-06-01,Canada,"Milk, 4 litres",5.11
2018-07-01,Canada,"Milk, 4 litres",5.11
2018-08-01,Canada,"Milk, 4 litres",5.13
2018-09-01,Canada,"Milk, 4 litres",5.32
2018-10-01,Canada,"Milk, 4 litres",5.31
2018-11-01,Canada,"Milk, 4 litres",5.29
2018-12-01,Canada,"Milk, 4 litres",5.31
2019-01-01,Canada,"Milk, 4 litres",5.29
2019-02-01,Canada,"Milk, 4 litres",5.29
2019-03-01,Canada,"Milk, 4 litres",5.25
2019-04-01,Canada,"Milk, 4 litres",5.24
2019-05-01,Canada,"Milk, 4 litres",5.24
2019-06-01,Canada,"Milk, 4 litres",5.2
2019-07-01,Canada,"Milk, 4 litres",5.18
2019-08-01,Canada,"Milk, 4 litres",5.21
2019-09-01,Canada,"Milk, 4 litres",5.21
2019-10-01,Canada,"Milk, 4 litres",5.21
2019-11-01,Canada,"Milk, 4 litres",5.22
2019-12-01,Canada,"Milk, 4 litres",5.24
2020-01-01,Canada,"Milk, 4 litres",5.26
2020-02-01,Canada,"Milk, 4 litres",5.34
2020-03-01,Canada,"Milk, 4 litres",5.39
2020-04-01,Canada,"Milk, 4 litres",5.42
2020-05-01,Canada,"Milk, 4 litres",5.36
2020-06-01,Canada,"Milk, 4 litres",5.36
2020-07-01,Canada,"Milk, 4 litres",5.33
2020-08-01,Canada,"Milk, 4 litres",5.31
2020-09-01,Canada,"Milk, 4 litres",5.33
2020-10-01,Canada,"Milk, 4 litres",5.34
2020-11-01,Canada,"Milk, 4 litres",5.33
2020-12-01,Canada,"Milk, 4 litres",5.34
2021-01-01,Canada,"Milk, 4 litres",5.36
2021-02-01,Canada,"Milk, 4 litres",5.52
2021-03-01,Canada,"Milk, 4 litres",5.51
2021-04-01,Canada,"Milk, 4 litres",5.5
2021-05-01,Canada,"Milk, 4 litres",5.52
2021-06-01,Canada,"Milk, 4 litres",5.51
2021-07-01,Canada,"Milk, 4 litres",5.5
2021-08-01,Canada,"Milk, 4 litres",5.49
2021-09-01,Canada,"Milk, 4 litres",5.5
2021-10-01,Canada,"Milk, 4 litres",5.5
2021-11-01,Canada,"Milk, 4 litres",5.51
2021-12-01,Canada,"Milk, 4 litres",5.54
2022-01-01,Canada,"Milk, 4 litres",5.54
2022-02-01,Canada,"Milk, 4 litres",5.98
2022-03-01,Canada,"Milk, 4 litres",6.02
2022-04-01,Canada,"Milk, 4 litres",6.04
2022-05-01,Canada,"Milk, 4 litres",6.03
2022-06-01,Canada,"Milk, 4 litres",6.0
2022-07-01,Canada,"Milk, 4 litres",5.99
2022-08-01,Canada,"Milk, 4 litres",6.01
2022-09-01,Canada,"Milk, 4 litres",6.24
2022-10-01,Canada,"Milk, 4 litres",6.23
2022-11-01,Canada,"Milk, 4 litres",6.27
2022-12-01,Canada,"Milk, 4 litres",6.3
2023-01-01,Canada,"Milk, 4 litres",6.29
2023-02-01,Canada,"Milk, 4 litres",6.42
2023-03-01,Canada,"Milk, 4 litres",6.45
2023-04-01,Canada,"Milk, 4 litres",6.46
2023-05-01,Canada,"Milk, 4 litres",6.45
2023-06-01,Canada,"Milk, 4 litres",6.43
2023-07-01,Canada,"Milk, 4 litres",6.39
2023-08-01,Canada,"Milk, 4 litres",6.4
