REF_DATE,GEO,Products,VALUE
2017-01-01,Canada,"Meatless burgers, 226 grams",4.19
2017-02-01,Canada,"Meatless burgers, 226 grams",4.16
2017-03-01,Canada,"Meatless burgers, 226 grams",4.01
2017-04-01,Canada,"Meatless burgers, 226 grams",4.11
2017-05-01,Canada,"Meatless burgers, 226 grams",4.12
2017-06-01,Canada,"Meatless burgers, 226 grams",4.21
2017-07-01,Canada,"Meatless burgers, 226 grams",4.21
2017-08-01,Canada,"Meatless burgers, 226 grams",4.16
2017-09-01,Canada,"Meatless burgers, 226 grams",4.2
2017-10-01,Canada,"Meatless burgers, 226 grams",4.22
2017-11-01,Canada,"Meatless burgers, 226 grams",4.25
2017-12-01,Canada,"Meatless burgers, 226 grams",4.3
2018-01-01,Canada,"Meatless burgers, 226 grams",4.25
2018-02-01,Canada,"Meatless burgers, 226 grams",4.23
2018-03-01,Canada,"Meatless burgers, 226 grams",4.23
2018-04-01,Canada,"Meatless burgers, 226 grams",4.21
2018-05-01,Canada,"Meatless burgers, 226 grams",4.24
2018-06-01,Canada,"Meatless burgers, 226 grams",4.35
2018-07-01,Canada,"Meatless burgers, 226 grams",4.29
2018-08-01,Canada,"Meatless burgers, 226 grams",4.23
2018-09-01,Canada,"Meatless burgers, 226 grams",4.39
2018-10-01,Canada,"Meatless burgers, 226 grams",4.52
2018-11-01,Canada,"Meatless burgers, 226 grams",4.59
2018-12-01,Canada,"Meatless burgers, 226 grams",4.52
2019-01-01,Canada,"Meatless burgers, 226 grams",4.45
2019-02-01,Canada,"Meatless burgers, 226 grams",4.34
2019-03-01,Canada,"Meatless burgers, 226 grams",4.44
2019-04-01,Canada,"Meatless burgers, 226 grams",4.79
2019-05-01,Canada,"Meatless burgers, 226 grams",6.41
2019-06-01,Canada,"Meatless burgers, 226 grams",5.91
2019-07-01,Canada,"Meatless burgers, 226 grams",6.06
2019-08-01,Canada,"Meatless burgers, 226 grams",5.95
2019-09-01,Canada,"Meatless burgers, 226 grams",5.83
2019-10-01,Canada,"Meatless burgers, 226 grams",5.56
2019-11-01,Canada,"Meatless burgers, 226 grams",5.51
2019-12-01,Canada,"Meatless burgers, 226 grams",5.52
2020-01-01,Canada,"Meatless burgers, 226 grams",4.87
2020-02-01,Canada,"Meatless burgers, 226 grams",4.68
2020-03-01,Canada,"Meatless burgers, 226 grams",5.46
2020-04-01,Canada,"Meatless burgers, 226 grams",5.65
2020-05-01,Canada,"Meatless burgers, 226 grams",5.5
2020-06-01,Canada,"Meatless burgers, 226 grams",5.68
2020-07-01,Canada,"Meatless burgers, 226 grams",5.59
2020-08-01,Canada,"Meatless burgers, 226 grams",5.59
2020-09-01,Canada,"Meatless burgers, 226 grams",5.68
2020-10-01,Canada,"Meatless burgers, 226 grams",5.7
2020-11-01,Canada,"Meatless burgers, 226 grams",5.75
2020-12-01,Canada,"Meatless burgers, 226 grams",5.66
2021-01-01,Canada,"Meatless burgers, 226 grams",5.6
2021-02-01,Canada,"Meatless burgers, 226 grams",5.52
