REF_DATE,GEO,Products,VALUE
2017-01-01,Canada,"Brown rice, 900 grams ",4.27
2017-02-01,Canada,"Brown rice, 900 grams ",4.27
2017-03-01,Canada,"Brown rice, 900 grams ",4.31
2017-04-01,Canada,"Brown rice, 900 grams ",4.34
2017-05-01,Canada,"Brown rice, 900 grams ",4.38
2017-06-01,Canada,"Brown rice, 900 grams ",4.4
2017-07-01,Canada,"Brown rice, 900 grams ",4.38
2017-08-01,Canada,"Brown rice, 900 grams ",4.39
2017-09-01,Canada,"Brown rice, 900 grams ",4.33
2017-10-01,Canada,"Brown rice, 900 grams ",4.33
2017-11-01,Canada,"Brown rice, 900 grams ",4.34
2017-12-01,Canada,"Brown rice, 900 grams ",4.34
2018-01-01,Canada,"Brown rice, 900 grams ",4.31
2018-02-01,Canada,"Brown rice, 900 grams ",4.35
2018-03-01,Canada,"Brown rice, 900 grams ",4.38
2018-04-01,Canada,"Brown rice, 900 grams ",4.41
2018-05-01,Canada,"Brown rice, 900 grams ",4.41
2018-06-01,Canada,"Brown rice, 900 grams ",4.35
2018-07-01,Canada,"Brown rice, 900 grams ",4.35
2018-08-01,Canada,"Brown rice, 900 grams ",4.32
2018-09-01,Canada,"Brown rice, 900 grams ",4.26
2018-10-01,Canada,"Brown rice, 900 grams ",4.26
2018-11-01,Canada,"Brown rice, 900 grams ",4.29
2018-12-01,Canada,"Brown rice, 900 grams ",4.17
2019-01-01,Canada,"Brown rice, 900 grams ",4.25
2019-02-01,Canada,"Brown rice, 900 grams ",4.26
2019-03-01,Canada,"Brown rice, 900 grams ",4.34
2019-04-01,Canada,"Brown rice, 900 grams ",4.17
2019-05-01,Canada,"Brown rice, 900 grams ",4.33
2019-06-01,Canada,"Brown rice, 900 grams ",4.24
2019-07-01,Canada,"Brown rice, 900 grams ",4.31
2019-08-01,Canada,"Brown rice, 900 grams ",4.36
2019-09-01,Canada,"Brown rice, 900 grams ",4.31
2019-10-01,Canada,"Brown rice, 900 grams ",4.33
2019-11-01,Canada,"Brown rice, 900 grams ",4.46
2019-12-01,Canada,"Brown rice, 900 grams ",4.49
2020-01-01,Canada,"Brown rice, 900 grams ",4.6
2020-02-01,Canada,"Brown rice, 900 grams ",4.62
2020-03-01,Canada,"Brown rice, 900 grams ",4.76
2020-04-01,Canada,"Brown rice, 900 grams ",4.74
2020-05-01,Canada,"Brown rice, 900 grams ",4.84
2020-06-01,Canada,"Brown rice, 900 grams ",4.83
2020-07-01,Canada,"Brown rice, 900 grams ",4.77
2020-08-01,Canada,"Brown rice, 900 grams ",4.64
2020-09-01,Canada,"Brown rice, 900 grams ",4.67
2020-10-01,Canada,"Brown rice, 900 grams ",4.72
2020-11-01,Canada,"Brown rice, 900 grams ",4.79
2020-12-01,Canada,"Brown rice, 900 grams ",4.92
2021-01-01,Canada,"Brown rice, 900 grams ",4.8
2021-02-01,Canada,"Brown rice, 900 grams ",4.96
2021-03-01,Canada,"Brown rice, 900 grams ",4.88
2021-04-01,Canada,"Brown rice, 900 grams ",4.87
2021-05-01,Canada,"Brown rice, 900 grams ",4.93
2021-06-01,Canada,"Brown rice, 900 grams ",4.97
2021-07-01,Canada,"Brown rice, 900 grams ",5.02
2021-08-01,Canada,"Brown rice, 900 grams ",4.97
2021-09-01,Canada,"Brown rice, 900 grams ",4.86
2021-10-01,Canada,"Brown rice, 900 grams ",4.92
2021-11-01,Canada,"Brown rice, 900 grams ",5.02
2021-12-01,Canada,"Brown rice, 900 grams ",5.03
2022-01-01,Canada,"Brown rice, 900 grams ",5.1
2022-02-01,Canada,"Brown rice, 900 grams ",5.12
2022-03-01,Canada,"Brown rice, 900 grams ",5.22
2022-04-01,Canada,"Brown rice, 900 grams ",5.4
2022-05-01,Canada,"Brown rice, 900 grams ",5.47
2022-06-01,Canada,"Brown rice, 900 grams ",5.57
2022-07-01,Canada,"Brown rice, 900 grams ",5.6
2022-08-01,Canada,"Brown rice, 900 grams ",5.76
2022-09-01,Canada,"Brown rice, 900 grams ",5.84
2022-10-01,Canada,"Brown rice, 900 grams ",5.82
2022-11-01,Canada,"Brown rice, 900 grams ",5.79
2022-12-01,Canada,"Brown rice, 900 grams ",5.66
2023-01-01,Canada,"Brown rice, 900 grams ",5.71
2023-02-01,Canada,"Brown rice, 900 grams ",5.94
2023-03-01,Canada,"Brown rice, 900 grams ",6.03
2023-04-01,Canada,"Brown rice, 900 grams ",5.92
2023-05-01,Canada,"Brown rice, 900 grams ",5.97
2023-06-01,Canada,"Brown rice, 900 grams ",6.04
2023-07-01,Canada,"Brown rice, 900 grams ",6.06
2023-08-01,Canada,"Brown rice, 900 grams ",6.12
2023-09-01,Canada,"Brown rice, 900 grams ",6.06
2023-10-01,Canada,"Brown rice, 900 grams ",5.92
2023-11-01,Canada,"Brown rice, 900 grams ",5.86
2023-12-01,Canada,"Brown rice, 900 grams ",5.84
2024-01-01,Canada,"Brown rice, 900 grams ",5.77
2024-02-01,Canada,"Brown rice, 900 grams ",5.63
2024-03-01,Canada,"Brown rice, 900 grams ",5.73
2024-04-01,Canada,"Brown rice, 900 grams ",5.6
2024-05-01,Canada,"Brown rice, 900 grams ",5.82
2024-06-01,Canada,"Brown rice, 900 grams ",5.93
2024-07-01,Canada,"Brown rice, 900 grams ",5.81
2024-08-01,Canada,"Brown rice, 900 grams ",5.93
2017-01-01,Canada,"White rice, 2 kilograms",6.94
2017-02-01,Canada,"White rice, 2 kilograms",7.09
2017-03-01,Canada,"White rice, 2 kilograms",7.13
2017-04-01,Canada,"White rice, 2 kilograms",7.08
2017-05-01,Canada,"White rice, 2 kilograms",7.02
