REF_DATE,GEO,Products,VALUE
2017-01-01,Canada,"Salmon, per kilogram",24.83
2017-02-01,Canada,"Salmon, per kilogram",24.66
2017-03-01,Canada,"Salmon, per kilogram",24.3
2017-04-01,Canada,"Salmon, per kilogram",23.11
2017-05-01,Canada,"Salmon, per kilogram",24.02
2017-06-01,Canada,"Salmon, per kilogram",23.85
2017-07-01,Canada,"Salmon, per kilogram",22.55
2017-08-01,Canada,"Salmon, per kilogram",20.35
2017-09-01,Canada,"Salmon, per kilogram",22.67
2017-10-01,Canada,"Salmon, per kilogram",19.82
2017-11-01,Canada,"Salmon, per kilogram",21.07
2017-12-01,Canada,"Salmon, per kilogram",20.19
2018-01-01,Canada,"Salmon, per kilogram",21.64
2018-02-01,Canada,"Salmon, per kilogram",21.48
2018-03-01,Canada,"Salmon, per kilogram",22.19
2018-04-01,Canada,"Salmon, per kilogram",23.16
2018-05-01,Canada,"Salmon, per kilogram",23.82
2018-06-01,Canada,"Salmon, per kilogram",23.8
2018-07-01,Canada,"Salmon, per kilogram",23.85
2018-08-01,Canada,"Salmon, per kilogram",22.78
2018-09-01,Canada,"Salmon, per kilogram",23.3
2018-10-01,Canada,"Salmon, per kilogram",23.44
2018-11-01,Canada,"Salmon, per kilogram",24.86
2018-12-01,Canada,"Salmon, per kilogram",22.63
2019-01-01,Canada,"Salmon, per kilogram",25.76
2019-02-01,Canada,"Salmon, per kilogram",24.53
2019-03-01,Canada,"Salmon, per kilogram",25.67
2019-04-01,Canada,"Salmon, per kilogram",23.01
2019-05-01,Canada,"Salmon, per kilogram",25.47
2019-06-01,Canada,"Salmon, per kilogram",24.4
2019-07-01,Canada,"Salmon, per kilogram",23.43
2019-08-01,Canada,"Salmon, per kilogram",22.81
2019-09-01,Canada,"Salmon, per kilogram",24.25
2019-10-01,Canada,"Salmon, per kilogram",22.2
2019-11-01,Canada,"Salmon, per kilogram",25.07
2019-12-01,Canada,"Salmon, per kilogram",22.83
2020-01-01,Canada,"Salmon, per kilogram",24.1
2020-02-01,Canada,"Salmon, per kilogram",23.53
2020-03-01,Canada,"Salmon, per kilogram",24.68
2020-04-01,Canada,"Salmon, per kilogram",23.87
2020-05-01,Canada,"Salmon, per kilogram",24.96
