"REF_DATE","GEO","DGUID","Estimate","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","967.03","A","","","2"
"2017-02","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","964.46","A","","","2"
"2017-03","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","966.84","A","","","2"
"2017-04","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","971.10","A","","","2"
"2017-05","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","969.15","A","","","2"
"2017-06","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","971.93","A","","","2"
"2017-07","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","969.84","A","","","2"
"2017-08","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","976.99","A","","","2"
"2017-09","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","986.04","A","","","2"
"2017-10","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","983.70","A","","","2"
"2017-11","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","991.21","A","","","2"
"2017-12","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","991.87","A","","","2"
"2018-01","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","991.76","A","","","2"
"2018-02","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","998.86","A","","","2"
"2018-03","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","997.92","A","","","2"
"2018-04","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","993.21","A","","","2"
"2018-05","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","993.28","A","","","2"
"2018-06","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1001.97","A","","","2"
"2018-07","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1000.02","A","","","2"
"2018-08","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1005.90","A","","","2"
"2018-09","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1001.10","A","","","2"
"2018-10","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1007.76","A","","","2"
"2018-11","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1011.80","A","","","2"
"2018-12","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1009.65","A","","","2"
"2019-01","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1009.58","A","","","2"
"2019-02","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1009.54","A","","","2"
"2019-03","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1014.58","A","","","2"
"2019-04","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1017.32","A","","","2"
"2019-05","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1028.61","A","","","2"
"2019-06","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1022.33","A","","","2"
"2019-07","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1028.00","A","","","2"
"2019-08","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1032.00","A","","","2"
"2019-09","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1039.33","B","","","2"
"2019-10","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1046.72","B","","","2"
"2019-11","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1043.26","B","","","2"
"2019-12","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1046.37","B","","","2"
"2020-01","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1046.73","B","","","2"
"2020-02","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1045.52","B","","","2"
"2020-03","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1046.41","B","","","2"
"2020-04","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1112.71","B","","","2"
"2020-05","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1132.41","B","","","2"
"2020-06","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1117.03","B","","","2"
"2020-07","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1112.48","B","","","2"
"2020-08","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1108.83","B","","","2"
"2020-09","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1108.18","B","","","2"
"2020-10","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1108.19","B","","","2"
"2020-11","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1113.59","B","","","2"
"2020-12","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1120.03","B","","","2"
"2021-01","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1129.41","B","","","2"
"2021-02","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1134.17","B","","","2"
"2021-03","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1117.87","B","","","2"
"2021-04","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1123.08","B","","","2"
"2021-05","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1128.26","B","","","2"
"2021-06","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1122.11","B","","","2"
"2021-07","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1128.57","B","","","2"
"2021-08","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1132.48","B","","","2"
"2021-09","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1135.56","B","","","2"
"2021-10","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1134.51","B","","","2"
"2021-11","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1133.60","B","","","2"
"2021-12","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1142.05","B","","","2"
"2022-01","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1150.95","B","","","2"
"2022-02","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1158.96","B","","","2"
"2022-03","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1165.84","B","","","2"
"2022-04","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1159.66","B","","","2"
"2022-05","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1157.75","B","","","2"
"2022-06","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1161.59","B","","","2"
"2022-07","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1162.77","B","","","2"
"2022-08","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1167.55","B","","","2"
"2022-09","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1170.80","B","","","2"
"2022-10","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1174.08","B","","","2"
"2022-11","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1178.34","B","","","2"
"2022-12","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1174.34","B","","","2"
"2023-01","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Dollars","81","units","0","v54027306","1.5","1182.17","B","","","2"
