group1,group2,meandiff,p-adj,lower,upper,reject,Product
group1,group2,meandiff,p-adj,lower,upper,reject,"Almonds, 200 grams"
During-COVID,Post-COVID,0.0067,1.0,-1.9014,1.9148,False,"Almonds, 200 grams"
During-COVID,Pre-COVID,0.1034,0.9898,-1.678,1.8847,False,"Almonds, 200 grams"
Post-COVID,Pre-COVID,0.0966,0.9915,-1.7208,1.9141,False,"Almonds, 200 grams"
group1,group2,meandiff,p-adj,lower,upper,reject,"Apple juice, 2 litres"
During-COVID,Post-COVID,-0.503,0.8403,-2.6034,1.5974,False,"Apple juice, 2 litres"
During-COVID,Pre-COVID,-0.3404,0.9126,-2.3013,1.6204,False,"Apple juice, 2 litres"
Post-COVID,Pre-COVID,0.1625,0.9802,-1.8381,2.1632,False,"Apple juice, 2 litres"
group1,group2,meandiff,p-adj,lower,upper,reject,"Apples, per kilogram"
During-COVID,Post-COVID,-0.3963,0.9454,-3.3114,2.5187,False,"Apples, per kilogram"
During-COVID,Pre-COVID,-0.2547,0.9738,-2.976,2.4667,False,"Apples, per kilogram"
Post-COVID,Pre-COVID,0.1417,0.9921,-2.6349,2.9182,False,"Apples, per kilogram"
group1,group2,meandiff,p-adj,lower,upper,reject,"Avocado, unit"
During-COVID,Post-COVID,0.1445,0.9886,-2.2098,2.4988,False,"Avocado, unit"
During-COVID,Pre-COVID,0.5537,0.8248,-1.6442,2.7516,False,"Avocado, unit"
Post-COVID,Pre-COVID,0.4092,0.9039,-1.8333,2.6517,False,"Avocado, unit"
group1,group2,meandiff,p-adj,lower,upper,reject,"Baby food, 128 millilitres"
During-COVID,Post-COVID,0.204,0.9404,-1.2296,1.6376,False,"Baby food, 128 millilitres"
During-COVID,Pre-COVID,-0.0939,0.9852,-1.4322,1.2444,False,"Baby food, 128 millilitres"
Post-COVID,Pre-COVID,-0.2979,0.8655,-1.6633,1.0676,False,"Baby food, 128 millilitres"
group1,group2,meandiff,p-adj,lower,upper,reject,"Bacon, 500 grams"
During-COVID,Post-COVID,-0.0695,0.9925,-1.465,1.326,False,"Bacon, 500 grams"
During-COVID,Pre-COVID,0.1151,0.9766,-1.1876,1.4179,False,"Bacon, 500 grams"
Post-COVID,Pre-COVID,0.1846,0.9431,-1.1446,1.5139,False,"Bacon, 500 grams"
group1,group2,meandiff,p-adj,lower,upper,reject,"Bananas, per kilogram"
During-COVID,Post-COVID,0.4656,0.939,-2.7684,3.6995,False,"Bananas, per kilogram"
During-COVID,Pre-COVID,0.0877,0.9974,-2.9313,3.1068,False,"Bananas, per kilogram"
Post-COVID,Pre-COVID,-0.3778,0.9553,-3.4581,2.7025,False,"Bananas, per kilogram"
group1,group2,meandiff,p-adj,lower,upper,reject,"Block cheese, 500 grams"
During-COVID,Post-COVID,-0.0149,0.9987,-0.7402,0.7103,False,"Block cheese, 500 grams"
During-COVID,Pre-COVID,-0.0248,0.9959,-0.7018,0.6523,False,"Block cheese, 500 grams"
Post-COVID,Pre-COVID,-0.0099,0.9994,-0.7006,0.6809,False,"Block cheese, 500 grams"
group1,group2,meandiff,p-adj,lower,upper,reject,"Broccoli, unit"
During-COVID,Post-COVID,2.0811,0.4111,-1.7574,5.9197,False,"Broccoli, unit"
During-COVID,Pre-COVID,-0.5026,0.942,-4.086,3.0809,False,"Broccoli, unit"
Post-COVID,Pre-COVID,-2.5837,0.2218,-6.2398,1.0725,False,"Broccoli, unit"
group1,group2,meandiff,p-adj,lower,upper,reject,"Brown rice, 900 grams "
During-COVID,Post-COVID,-0.2646,0.9243,-1.9075,1.3783,False,"Brown rice, 900 grams "
During-COVID,Pre-COVID,-0.1387,0.9755,-1.6724,1.3951,False,"Brown rice, 900 grams "
Post-COVID,Pre-COVID,0.1259,0.9805,-1.4389,1.6908,False,"Brown rice, 900 grams "
group1,group2,meandiff,p-adj,lower,upper,reject,"Butter, 454 grams"
During-COVID,Post-COVID,-0.1601,0.9623,-1.5836,1.2634,False,"Butter, 454 grams"
